image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
000000000139.jpg,NANO,ultralytics,False,1,0,1,True,True,4,20
000000000285.jpg,NANO,ultralytics,False,0,0,0,False,False,1,1
000000000632.jpg,NANO,ultralytics,False,0,0,0,False,False,6,17
000000000724.jpg,NANO,ultralytics,False,0,0,0,False,False,1,4
000000000776.jpg,NANO,ultralytics,False,0,0,0,False,False,4,4
000000000785.jpg,NANO,ultralytics,False,1,0,0,True,True,2,2
000000000802.jpg,NANO,ultralytics,False,0,0,0,False,False,3,2
000000000872.jpg,NANO,ultralytics,False,2,1,0,True,True,3,4
000000000885.jpg,NANO,ultralytics,False,2,1,6,True,True,5,9
000000001000.jpg,NANO,ultralytics,False,9,0,3,True,True,10,17
000000001268.jpg,NANO,ultralytics,False,4,0,0,True,True,5,11
000000001296.jpg,NANO,ultralytics,False,2,1,0,True,True,3,4
000000001353.jpg,NANO,ultralytics,False,2,2,4,True,True,4,7
000000001425.jpg,NANO,ultralytics,False,0,0,0,False,False,2,2
000000001490.jpg,NANO,ultralytics,False,1,1,0,True,True,2,2
000000001503.jpg,NANO,ultralytics,False,0,0,0,False,False,6,5
000000001532.jpg,NANO,ultralytics,False,0,1,0,False,True,5,8
000000001584.jpg,NANO,ultralytics,False,1,0,10,True,True,4,14
000000001675.jpg,NANO,ultralytics,False,0,0,0,False,False,1,2
000000001761.jpg,NANO,ultralytics,False,0,0,5,True,False,2,7
000000001818.jpg,NANO,ultralytics,False,0,0,0,False,False,1,2
000000001993.jpg,NANO,ultralytics,False,0,0,0,False,False,4,4
000000002006.jpg,NANO,ultralytics,False,2,2,1,True,True,5,8
000000002149.jpg,NANO,ultralytics,False,0,0,0,False,False,3,2
000000002153.jpg,NANO,ultralytics,False,4,1,0,True,True,7,5
000000002157.jpg,NANO,ultralytics,False,0,0,0,False,False,8,16
000000002261.jpg,NANO,ultralytics,False,1,0,0,True,True,1,2
000000002299.jpg,NANO,ultralytics,False,2,0,11,True,True,2,22
000000002431.jpg,NANO,ultralytics,False,1,2,1,True,True,11,9
000000002473.jpg,NANO,ultralytics,False,3,0,1,True,True,4,5
000000002532.jpg,NANO,ultralytics,False,1,0,0,True,True,2,2
000000002587.jpg,NANO,ultralytics,False,0,0,0,False,False,1,2
000000002592.jpg,NANO,ultralytics,False,0,0,0,False,False,1,3
000000002685.jpg,NANO,ultralytics,False,4,4,2,True,True,8,19
000000002923.jpg,NANO,ultralytics,False,0,0,0,False,False,0,7
000000003156.jpg,NANO,ultralytics,False,1,0,0,True,True,2,3
000000003255.jpg,NANO,ultralytics,False,2,1,4,True,True,3,10
000000003501.jpg,NANO,ultralytics,False,0,0,0,False,False,5,3
000000003553.jpg,NANO,ultralytics,False,1,0,0,True,True,2,2
000000003661.jpg,NANO,ultralytics,False,0,0,0,False,False,4,3
000000003845.jpg,NANO,ultralytics,False,0,0,0,False,False,7,12
000000003934.jpg,NANO,ultralytics,False,6,1,1,True,True,9,14
000000004134.jpg,NANO,ultralytics,False,10,1,3,True,True,15,26
000000004395.jpg,NANO,ultralytics,False,1,0,0,True,True,2,2
000000004495.jpg,NANO,ultralytics,False,0,0,0,False,False,3,3
000000004765.jpg,NANO,ultralytics,False,1,0,0,True,True,2,2
000000004795.jpg,NANO,ultralytics,False,0,0,0,False,False,5,3
000000005001.jpg,NANO,ultralytics,False,6,1,8,True,True,8,17
000000005037.jpg,NANO,ultralytics,False,0,0,7,True,False,1,10
000000005060.jpg,NANO,ultralytics,False,1,0,0,True,True,1,2
000000005193.jpg,NANO,ultralytics,False,5,1,1,True,True,8,9
000000005477.jpg,NANO,ultralytics,False,0,0,0,False,False,1,2
000000005503.jpg,NANO,ultralytics,False,0,0,0,False,False,2,1
000000005529.jpg,NANO,ultralytics,False,1,0,0,True,True,2,2
000000005586.jpg,NANO,ultralytics,False,3,0,10,True,True,3,14
000000005600.jpg,NANO,ultralytics,False,0,0,0,False,False,6,3
000000005992.jpg,NANO,ultralytics,False,0,0,0,False,False,5,5
000000006012.jpg,NANO,ultralytics,False,0,0,0,False,False,6,2
000000006040.jpg,NANO,ultralytics,False,0,0,9,True,False,1,12
000000006213.jpg,NANO,ultralytics,False,0,0,0,False,False,0,2
000000006460.jpg,NANO,ultralytics,False,1,0,0,True,True,1,2
000000006471.jpg,NANO,ultralytics,False,7,3,3,True,True,13,16
000000006614.jpg,NANO,ultralytics,False,0,0,0,False,False,4,2
000000006723.jpg,NANO,ultralytics,False,0,0,0,False,False,1,6
000000006763.jpg,NANO,ultralytics,False,3,1,0,True,True,6,7
000000006771.jpg,NANO,ultralytics,False,8,3,0,True,True,12,9
000000006818.jpg,NANO,ultralytics,False,0,0,0,False,False,1,1
000000006894.jpg,NANO,ultralytics,False,1,0,0,True,True,3,2
