run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
0,windows-host,onnx,threshold,idle,0.0,SMALL,353.176,356.955,0.7667,85.7,49.6,,14,True,005981.png,False
1,windows-host,onnx,threshold,idle,0.0,SMALL,211.774,215.729,0.8742,100.0,49.7,,23,False,005982.png,False
2,windows-host,onnx,threshold,idle,0.0,NANO,27.137,28.73,0.8745,100.0,49.8,,17,False,005983.png,False
3,windows-host,onnx,threshold,idle,0.0,NANO,68.5,69.598,0.8745,100.0,49.8,,0,False,005984.png,False
4,windows-host,onnx,threshold,idle,0.0,NANO,56.994,57.735,0.8748,100.0,49.9,,0,False,005985.png,False
5,windows-host,onnx,threshold,idle,0.0,NANO,32.878,35.066,0.8748,100.0,49.9,,8,False,005986.png,False
6,windows-host,onnx,threshold,idle,0.0,NANO,39.533,40.289,0.8745,100.0,49.8,,10,False,005987.png,False
7,windows-host,onnx,threshold,idle,0.0,NANO,25.27,25.833,0.8748,100.0,49.9,,0,False,005988.png,False
8,windows-host,onnx,threshold,idle,0.0,NANO,27.271,30.168,0.8748,100.0,49.9,,0,False,005989.png,False
9,windows-host,onnx,threshold,idle,0.0,NANO,22.553,23.156,0.8613,98.2,49.9,,2,False,005990.png,False
10,windows-host,onnx,threshold,idle,0.0,NANO,26.538,27.131,0.8613,98.2,49.9,,0,False,005991.png,False
11,windows-host,onnx,threshold,idle,0.0,NANO,29.195,30.046,0.7847,88.0,49.9,,13,True,005992.png,False
12,windows-host,onnx,threshold,idle,0.0,NANO,121.85,122.902,0.7847,88.0,49.9,,0,False,005993.png,False
13,windows-host,onnx,threshold,idle,0.0,NANO,63.656,65.424,0.8562,97.6,49.7,,8,False,005994.png,False
14,windows-host,onnx,threshold,idle,0.0,NANO,186.629,187.848,0.8742,100.0,49.7,,2,True,005995.png,False
15,windows-host,onnx,threshold,idle,0.0,NANO,53.502,54.505,0.8748,100.0,49.9,,40,False,005996.png,False
16,windows-host,onnx,threshold,idle,0.0,NANO,44.78,46.008,0.8748,100.0,49.9,,1,True,005997.png,False
17,windows-host,onnx,threshold,idle,0.0,NANO,32.489,33.403,0.8748,100.0,49.9,,3,False,005998.png,False
18,windows-host,onnx,threshold,idle,0.0,NANO,43.657,44.887,0.8748,100.0,49.9,,16,False,005999.png,False
19,windows-host,onnx,threshold,idle,0.0,NANO,402.093,402.992,0.8748,100.0,49.9,,0,False,006000.png,False
20,windows-host,onnx,threshold,idle,0.0,NANO,29.461,30.343,0.875,100.0,50.0,,0,False,006001.png,False
21,windows-host,onnx,threshold,idle,0.0,NANO,28.511,29.289,0.875,100.0,50.0,,0,False,006002.png,False
22,windows-host,onnx,threshold,idle,0.0,NANO,25.65,26.662,0.875,100.0,50.0,,17,False,006003.png,False
23,windows-host,onnx,threshold,idle,0.0,NANO,63.41,64.213,0.875,100.0,50.0,,11,False,006004.png,False
24,windows-host,onnx,threshold,idle,0.0,NANO,49.274,51.489,0.875,100.0,50.0,,25,False,006005.png,False
25,windows-host,onnx,threshold,idle,0.0,NANO,48.215,49.164,0.875,100.0,50.0,,0,False,006006.png,False
26,windows-host,onnx,threshold,idle,0.0,NANO,96.462,99.152,0.8752,100.0,50.1,,7,False,006007.png,False
27,windows-host,onnx,threshold,idle,0.0,NANO,64.494,65.407,0.8752,100.0,50.1,,14,False,006008.png,False
28,windows-host,onnx,threshold,idle,0.0,NANO,29.833,30.849,0.8752,100.0,50.1,,10,False,006009.png,False
29,windows-host,onnx,threshold,idle,0.0,NANO,30.23,30.901,0.8752,100.0,50.1,,1,False,006010.png,False
30,windows-host,onnx,threshold,idle,0.0,NANO,39.521,41.077,0.8752,100.0,50.1,,38,False,006011.png,False
31,windows-host,onnx,threshold,idle,0.0,NANO,69.736,70.67,0.8752,100.0,50.1,,8,False,006012.png,False
32,windows-host,onnx,threshold,idle,0.0,NANO,58.596,59.583,0.8752,100.0,50.1,,20,True,006013.png,False
33,windows-host,onnx,threshold,idle,0.0,NANO,39.854,41.187,0.8752,100.0,50.1,,19,False,006014.png,False
34,windows-host,onnx,threshold,idle,0.0,NANO,91.451,92.491,0.8752,100.0,50.1,,5,False,006015.png,False
35,windows-host,onnx,threshold,idle,0.0,NANO,85.476,86.473,0.8752,100.0,50.1,,14,False,006016.png,False
36,windows-host,onnx,threshold,idle,0.0,NANO,52.978,54.335,0.8752,100.0,50.1,,3,False,006017.png,False
37,windows-host,onnx,threshold,idle,0.0,NANO,43.742,45.173,0.875,100.0,50.0,,13,False,006018.png,False
38,windows-host,onnx,threshold,idle,0.0,NANO,27.477,28.612,0.875,100.0,50.0,,0,False,006019.png,False
39,windows-host,onnx,threshold,idle,0.0,NANO,26.976,30.557,0.875,100.0,50.0,,10,False,006020.png,False
40,windows-host,onnx,threshold,idle,0.0,NANO,39.732,40.855,0.875,100.0,50.0,,9,False,006021.png,False
41,windows-host,onnx,threshold,idle,0.0,NANO,46.916,48.688,0.875,100.0,50.0,,18,False,006022.png,False
42,windows-host,onnx,threshold,idle,0.0,NANO,45.17,45.986,0.8752,100.0,50.1,,4,True,006023.png,False
43,windows-host,onnx,threshold,idle,0.0,NANO,27.652,29.261,0.8752,100.0,50.1,,10,False,006024.png,False
44,windows-host,onnx,threshold,idle,0.0,NANO,27.5,28.795,0.8752,100.0,50.1,,17,False,006025.png,False
45,windows-host,onnx,threshold,idle,0.0,NANO,28.556,29.754,0.875,100.0,50.0,,16,False,006026.png,False
46,windows-host,onnx,threshold,idle,0.0,NANO,28.103,28.824,0.875,100.0,50.0,,10,False,006027.png,False
47,windows-host,onnx,threshold,idle,0.0,NANO,25.971,26.829,0.875,100.0,50.0,,0,False,006028.png,False
48,windows-host,onnx,threshold,idle,0.0,NANO,27.535,28.253,0.875,100.0,50.0,,0,False,006029.png,False
49,windows-host,onnx,threshold,idle,0.0,NANO,24.848,25.708,0.875,100.0,50.0,,0,False,006030.png,False
50,windows-host,onnx,threshold,idle,0.0,NANO,36.398,37.515,0.875,100.0,50.0,,0,False,006031.png,False
51,windows-host,onnx,threshold,idle,0.0,NANO,27.011,27.961,0.8752,100.0,50.1,,24,False,006032.png,False
52,windows-host,onnx,threshold,idle,0.0,NANO,24.814,26.025,0.8752,100.0,50.1,,13,True,006033.png,False
53,windows-host,onnx,threshold,idle,0.0,NANO,46.497,47.299,0.8752,100.0,50.1,,41,False,006034.png,False
54,windows-host,onnx,threshold,idle,0.0,NANO,103.01,106.643,0.8752,100.0,50.1,,0,False,006035.png,False
55,windows-host,onnx,threshold,idle,0.0,NANO,40.356,41.869,0.875,100.0,50.0,,9,False,006036.png,False
56,windows-host,onnx,threshold,idle,0.0,NANO,33.774,34.618,0.875,100.0,50.0,,3,False,006037.png,False
57,windows-host,onnx,threshold,idle,0.0,NANO,26.379,27.087,0.875,100.0,50.0,,0,False,006038.png,False
58,windows-host,onnx,threshold,idle,0.0,NANO,28.059,30.45,0.8752,100.0,50.1,,30,False,006039.png,False
59,windows-host,onnx,threshold,idle,0.0,NANO,39.531,40.451,0.8752,100.0,50.1,,21,True,006040.png,False
60,windows-host,onnx,threshold,idle,0.0,NANO,42.025,42.861,0.875,100.0,50.0,,17,False,006041.png,False
61,windows-host,onnx,threshold,idle,0.0,NANO,42.199,45.163,0.875,100.0,50.0,,1,True,006042.png,False
62,windows-host,onnx,threshold,idle,0.0,NANO,32.792,33.596,0.875,100.0,50.0,,5,False,006043.png,False
