run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,light,0.25,process_steady_v3,15,,SMALL,37.459,0.3523,30.3,66.9,,0.0,0.03271484375,51.0,210.0,nvml,0.008,35.322,1.328,0.79,1342.31,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,light,0.25,process_steady_v3,15,,SMALL,43.323,0.4094,39.4,67.9,,0.0,0.03271484375,51.0,210.0,nvml,0.019,40.444,1.819,1.037,43.463,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,light,0.25,process_steady_v3,15,,MEDIUM,266.917,0.4817,51.4,68.0,,0.0,0.03271484375,51.0,210.0,nvml,0.286,259.041,5.517,2.338,267.566,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,threshold,light,0.25,process_steady_v3,15,,MEDIUM,250.549,0.5498,62.5,68.6,,0.0,0.03271484375,51.0,210.0,nvml,0.008,246.392,2.674,1.448,250.887,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,threshold,light,0.25,process_steady_v3,15,,MEDIUM,250.847,0.5122,56.2,68.7,,0.0,0.03271484375,52.0,210.0,nvml,0.005,245.912,3.158,1.756,251.246,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,predictive,light,0.25,process_steady_v3,15,,MEDIUM,282.377,0.3618,31.5,67.8,,0.0,0.03271484375,52.0,210.0,nvml,0.154,277.915,2.757,1.672,282.965,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,predictive,light,0.25,process_steady_v3,15,,MEDIUM,249.16,0.4959,53.6,68.4,,0.0,0.03271484375,52.0,210.0,nvml,0.01,244.716,2.585,1.839,249.452,onnx,CPUExecutionProvider,{},False,32,True,007377.png,,,,,,,,,,False
2,0,predictive,light,0.25,process_steady_v3,15,,MEDIUM,268.969,0.5139,56.6,68.4,,0.0,0.03271484375,52.0,210.0,nvml,0.008,263.931,2.649,2.368,269.403,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,predictive,light,0.25,process_steady_v3,15,,SMALL,39.046,0.5355,60.2,68.4,,0.0,0.03271484375,52.0,210.0,nvml,0.161,36.804,1.248,0.979,39.336,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,predictive,light,0.25,process_steady_v3,15,,SMALL,55.345,0.5999,70.9,68.5,,0.0,0.03271484375,52.0,210.0,nvml,0.009,52.573,1.776,0.974,55.509,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,safety,light,0.25,process_steady_v3,15,,SMALL,51.514,0.356,30.5,67.9,,0.0,0.03271484375,53.0,210.0,nvml,0.011,49.351,1.197,0.949,51.772,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,light,0.25,process_steady_v3,15,,SMALL,36.086,0.3937,36.7,68.1,,0.0,0.03271484375,53.0,210.0,nvml,0.013,33.732,1.565,0.771,36.226,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,light,0.25,process_steady_v3,15,,MEDIUM,254.351,0.3937,36.7,68.1,,0.0,0.03271484375,53.0,210.0,nvml,0.142,248.321,3.816,2.197,255.02,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,safety,light,0.25,process_steady_v3,15,,MEDIUM,262.944,0.5018,54.5,68.6,,0.0,0.03271484375,53.0,210.0,nvml,0.008,256.952,4.291,1.669,263.451,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,safety,light,0.25,process_steady_v3,15,,MEDIUM,269.152,0.5168,57.0,68.6,,0.0,0.03271484375,53.0,210.0,nvml,0.009,263.277,3.359,2.498,269.735,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,adaptive,light,0.25,process_steady_v3,15,,MEDIUM,256.981,0.3656,32.1,67.9,,0.0,0.03271484375,53.0,210.0,nvml,0.148,252.429,2.958,1.554,257.431,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,adaptive,light,0.25,process_steady_v3,15,,MEDIUM,272.745,0.5411,61.1,68.5,,0.0,0.03271484375,53.0,210.0,nvml,0.013,267.591,3.308,1.821,273.031,onnx,CPUExecutionProvider,{},False,32,True,007377.png,,,,,,,,,,False
