run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,burst,0.85,process_isolated_burst_v2,15,0,NANO,15.941,0.7281,94.6,62.9,,0.0,0.03271484375,48.0,210.0,nvml,0.198,13.961,1.219,0.739,1918.48,onnx,CPUExecutionProvider,{},False,3,True,006201.png,,,,36.707245,46.385019,53.717451,24.178,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
1,0,adaptive,burst,0.85,process_isolated_burst_v2,15,1,NANO,21.577,0.5128,58.3,63.9,,0.0,0.03271484375,50.0,210.0,nvml,0.016,20.086,0.958,0.514,21.714,onnx,CPUExecutionProvider,{},False,10,False,007377.png,,,,0.297563,0.367799,0.438034,16.938,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
2,0,adaptive,burst,0.85,process_isolated_burst_v2,15,2,NANO,15.136,0.5128,58.3,63.9,,0.0,0.03271484375,50.0,210.0,nvml,5.808,13.251,1.062,0.803,21.088,onnx,CPUExecutionProvider,{},False,24,False,006587.png,,,,0.288977,0.357185,0.425394,16.938,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
3,0,adaptive,burst,0.85,process_isolated_burst_v2,15,3,NANO,13.581,0.7207,92.9,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.164,12.001,1.055,0.504,13.889,onnx,CPUExecutionProvider,{},False,5,False,006905.png,,,,0.262442,0.331403,0.388906,23.86,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
4,0,adaptive,burst,0.85,process_isolated_burst_v2,15,4,NANO,11.79,0.7207,92.9,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.143,10.242,1.02,0.509,12.05,onnx,CPUExecutionProvider,{},False,4,False,007244.png,,,,0.227681,0.287508,0.337394,23.86,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
5,0,adaptive,burst,0.85,process_isolated_burst_v2,15,5,NANO,11.058,0.7207,92.9,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.124,9.289,1.056,0.694,11.302,onnx,CPUExecutionProvider,{},False,19,False,007031.png,,,,0.213548,0.269661,0.31645,23.86,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
6,0,adaptive,burst,0.85,process_isolated_burst_v2,15,6,NANO,11.145,0.7207,92.9,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.235,9.568,1.012,0.546,11.525,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.217771,0.274994,0.322708,23.86,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
7,0,adaptive,burst,0.85,process_isolated_burst_v2,15,7,NANO,10.338,0.7525,98.2,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.111,8.939,0.94,0.441,10.573,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.208184,0.263482,0.296047,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
8,0,adaptive,burst,0.85,process_isolated_burst_v2,15,8,NANO,10.98,0.7525,98.2,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.124,9.397,1.06,0.501,11.23,onnx,CPUExecutionProvider,{},False,7,False,006781.png,,,,0.221115,0.279847,0.314434,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
9,0,adaptive,burst,0.85,process_isolated_burst_v2,15,9,NANO,12.247,0.7525,98.2,64.0,,0.0,0.03271484375,50.0,210.0,nvml,0.144,10.319,1.298,0.59,12.511,onnx,CPUExecutionProvider,{},False,6,False,006840.png,,,,0.246334,0.311764,0.350297,24.92,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
