run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,heavy,0.75,process_steady_v3,7,,SMALL,83.63,0.6538,72.9,42.8,,,,,,none,0.018,76.985,4.649,1.969,3642.492,onnx,CPUExecutionProvider,{},False,1,True,006201.png,,,,101.989773,101.989773,101.989773,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
1,0,adaptive,heavy,0.75,process_steady_v3,7,,SMALL,87.586,0.782,89.6,44.0,,,,,,none,0.02,82.577,3.053,1.935,87.801,onnx,CPUExecutionProvider,{},False,3,True,007377.png,,,,2.458431,2.458431,2.458431,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
2,0,adaptive,heavy,0.75,process_steady_v3,7,,SMALL,97.321,0.8465,98.2,44.0,,,,,,none,16.116,88.264,6.769,2.268,113.63,onnx,CPUExecutionProvider,{},False,6,False,006587.png,,,,3.181646,3.181646,3.181646,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
3,0,adaptive,heavy,0.75,process_steady_v3,7,,SMALL,88.679,0.8293,95.9,44.0,,,,,,none,0.216,82.431,4.276,1.953,89.109,onnx,CPUExecutionProvider,{},False,2,False,006905.png,,,,2.495063,2.495063,2.495063,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
4,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,82.266,0.842,97.6,44.0,,,,,,none,0.582,78.42,2.918,0.91,83.014,onnx,CPUExecutionProvider,{},False,1,False,007244.png,,,,2.324392,2.324392,2.324392,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
5,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,31.922,0.8602,100.0,44.1,,,,,,none,0.559,26.291,4.709,0.901,32.632,onnx,CPUExecutionProvider,{},False,3,False,007031.png,,,,0.913688,0.913688,0.913688,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
6,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,22.464,0.8602,100.0,44.1,,,,,,none,0.172,19.414,2.343,0.691,22.783,onnx,CPUExecutionProvider,{},False,2,False,006369.png,,,,0.637918,0.637918,0.637918,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
7,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,26.435,0.8602,100.0,44.1,,,,,,none,0.196,22.972,2.774,0.671,26.789,onnx,CPUExecutionProvider,{},False,1,False,006254.png,,,,0.750089,0.750089,0.750089,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
8,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,26.807,0.8602,100.0,44.1,,,,,,none,0.194,20.265,4.653,1.87,27.144,onnx,CPUExecutionProvider,{},False,7,False,006781.png,,,,0.760046,0.760046,0.760046,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
9,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,33.91,0.8602,100.0,44.1,,,,,,none,0.198,18.954,14.147,0.791,34.247,onnx,CPUExecutionProvider,{},False,2,False,006840.png,,,,0.958905,0.958905,0.958905,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
10,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,21.835,0.8602,100.0,44.1,,,,,,none,0.172,18.601,2.518,0.698,22.15,onnx,CPUExecutionProvider,{},False,1,False,007416.png,,,,0.620192,0.620192,0.620192,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
11,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,22.605,0.8602,100.0,44.1,,,,,,none,0.176,19.159,2.541,0.888,22.921,onnx,CPUExecutionProvider,{},False,8,True,007420.png,,,,0.641777,0.641777,0.641777,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
12,0,adaptive,heavy,0.75,process_steady_v3,7,,NANO,21.328,0.8602,100.0,44.1,,,,,,none,0.17,17.849,2.282,1.181,21.685,onnx,CPUExecutionProvider,{},False,7,False,007182.png,,,,0.607191,0.607191,0.607191,28.0,hp-spectre-x360-i7-1165g7-tdp-up-28w-constant-ceiling,"Intel Core i7-1165G7 specifications, configurable TDP-up 28 W (https://www.intel.com/content/www/us/en/products/sku/208662/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz/specifications.html); HP Spectre x360 13-aw2xxx, Windows power scheme 'Simulations', observed 2026-07-12. This is a constant TDP ceiling proxy: estimated energy = 28 W x end-to-end latency. It is not a physical power or battery measurement.",False
