label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy,frame_name,block
FIXED_SMALL,heavy,1622.9300999984844,0.4718,SMALL,9,True,False,0.448,006201.png,0
FIXED_SMALL,heavy,37.1954999936861,0.6507,SMALL,18,True,False,0.448,007377.png,0
FIXED_SMALL,heavy,37.60309999779565,0.716,SMALL,44,False,False,0.448,006587.png,0
FIXED_SMALL,heavy,36.953900002117734,0.7568,SMALL,12,False,False,0.448,006905.png,0
FIXED_SMALL,heavy,36.90560000541154,0.7568,SMALL,5,False,False,0.448,007244.png,0
FIXED_SMALL,heavy,36.796799999137875,0.7532,SMALL,35,False,False,0.448,007031.png,0
FIXED_SMALL,heavy,37.35649999725865,0.7532,SMALL,9,False,False,0.448,006369.png,0
FIXED_SMALL,heavy,36.67750000022352,0.7532,SMALL,0,False,False,0.448,006254.png,0
FIXED_SMALL,heavy,36.9014000025345,0.7583,SMALL,42,False,False,0.448,006781.png,0
FIXED_SMALL,heavy,37.43279999616789,0.7583,SMALL,11,False,False,0.448,006840.png,0
FIXED_SMALL,heavy,36.6716999997152,0.7535,SMALL,9,False,False,0.448,007416.png,0
FIXED_SMALL,heavy,37.05630000331439,0.7535,SMALL,57,True,False,0.448,007420.png,0
FIXED_SMALL,heavy,36.69609999633394,0.7583,SMALL,45,False,False,0.448,007182.png,0
FIXED_SMALL,heavy,36.329599999589846,0.7583,SMALL,5,False,False,0.448,007443.png,0
FIXED_SMALL,heavy,59.88860000070417,0.7223,SMALL,11,True,False,0.448,006164.png,0
FIXED_SMALL,heavy,60.05369999911636,0.7223,SMALL,28,False,False,0.448,007087.png,0
FIXED_SMALL,heavy,59.68410000059521,0.6743,SMALL,21,False,False,0.448,006681.png,0
FIXED_SMALL,heavy,60.06909999996424,0.6467,SMALL,42,False,False,0.448,006319.png,0
FIXED_SMALL,heavy,60.519500002556015,0.6467,SMALL,14,False,False,0.448,007392.png,0
FIXED_SMALL,heavy,60.23859999550041,0.6269,SMALL,0,False,False,0.448,006148.png,0
FIXED_SMALL,heavy,60.16690000251401,0.6413,SMALL,0,False,False,0.448,006447.png,0
