run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,230.313,0.2035,6.2,65.2,,0.0,0.03271484375,49.0,210.0,nvml,0.152,223.335,5.003,1.943,1463.373,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,8.645608,9.576314,10.507019,6.544,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
1,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,240.668,0.4463,46.0,66.8,,0.0,0.03271484375,49.0,210.0,nvml,0.026,234.387,3.434,2.814,241.149,onnx,CPUExecutionProvider,{},False,32,True,007377.png,,,,2.870149,3.505335,4.14052,14.536,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
2,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,236.022,0.3991,38.1,66.9,,0.0,0.03271484375,49.0,210.0,nvml,4.491,231.54,2.835,1.629,240.798,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,2.580993,3.12026,3.659528,12.958,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
3,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,228.962,0.4091,39.8,66.8,,0.0,0.03271484375,50.0,210.0,nvml,0.133,224.505,3.011,1.394,229.364,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,2.516581,3.049622,3.582664,13.296,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
4,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,227.11,0.4541,47.3,66.8,,0.0,0.03271484375,50.0,210.0,nvml,0.099,221.787,3.168,2.122,227.678,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,2.754218,3.368721,3.983223,14.796,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
5,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,47.699,0.3809,35.1,66.8,,0.0,0.03271484375,50.0,210.0,nvml,0.337,45.245,1.611,0.809,48.166,onnx,CPUExecutionProvider,{},False,35,False,007031.png,,,,0.494525,0.595145,0.695765,12.356,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
6,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,35.116,0.4166,41.1,66.7,,0.0,0.03271484375,50.0,210.0,nvml,0.186,32.855,1.269,0.972,35.438,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.395677,0.48032,0.564962,13.554,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
7,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,41.669,0.4166,41.1,66.7,,0.0,0.03271484375,50.0,210.0,nvml,0.145,39.51,1.173,0.964,42.015,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.469118,0.569471,0.669824,13.554,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
8,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,37.384,0.5059,55.9,66.9,,0.0,0.03271484375,50.0,210.0,nvml,0.107,35.187,1.064,1.117,37.612,onnx,CPUExecutionProvider,{},False,42,False,006781.png,,,,0.503562,0.621267,0.738972,16.518,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
9,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,35.194,0.5059,55.9,66.9,,0.0,0.03271484375,50.0,210.0,nvml,0.13,33.112,1.155,0.906,35.48,onnx,CPUExecutionProvider,{},False,11,False,006840.png,,,,0.475031,0.586067,0.697103,16.518,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
