image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
000000000139.jpg,NANO,onnx_cuda,False,1,8,1,True,True,41,20
000000000285.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,1
000000000632.jpg,NANO,onnx_cuda,False,0,0,0,False,False,26,17
000000000724.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,4
000000000776.jpg,NANO,onnx_cuda,False,0,0,0,False,False,30,4
000000000785.jpg,NANO,onnx_cuda,False,1,9,0,True,True,20,2
000000000802.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,2
000000000872.jpg,NANO,onnx_cuda,False,2,16,0,True,True,22,4
000000000885.jpg,NANO,onnx_cuda,False,2,16,6,True,True,31,9
000000001000.jpg,NANO,onnx_cuda,False,9,59,3,True,True,72,17
000000001268.jpg,NANO,onnx_cuda,False,4,29,0,True,True,40,11
000000001296.jpg,NANO,onnx_cuda,False,2,16,0,True,True,18,4
000000001353.jpg,NANO,onnx_cuda,False,0,0,6,True,False,0,7
000000001425.jpg,NANO,onnx_cuda,False,0,0,0,False,False,4,2
000000001490.jpg,NANO,onnx_cuda,False,1,9,0,True,True,10,2
000000001503.jpg,NANO,onnx_cuda,False,0,0,0,False,False,46,5
000000001532.jpg,NANO,onnx_cuda,False,0,2,0,False,True,35,8
000000001584.jpg,NANO,onnx_cuda,False,2,2,9,True,True,32,14
000000001675.jpg,NANO,onnx_cuda,False,0,0,0,False,False,9,2
000000001761.jpg,NANO,onnx_cuda,False,0,0,5,True,False,23,7
000000000139.jpg,SMALL,onnx_cuda,False,1,8,1,True,True,71,20
000000000285.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,10,1
000000000632.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,43,17
000000000724.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,12,4
000000000776.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,24,4
000000000785.jpg,SMALL,onnx_cuda,False,1,9,0,True,True,15,2
000000000802.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,20,2
000000000872.jpg,SMALL,onnx_cuda,False,2,18,0,True,True,20,4
000000000885.jpg,SMALL,onnx_cuda,False,3,30,5,True,True,42,9
000000001000.jpg,SMALL,onnx_cuda,False,10,93,2,True,True,111,17
000000001268.jpg,SMALL,onnx_cuda,False,4,45,0,True,True,60,11
000000001296.jpg,SMALL,onnx_cuda,False,2,11,0,True,True,23,4
000000001353.jpg,SMALL,onnx_cuda,False,1,4,5,True,True,8,7
000000001425.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,20,2
000000001490.jpg,SMALL,onnx_cuda,False,1,10,0,True,True,13,2
000000001503.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,51,5
000000001532.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,47,8
000000001584.jpg,SMALL,onnx_cuda,False,3,14,8,True,True,46,14
000000001675.jpg,SMALL,onnx_cuda,False,0,0,0,False,False,17,2
000000001761.jpg,SMALL,onnx_cuda,False,0,0,5,True,False,19,7
000000000139.jpg,MEDIUM,onnx_cuda,False,1,8,1,True,True,152,20
000000000285.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,10,1
000000000632.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,52,17
000000000724.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,28,4
000000000776.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,21,4
000000000785.jpg,MEDIUM,onnx_cuda,False,1,9,0,True,True,18,2
000000000802.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,20,2
000000000872.jpg,MEDIUM,onnx_cuda,False,2,14,0,True,True,22,4
000000000885.jpg,MEDIUM,onnx_cuda,False,4,45,4,True,True,58,9
000000001000.jpg,MEDIUM,onnx_cuda,False,12,111,0,True,True,154,17
000000001268.jpg,MEDIUM,onnx_cuda,False,4,36,0,True,True,70,11
000000001296.jpg,MEDIUM,onnx_cuda,False,2,28,0,True,True,37,4
000000001353.jpg,MEDIUM,onnx_cuda,False,4,39,2,True,True,53,7
000000001425.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,23,2
000000001490.jpg,MEDIUM,onnx_cuda,False,1,9,0,True,True,18,2
000000001503.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,52,5
000000001532.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,67,8
000000001584.jpg,MEDIUM,onnx_cuda,False,5,37,6,True,True,81,14
000000001675.jpg,MEDIUM,onnx_cuda,False,0,0,0,False,False,21,2
000000001761.jpg,MEDIUM,onnx_cuda,False,0,0,5,True,False,21,7
