image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
000000000139.jpg,NANO,onnx_cuda,False,1,8,1,True,True,41,20
000000000285.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,1
000000000632.jpg,NANO,onnx_cuda,False,0,0,0,False,False,26,17
000000000724.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,4
000000000776.jpg,NANO,onnx_cuda,False,0,0,0,False,False,30,4
000000000785.jpg,NANO,onnx_cuda,False,1,9,0,True,True,20,2
000000000802.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,2
000000000872.jpg,NANO,onnx_cuda,False,2,16,0,True,True,22,4
000000000885.jpg,NANO,onnx_cuda,False,2,16,6,True,True,31,9
000000001000.jpg,NANO,onnx_cuda,False,9,59,3,True,True,72,17
000000001268.jpg,NANO,onnx_cuda,False,4,29,0,True,True,40,11
000000001296.jpg,NANO,onnx_cuda,False,2,16,0,True,True,18,4
000000001353.jpg,NANO,onnx_cuda,False,0,0,6,True,False,0,7
000000001425.jpg,NANO,onnx_cuda,False,0,0,0,False,False,4,2
000000001490.jpg,NANO,onnx_cuda,False,1,9,0,True,True,10,2
000000001503.jpg,NANO,onnx_cuda,False,0,0,0,False,False,46,5
000000001532.jpg,NANO,onnx_cuda,False,0,2,0,False,True,35,8
000000001584.jpg,NANO,onnx_cuda,False,2,2,9,True,True,32,14
000000001675.jpg,NANO,onnx_cuda,False,0,0,0,False,False,9,2
000000001761.jpg,NANO,onnx_cuda,False,0,0,5,True,False,23,7
000000001818.jpg,NANO,onnx_cuda,False,0,0,0,False,False,18,2
000000001993.jpg,NANO,onnx_cuda,False,0,0,0,False,False,27,4
000000002006.jpg,NANO,onnx_cuda,False,2,13,1,True,True,25,8
000000002149.jpg,NANO,onnx_cuda,False,0,0,0,False,False,19,2
000000002153.jpg,NANO,onnx_cuda,False,4,21,0,True,True,26,5
000000002157.jpg,NANO,onnx_cuda,False,0,0,0,False,False,38,16
000000002261.jpg,NANO,onnx_cuda,False,1,10,0,True,True,12,2
000000002299.jpg,NANO,onnx_cuda,False,1,0,12,True,True,1,22
000000002431.jpg,NANO,onnx_cuda,False,0,0,2,True,False,34,9
000000002473.jpg,NANO,onnx_cuda,False,3,15,1,True,True,18,5
000000002532.jpg,NANO,onnx_cuda,False,1,7,0,True,True,13,2
000000002587.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,2
000000002592.jpg,NANO,onnx_cuda,False,0,0,0,False,False,11,3
000000002685.jpg,NANO,onnx_cuda,False,4,19,2,True,True,23,19
000000002923.jpg,NANO,onnx_cuda,False,0,0,0,False,False,1,7
000000003156.jpg,NANO,onnx_cuda,False,1,9,0,True,True,22,3
000000003255.jpg,NANO,onnx_cuda,False,0,0,6,True,False,2,10
000000003501.jpg,NANO,onnx_cuda,False,0,0,0,False,False,19,3
000000003553.jpg,NANO,onnx_cuda,False,1,8,0,True,True,17,2
000000003661.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,3
000000003845.jpg,NANO,onnx_cuda,False,0,0,0,False,False,24,12
000000003934.jpg,NANO,onnx_cuda,False,6,34,1,True,True,43,14
000000004134.jpg,NANO,onnx_cuda,False,4,31,9,True,True,39,26
000000004395.jpg,NANO,onnx_cuda,False,1,9,0,True,True,20,2
000000004495.jpg,NANO,onnx_cuda,False,0,0,0,False,False,23,3
000000004765.jpg,NANO,onnx_cuda,False,1,9,0,True,True,16,2
000000004795.jpg,NANO,onnx_cuda,False,0,0,0,False,False,38,3
000000005001.jpg,NANO,onnx_cuda,False,7,40,7,True,True,51,17
000000005037.jpg,NANO,onnx_cuda,False,1,0,6,True,True,11,10
000000005060.jpg,NANO,onnx_cuda,False,1,8,0,True,True,9,2
000000005193.jpg,NANO,onnx_cuda,False,5,41,1,True,True,47,9
000000005477.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,2
000000005503.jpg,NANO,onnx_cuda,False,0,0,0,False,False,13,1
000000005529.jpg,NANO,onnx_cuda,False,1,9,0,True,True,14,2
000000005586.jpg,NANO,onnx_cuda,False,4,28,9,True,True,34,14
000000005600.jpg,NANO,onnx_cuda,False,0,0,0,False,False,23,3
000000005992.jpg,NANO,onnx_cuda,False,0,0,0,False,False,46,5
000000006012.jpg,NANO,onnx_cuda,False,0,0,0,False,False,9,2
000000006040.jpg,NANO,onnx_cuda,False,0,0,9,True,False,10,12
000000006213.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,2
000000006460.jpg,NANO,onnx_cuda,False,1,2,0,True,True,6,2
000000006471.jpg,NANO,onnx_cuda,False,7,77,3,True,True,101,16
000000006614.jpg,NANO,onnx_cuda,False,0,0,0,False,False,25,2
000000006723.jpg,NANO,onnx_cuda,False,0,0,0,False,False,5,6
000000006763.jpg,NANO,onnx_cuda,False,3,24,0,True,True,37,7
000000006771.jpg,NANO,onnx_cuda,False,6,31,2,True,True,37,9
000000006818.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,1
000000006894.jpg,NANO,onnx_cuda,False,1,3,0,True,True,22,2
000000006954.jpg,NANO,onnx_cuda,False,5,51,0,True,True,74,7
000000007088.jpg,NANO,onnx_cuda,False,1,9,0,True,True,19,4
000000007108.jpg,NANO,onnx_cuda,False,0,0,0,False,False,32,5
000000007278.jpg,NANO,onnx_cuda,False,1,8,0,True,True,9,2
000000007281.jpg,NANO,onnx_cuda,False,2,13,8,True,True,27,12
000000007386.jpg,NANO,onnx_cuda,False,1,1,2,True,True,2,5
000000007511.jpg,NANO,onnx_cuda,False,1,11,12,True,True,15,16
000000007574.jpg,NANO,onnx_cuda,False,0,0,0,False,False,34,12
000000007784.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,1
000000007795.jpg,NANO,onnx_cuda,False,0,0,0,False,False,26,4
000000007816.jpg,NANO,onnx_cuda,False,7,45,4,True,True,52,11
000000007818.jpg,NANO,onnx_cuda,False,0,0,0,False,False,11,11
000000007888.jpg,NANO,onnx_cuda,False,0,0,0,False,False,17,2
000000007977.jpg,NANO,onnx_cuda,False,1,11,4,True,True,23,6
000000007991.jpg,NANO,onnx_cuda,False,0,0,0,False,False,11,3
000000008021.jpg,NANO,onnx_cuda,False,3,23,0,True,True,30,7
000000008211.jpg,NANO,onnx_cuda,False,2,28,2,True,True,30,6
000000008277.jpg,NANO,onnx_cuda,False,0,0,0,False,False,11,13
000000008532.jpg,NANO,onnx_cuda,False,1,9,0,True,True,17,2
000000008629.jpg,NANO,onnx_cuda,False,0,0,0,False,False,3,7
000000008690.jpg,NANO,onnx_cuda,False,2,22,2,True,True,26,5
000000008762.jpg,NANO,onnx_cuda,False,0,0,0,False,False,8,7
000000008844.jpg,NANO,onnx_cuda,False,1,14,2,True,True,15,7
000000008899.jpg,NANO,onnx_cuda,False,0,0,1,True,False,6,2
000000009378.jpg,NANO,onnx_cuda,False,1,9,8,True,True,10,10
000000009400.jpg,NANO,onnx_cuda,False,5,37,4,True,True,79,24
000000009448.jpg,NANO,onnx_cuda,False,1,9,0,True,True,19,2
000000009483.jpg,NANO,onnx_cuda,False,1,18,0,True,True,40,6
000000009590.jpg,NANO,onnx_cuda,False,5,43,1,True,True,72,29
000000009769.jpg,NANO,onnx_cuda,False,0,0,3,True,False,11,5
000000009772.jpg,NANO,onnx_cuda,False,0,0,1,True,False,11,4
000000009891.jpg,NANO,onnx_cuda,False,2,17,2,True,True,34,13
000000009914.jpg,NANO,onnx_cuda,False,0,0,0,False,False,3,7
000000010092.jpg,NANO,onnx_cuda,False,0,0,0,False,False,11,5
000000010363.jpg,NANO,onnx_cuda,False,0,0,1,True,False,20,4
000000010583.jpg,NANO,onnx_cuda,False,0,0,0,False,False,16,4
000000010707.jpg,NANO,onnx_cuda,False,3,20,0,True,True,42,15
000000010764.jpg,NANO,onnx_cuda,False,1,9,0,True,True,20,2
000000010977.jpg,NANO,onnx_cuda,False,0,0,0,False,False,16,2
000000010995.jpg,NANO,onnx_cuda,False,0,0,0,False,False,15,1
000000011051.jpg,NANO,onnx_cuda,False,2,18,0,True,True,25,3
000000011122.jpg,NANO,onnx_cuda,False,0,0,0,False,False,8,1
000000011149.jpg,NANO,onnx_cuda,False,5,37,0,True,True,42,5
000000011197.jpg,NANO,onnx_cuda,False,2,13,4,True,True,34,16
000000011511.jpg,NANO,onnx_cuda,False,1,22,4,True,True,23,10
000000011615.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,1
000000011699.jpg,NANO,onnx_cuda,False,2,10,1,True,True,26,6
000000011760.jpg,NANO,onnx_cuda,False,0,0,0,False,False,29,3
000000011813.jpg,NANO,onnx_cuda,False,0,0,0,False,False,12,2
000000012062.jpg,NANO,onnx_cuda,False,0,0,0,False,False,20,4
000000012120.jpg,NANO,onnx_cuda,False,2,27,11,True,True,31,24
000000012280.jpg,NANO,onnx_cuda,False,1,6,2,True,True,7,5
000000012576.jpg,NANO,onnx_cuda,False,0,0,1,True,False,40,15
000000012639.jpg,NANO,onnx_cuda,False,6,44,7,True,True,50,15
000000012667.jpg,NANO,onnx_cuda,False,0,0,0,False,False,15,1
000000012670.jpg,NANO,onnx_cuda,False,6,37,7,True,True,43,28
000000012748.jpg,NANO,onnx_cuda,False,2,15,0,True,True,25,3
000000013004.jpg,NANO,onnx_cuda,False,0,0,0,False,False,2,2
000000013177.jpg,NANO,onnx_cuda,False,2,20,1,True,True,22,3
000000013201.jpg,NANO,onnx_cuda,False,1,9,0,True,True,11,2
000000013291.jpg,NANO,onnx_cuda,False,4,32,0,True,True,38,8
000000013348.jpg,NANO,onnx_cuda,False,0,0,6,True,False,10,12
000000013546.jpg,NANO,onnx_cuda,False,1,9,1,True,True,10,8
000000013597.jpg,NANO,onnx_cuda,False,0,0,0,False,False,4,2
000000013659.jpg,NANO,onnx_cuda,False,4,27,1,True,True,83,18
000000013729.jpg,NANO,onnx_cuda,False,4,26,0,True,True,33,11
000000013774.jpg,NANO,onnx_cuda,False,1,10,0,True,True,11,2
000000013923.jpg,NANO,onnx_cuda,False,0,0,0,False,False,37,19
000000014007.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,2
000000014038.jpg,NANO,onnx_cuda,False,0,0,0,False,False,26,24
000000014226.jpg,NANO,onnx_cuda,False,1,12,0,True,True,34,8
000000014380.jpg,NANO,onnx_cuda,False,0,0,0,False,False,2,2
000000014439.jpg,NANO,onnx_cuda,False,9,48,4,True,True,65,20
000000014473.jpg,NANO,onnx_cuda,False,4,3,3,True,True,15,8
000000014831.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,2
000000014888.jpg,NANO,onnx_cuda,False,0,0,0,False,False,14,1
000000015079.jpg,NANO,onnx_cuda,False,0,0,0,False,False,20,3
000000015254.jpg,NANO,onnx_cuda,False,0,0,0,False,False,34,8
000000015272.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,1
000000015278.jpg,NANO,onnx_cuda,False,0,0,0,False,False,9,1
000000015335.jpg,NANO,onnx_cuda,False,3,22,8,True,True,27,15
000000015338.jpg,NANO,onnx_cuda,False,0,0,0,False,False,4,5
000000015440.jpg,NANO,onnx_cuda,False,0,0,0,False,False,17,3
000000015497.jpg,NANO,onnx_cuda,False,0,0,0,False,False,16,3
000000015517.jpg,NANO,onnx_cuda,False,0,0,0,False,False,15,13
000000015597.jpg,NANO,onnx_cuda,False,1,10,1,True,True,12,3
000000015660.jpg,NANO,onnx_cuda,False,1,10,0,True,True,17,7
000000015746.jpg,NANO,onnx_cuda,False,0,0,0,False,False,10,1
000000015751.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,4
000000015956.jpg,NANO,onnx_cuda,False,1,9,0,True,True,19,4
000000016010.jpg,NANO,onnx_cuda,False,0,0,0,False,False,16,5
000000016228.jpg,NANO,onnx_cuda,False,1,2,12,True,True,17,20
000000016249.jpg,NANO,onnx_cuda,False,4,38,1,True,True,46,11
000000016439.jpg,NANO,onnx_cuda,False,0,0,0,False,False,15,2
000000016451.jpg,NANO,onnx_cuda,False,1,0,0,True,True,18,12
000000016502.jpg,NANO,onnx_cuda,False,0,0,0,False,False,8,1
000000016598.jpg,NANO,onnx_cuda,False,1,9,0,True,True,17,3
000000016958.jpg,NANO,onnx_cuda,False,0,0,0,False,False,34,8
000000017029.jpg,NANO,onnx_cuda,False,0,0,0,False,False,26,4
000000017031.jpg,NANO,onnx_cuda,False,0,10,0,False,True,20,1
000000017115.jpg,NANO,onnx_cuda,False,0,0,0,False,False,20,2
000000017178.jpg,NANO,onnx_cuda,False,0,0,0,False,False,31,5
000000017182.jpg,NANO,onnx_cuda,False,0,0,0,False,False,8,8
000000017207.jpg,NANO,onnx_cuda,False,0,0,2,True,False,28,5
000000017379.jpg,NANO,onnx_cuda,False,0,0,2,True,False,25,5
000000017436.jpg,NANO,onnx_cuda,False,1,10,0,True,True,11,3
000000017627.jpg,NANO,onnx_cuda,False,0,0,4,True,False,44,16
000000017714.jpg,NANO,onnx_cuda,False,0,0,0,False,False,0,17
000000017899.jpg,NANO,onnx_cuda,False,1,10,0,True,True,31,11
000000017905.jpg,NANO,onnx_cuda,False,1,8,0,True,True,19,3
000000017959.jpg,NANO,onnx_cuda,False,0,0,13,True,False,18,24
000000018150.jpg,NANO,onnx_cuda,False,2,18,0,True,True,26,7
