image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
005981.png,NANO,onnx_cuda,False,0,0,0,False,False,13,9
005982.png,NANO,onnx_cuda,False,0,0,2,True,False,22,11
005983.png,NANO,onnx_cuda,False,0,0,0,False,False,32,16
005984.png,NANO,onnx_cuda,False,0,10,1,True,True,11,12
005985.png,NANO,onnx_cuda,False,0,5,4,True,True,5,12
005986.png,NANO,onnx_cuda,False,0,0,0,False,False,21,7
005987.png,NANO,onnx_cuda,False,0,0,0,False,False,6,6
005988.png,NANO,onnx_cuda,False,4,9,12,True,True,23,19
005989.png,NANO,onnx_cuda,False,0,0,0,False,False,0,4
005990.png,NANO,onnx_cuda,False,0,0,0,False,False,9,2
005991.png,NANO,onnx_cuda,False,0,0,1,True,False,0,8
005992.png,NANO,onnx_cuda,False,0,0,0,False,False,13,5
005993.png,NANO,onnx_cuda,False,0,0,0,False,False,0,1
005994.png,NANO,onnx_cuda,False,2,11,1,True,True,13,5
005995.png,NANO,onnx_cuda,False,0,0,0,False,False,0,2
005996.png,NANO,onnx_cuda,False,0,0,0,False,False,42,12
005997.png,NANO,onnx_cuda,False,0,0,2,True,False,0,7
005998.png,NANO,onnx_cuda,False,0,0,0,False,False,18,5
005999.png,NANO,onnx_cuda,False,0,0,0,False,False,21,8
006000.png,NANO,onnx_cuda,False,0,0,0,False,False,2,5
005981.png,SMALL,onnx_cuda,False,0,0,0,False,False,29,9
005982.png,SMALL,onnx_cuda,False,0,0,2,True,False,41,11
005983.png,SMALL,onnx_cuda,False,0,0,0,False,False,57,16
005984.png,SMALL,onnx_cuda,False,0,0,1,True,False,0,12
005985.png,SMALL,onnx_cuda,False,2,10,2,True,True,12,12
005986.png,SMALL,onnx_cuda,False,0,0,0,False,False,34,7
005987.png,SMALL,onnx_cuda,False,0,0,0,False,False,29,6
005988.png,SMALL,onnx_cuda,False,5,31,11,True,True,46,19
005989.png,SMALL,onnx_cuda,False,0,0,0,False,False,0,4
005990.png,SMALL,onnx_cuda,False,0,0,0,False,False,11,2
005991.png,SMALL,onnx_cuda,False,0,0,1,True,False,2,8
005992.png,SMALL,onnx_cuda,False,0,0,0,False,False,30,5
005993.png,SMALL,onnx_cuda,False,0,0,0,False,False,2,1
005994.png,SMALL,onnx_cuda,False,3,16,0,True,True,23,5
005995.png,SMALL,onnx_cuda,False,0,0,0,False,False,1,2
005996.png,SMALL,onnx_cuda,False,0,0,0,False,False,63,12
005997.png,SMALL,onnx_cuda,False,0,0,2,True,False,0,7
005998.png,SMALL,onnx_cuda,False,0,0,0,False,False,21,5
005999.png,SMALL,onnx_cuda,False,0,0,0,False,False,30,8
006000.png,SMALL,onnx_cuda,False,0,0,0,False,False,14,5
005981.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,50,9
005982.png,MEDIUM,onnx_cuda,False,0,0,2,True,False,55,11
005983.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,111,16
005984.png,MEDIUM,onnx_cuda,False,1,1,0,True,True,25,12
005985.png,MEDIUM,onnx_cuda,False,2,36,2,True,True,41,12
005986.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,41,7
005987.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,49,6
005988.png,MEDIUM,onnx_cuda,False,11,107,5,True,True,128,19
005989.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,0,4
005990.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,12,2
005991.png,MEDIUM,onnx_cuda,False,0,0,1,True,False,13,8
005992.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,40,5
005993.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,5,1
005994.png,MEDIUM,onnx_cuda,False,3,20,0,True,True,30,5
005995.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,10,2
005996.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,91,12
005997.png,MEDIUM,onnx_cuda,False,0,0,2,True,False,17,7
005998.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,37,5
005999.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,47,8
006000.png,MEDIUM,onnx_cuda,False,0,0,0,False,False,35,5
