image,tier,backend,execution_providers,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source
005981.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,13,9,1.0,0.06908702850341797,50.0,1485.0,nvml
005982.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,2,True,False,22,11,1.0,0.06908702850341797,50.0,1485.0,nvml
005983.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,32,16,5.0,0.06908702850341797,50.0,1485.0,nvml
005984.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,10,1,True,True,11,12,5.0,0.06908702850341797,50.0,1485.0,nvml
005985.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,5,4,True,True,5,12,5.0,0.06908702850341797,50.0,1485.0,nvml
005986.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,21,7,5.0,0.06908702850341797,50.0,1485.0,nvml
005987.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,6,6,5.0,0.06908702850341797,50.0,1485.0,nvml
005988.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,4,9,12,True,True,23,19,5.0,0.06908702850341797,50.0,1485.0,nvml
005989.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,0,4,5.0,0.06908702850341797,50.0,1485.0,nvml
005990.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,9,2,5.0,0.06908702850341797,50.0,1485.0,nvml
005991.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,0,8,5.0,0.06908702850341797,50.0,1485.0,nvml
005992.png,NANO,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,13,5,5.0,0.06908702850341797,50.0,1485.0,nvml
