run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,heavy,0.75,process_steady_v3,15,,SMALL,11.839,0.6613,78.1,70.2,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.015,8.018,2.617,1.178,1878.889,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,heavy,0.75,process_steady_v3,15,,SMALL,10.925,0.6218,71.1,71.2,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.009,8.092,1.625,1.191,11.185,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,heavy,0.75,process_steady_v3,15,,SMALL,13.346,0.6218,71.1,71.2,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.009,9.582,2.452,1.29,13.617,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,threshold,heavy,0.75,process_steady_v3,15,,SMALL,11.235,0.6218,71.1,71.2,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.004,8.02,2.001,1.194,11.417,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,heavy,0.75,process_steady_v3,15,,SMALL,11.571,0.6218,71.1,71.2,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.006,8.098,2.399,1.053,11.795,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,heavy,0.75,process_steady_v3,15,,NANO,11.036,0.6893,82.3,71.3,,0.0,0.17260265350341797,65.0,510.0,nvml,0.187,9.339,1.097,0.58,11.323,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,3,True,006201.png,,,,,,,,,,False
1,0,predictive,heavy,0.75,process_steady_v3,15,,NANO,10.865,0.6893,82.3,71.3,,0.0,0.17260265350341797,65.0,510.0,nvml,0.016,9.391,1.035,0.42,10.959,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,10,False,007377.png,,,,,,,,,,False
2,0,predictive,heavy,0.75,process_steady_v3,15,,NANO,10.724,0.6893,82.3,71.3,,0.0,0.17260265350341797,65.0,510.0,nvml,0.007,9.265,0.753,0.694,10.836,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,24,False,006587.png,,,,,,,,,,False
3,0,predictive,heavy,0.75,process_steady_v3,15,,NANO,11.215,0.6893,82.3,71.3,,0.0,0.17260265350341797,65.0,510.0,nvml,0.009,9.537,1.143,0.515,11.336,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,006905.png,,,,,,,,,,False
4,0,predictive,heavy,0.75,process_steady_v3,15,,NANO,12.651,0.6893,82.3,71.3,,0.0,0.17260265350341797,65.0,510.0,nvml,0.014,10.906,1.375,0.344,12.743,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,4,False,007244.png,,,,,,,,,,False
