run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,burst,0.85,process_isolated_burst_v2,15,0,NANO,8.748,0.7335,92.7,64.0,,0.0,0.17260265350341797,49.0,1485.0,nvml,0.205,6.373,1.67,0.674,1751.581,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,3,True,006201.png,,,,36.54674,45.225824,53.904908,25.82,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
1,0,adaptive,burst,0.85,process_isolated_burst_v2,15,1,NANO,7.112,0.705,87.5,65.1,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.016,5.612,1.134,0.351,7.232,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,10,False,007377.png,,,,0.145384,0.17938,0.213377,24.802,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
2,0,adaptive,burst,0.85,process_isolated_burst_v2,15,2,NANO,7.593,0.6996,86.6,65.1,,0.0,0.17260265350341797,51.0,1485.0,nvml,6.135,5.732,1.263,0.582,13.877,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,24,False,006587.png,,,,0.277081,0.341687,0.406293,24.622,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
3,0,adaptive,burst,0.85,process_isolated_burst_v2,15,3,NANO,7.261,0.6996,86.6,65.1,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.126,5.636,1.14,0.472,7.512,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,006905.png,,,,0.149996,0.18497,0.219944,24.622,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
4,0,adaptive,burst,0.85,process_isolated_burst_v2,15,4,NANO,6.983,0.6996,86.6,65.1,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.102,5.516,0.98,0.466,7.245,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,4,False,007244.png,,,,0.144667,0.178399,0.21213,24.622,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
5,0,adaptive,burst,0.85,process_isolated_burst_v2,15,5,NANO,7.776,0.6996,86.6,65.1,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.128,5.963,1.221,0.576,8.05,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,007031.png,,,,0.160722,0.198197,0.235672,24.622,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
6,0,adaptive,burst,0.85,process_isolated_burst_v2,15,6,NANO,8.949,0.6996,86.6,65.1,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.134,6.998,1.185,0.746,9.282,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,False,006369.png,,,,0.185327,0.228539,0.271751,24.622,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
7,0,adaptive,burst,0.85,process_isolated_burst_v2,15,7,NANO,7.412,0.7196,88.6,65.1,,4.0,0.17260265350341797,51.0,1485.0,nvml,0.118,5.494,1.372,0.529,7.79,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006254.png,,,,0.172136,0.213934,0.255733,27.462,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
8,0,adaptive,burst,0.85,process_isolated_burst_v2,15,8,NANO,8.237,0.7196,88.6,65.1,,4.0,0.17260265350341797,51.0,1485.0,nvml,0.142,6.544,1.296,0.377,8.519,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,7,False,006781.png,,,,0.188231,0.233938,0.279644,27.462,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
9,0,adaptive,burst,0.85,process_isolated_burst_v2,15,9,NANO,8.317,0.7196,88.6,65.1,,4.0,0.17260265350341797,51.0,1485.0,nvml,0.128,6.52,1.313,0.467,8.593,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,6,False,006840.png,,,,0.189869,0.235973,0.282077,27.462,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
10,0,adaptive,burst,0.85,process_isolated_burst_v2,15,10,NANO,7.2,0.7196,88.6,65.1,,4.0,0.17260265350341797,51.0,1485.0,nvml,0.086,5.528,1.176,0.484,7.429,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,1,False,007416.png,,,,0.164159,0.204021,0.243882,27.462,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
11,0,adaptive,burst,0.85,process_isolated_burst_v2,15,11,NANO,7.64,0.7196,88.6,65.1,,4.0,0.17260265350341797,51.0,1485.0,nvml,0.101,6.08,0.992,0.551,7.882,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,True,007420.png,,,,0.174171,0.216464,0.258756,27.462,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
12,0,adaptive,burst,0.85,process_isolated_burst_v2,15,12,NANO,7.858,0.7196,88.6,65.1,,4.0,0.17260265350341797,51.0,1485.0,nvml,0.125,5.995,1.185,0.666,8.121,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,34,False,007182.png,,,,0.179446,0.223019,0.266592,27.462,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
13,0,adaptive,burst,0.85,process_isolated_burst_v2,15,13,NANO,7.464,0.7016,85.6,65.1,,4.0,0.17260265350341797,52.0,1485.0,nvml,0.203,5.814,1.221,0.408,7.824,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,007443.png,,,,0.169364,0.210171,0.250978,26.862,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
14,0,adaptive,burst,0.85,process_isolated_burst_v2,15,14,NANO,6.923,0.7016,85.6,65.1,,4.0,0.17260265350341797,52.0,1485.0,nvml,0.136,5.358,1.13,0.421,7.192,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006164.png,,,,0.15569,0.193202,0.230714,26.862,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
15,0,adaptive,burst,0.85,process_isolated_burst_v2,15,15,NANO,7.987,0.7016,85.6,65.1,,4.0,0.17260265350341797,52.0,1485.0,nvml,0.16,6.26,1.218,0.489,8.308,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,7,False,007087.png,,,,0.179837,0.223167,0.266497,26.862,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
16,0,adaptive,burst,0.85,process_isolated_burst_v2,15,16,NANO,7.463,0.7016,85.6,65.1,,4.0,0.17260265350341797,52.0,1485.0,nvml,0.15,5.749,1.194,0.502,7.757,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,11,False,006681.png,,,,0.16791,0.208366,0.248822,26.862,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
17,0,adaptive,burst,0.85,process_isolated_burst_v2,15,17,NANO,8.361,0.7016,85.6,65.1,,4.0,0.17260265350341797,52.0,1485.0,nvml,0.138,6.301,1.383,0.657,8.663,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,16,False,006319.png,,,,0.187517,0.232697,0.277878,26.862,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
18,0,adaptive,burst,0.85,process_isolated_burst_v2,15,18,NANO,7.407,0.7288,86.8,65.1,,14.0,0.17260265350341797,52.0,1485.0,nvml,0.136,5.681,1.184,0.526,7.691,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,False,007392.png,,,,0.203043,0.255343,0.307643,33.202,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
19,0,adaptive,burst,0.85,process_isolated_burst_v2,15,19,NANO,8.118,0.7288,86.8,65.1,,14.0,0.17260265350341797,52.0,1485.0,nvml,0.134,6.531,1.149,0.423,8.425,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006148.png,,,,0.222441,0.279737,0.337033,33.202,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
20,0,adaptive,burst,0.0,process_isolated_burst_v2,15,20,SMALL,11.075,0.2642,10.7,65.1,,10.0,0.17260265350341797,52.0,1485.0,nvml,0.3,8.023,2.264,0.762,11.571,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006447.png,,,,0.152231,0.179833,0.207436,15.542,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
21,0,adaptive,burst,0.0,process_isolated_burst_v2,15,21,SMALL,12.592,0.2642,10.7,65.1,,10.0,0.17260265350341797,52.0,1485.0,nvml,0.149,8.177,1.986,2.402,13.018,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,13,True,006857.png,,,,0.171273,0.202327,0.233382,15.542,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
22,0,adaptive,burst,0.0,process_isolated_burst_v2,15,22,SMALL,13.68,0.2642,10.7,65.1,,10.0,0.17260265350341797,52.0,1485.0,nvml,0.135,9.068,2.628,1.96,14.279,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,45,False,006127.png,,,,0.187867,0.22193,0.255994,15.542,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
23,0,adaptive,burst,0.0,process_isolated_burst_v2,15,23,SMALL,14.35,0.3272,21.2,65.1,,10.0,0.17260265350341797,52.0,1485.0,nvml,0.141,9.234,2.292,2.796,15.299,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,8,False,006831.png,,,,0.225376,0.269903,0.314431,17.642,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
24,0,adaptive,burst,0.0,process_isolated_burst_v2,15,24,MEDIUM,48.575,0.3272,21.2,65.1,,10.0,0.17260265350341797,52.0,1485.0,nvml,0.426,37.947,8.232,2.367,49.607,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,20,False,006461.png,,,,0.73078,0.87516,1.01954,17.642,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
25,0,adaptive,burst,0.0,process_isolated_burst_v2,15,25,SMALL,11.361,0.4472,40.4,65.3,,9.0,0.23510265350341797,53.0,1485.0,nvml,0.228,8.226,1.828,1.283,11.791,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,10,False,007415.png,,,,0.202296,0.246147,0.289997,20.876,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
26,0,adaptive,burst,0.0,process_isolated_burst_v2,15,26,SMALL,13.131,0.4472,40.4,65.3,,9.0,0.23510265350341797,53.0,1485.0,nvml,0.12,9.223,2.203,1.672,13.502,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,28,False,006154.png,,,,0.231647,0.281859,0.332072,20.876,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
