run_idx,policy,load_profile,load_intensity,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,backend,simulated,n_detections,vru_detected,frame
0,threshold,idle,0.0,SMALL,28.924,0.2407,11.1,63.0,,onnx,False,15,True,000000.png
1,threshold,idle,0.0,SMALL,25.785,0.2407,11.1,63.0,,onnx,False,0,False,000001.png
2,threshold,idle,0.0,MEDIUM,199.167,0.2635,14.1,63.1,,onnx,False,18,False,000002.png
3,threshold,idle,0.0,MEDIUM,189.905,0.3955,31.6,63.4,,onnx,False,20,True,000003.png
4,threshold,idle,0.0,MEDIUM,191.313,0.439,37.4,63.4,,onnx,False,21,True,000004.png
5,threshold,idle,0.0,SMALL,31.186,0.306,19.7,63.3,,onnx,False,12,True,000005.png
6,threshold,idle,0.0,SMALL,31.073,0.306,19.7,63.3,,onnx,False,2,False,000006.png
7,threshold,idle,0.0,SMALL,30.301,0.373,28.6,63.4,,onnx,False,0,False,000007.png
8,threshold,idle,0.0,SMALL,30.665,0.373,28.6,63.4,,onnx,False,49,False,000008.png
9,threshold,idle,0.0,SMALL,31.193,0.3708,28.3,63.4,,onnx,False,0,False,000009.png
10,threshold,idle,0.0,SMALL,30.274,0.3708,28.3,63.4,,onnx,False,40,False,000010.png
11,threshold,idle,0.0,SMALL,32.029,0.4045,32.8,63.4,,onnx,False,28,True,000011.png
12,threshold,idle,0.0,SMALL,30.839,0.4045,32.8,63.4,,onnx,False,20,True,000012.png
13,threshold,idle,0.0,SMALL,31.224,0.4135,34.0,63.4,,onnx,False,7,False,000013.png
14,threshold,idle,0.0,SMALL,31.797,0.4135,34.0,63.4,,onnx,False,0,False,000014.png
15,threshold,idle,0.0,SMALL,31.325,0.3543,26.1,63.4,,onnx,False,41,True,000015.png
16,threshold,idle,0.0,SMALL,30.032,0.3543,26.1,63.4,,onnx,False,27,False,000016.png
17,threshold,idle,0.0,SMALL,28.689,0.4127,33.9,63.4,,onnx,False,12,True,000017.png
18,threshold,idle,0.0,SMALL,29.997,0.4127,33.9,63.4,,onnx,False,7,False,000018.png
19,threshold,idle,0.0,SMALL,30.628,0.2538,12.7,63.4,,onnx,False,21,False,000019.png
20,threshold,idle,0.0,SMALL,31.914,0.2538,12.7,63.4,,onnx,False,8,False,000020.png
21,threshold,idle,0.0,MEDIUM,214.757,0.2538,12.7,63.4,,onnx,False,68,True,000021.png
22,threshold,idle,0.0,MEDIUM,226.863,0.4055,32.9,63.5,,onnx,False,0,False,000022.png
23,threshold,idle,0.0,MEDIUM,200.676,0.4403,37.5,63.6,,onnx,False,6,False,000023.png
24,threshold,idle,0.0,SMALL,32.554,0.32,21.5,63.5,,onnx,False,4,True,000024.png
25,threshold,idle,0.0,SMALL,31.23,0.2943,18.1,63.4,,onnx,False,38,False,000025.png
26,threshold,idle,0.0,SMALL,34.471,0.2943,18.1,63.4,,onnx,False,0,False,000026.png
27,threshold,idle,0.0,SMALL,41.04,0.352,25.8,63.4,,onnx,False,10,False,000027.png
28,threshold,idle,0.0,SMALL,39.666,0.352,25.8,63.4,,onnx,False,11,True,000028.png
29,threshold,idle,0.0,SMALL,30.994,0.3463,25.0,63.5,,onnx,False,0,False,000029.png
30,threshold,idle,0.0,SMALL,32.035,0.3463,25.0,63.5,,onnx,False,1,False,000030.png
31,threshold,idle,0.0,SMALL,46.432,0.4362,37.0,63.5,,onnx,False,59,False,000031.png
32,threshold,idle,0.0,SMALL,38.092,0.3393,24.1,63.4,,onnx,False,40,False,000032.png
33,threshold,idle,0.0,SMALL,31.312,0.3393,24.1,63.4,,onnx,False,12,True,000033.png
34,threshold,idle,0.0,SMALL,38.813,0.4945,44.8,63.4,,onnx,False,13,False,000034.png
35,threshold,idle,0.0,SMALL,40.88,0.4945,44.8,63.4,,onnx,False,11,True,000035.png
36,threshold,idle,0.0,SMALL,31.822,0.295,18.2,63.4,,onnx,False,36,False,000036.png
37,threshold,idle,0.0,SMALL,39.751,0.295,18.2,63.4,,onnx,False,18,False,000037.png
38,threshold,idle,0.0,SMALL,36.927,0.3265,22.4,63.4,,onnx,False,50,False,000038.png
39,threshold,idle,0.0,SMALL,32.612,0.3265,22.4,63.4,,onnx,False,25,False,000039.png
40,threshold,idle,0.0,SMALL,29.627,0.2777,15.9,63.4,,onnx,False,0,False,000040.png
41,threshold,idle,0.0,SMALL,32.646,0.2777,15.9,63.4,,onnx,False,0,False,000041.png
42,threshold,idle,0.0,MEDIUM,222.402,0.2732,15.3,63.4,,onnx,False,8,False,000042.png
43,threshold,idle,0.0,MEDIUM,189.953,0.4108,33.6,63.5,,onnx,False,36,True,000043.png
44,threshold,idle,0.0,MEDIUM,238.019,0.4082,33.3,63.4,,onnx,False,20,False,000044.png
45,threshold,idle,0.0,MEDIUM,240.986,0.2672,14.5,63.4,,onnx,False,49,False,000045.png
46,threshold,idle,0.0,MEDIUM,212.615,0.2995,18.8,63.4,,onnx,False,36,False,000046.png
47,threshold,idle,0.0,MEDIUM,207.685,0.3327,23.2,63.5,,onnx,False,70,False,000047.png
48,threshold,idle,0.0,MEDIUM,191.6,0.301,19.0,63.4,,onnx,False,73,True,000048.png
49,threshold,idle,0.0,SMALL,32.23,0.3427,24.6,63.3,,onnx,False,94,True,000049.png
50,threshold,idle,0.0,SMALL,31.104,0.3427,24.6,63.3,,onnx,False,32,False,000050.png
51,threshold,idle,0.0,SMALL,31.716,0.3728,28.6,63.3,,onnx,False,3,True,000051.png
52,threshold,idle,0.0,SMALL,31.419,0.3728,28.6,63.3,,onnx,False,40,False,000052.png
53,threshold,idle,0.0,SMALL,34.465,0.3923,31.2,63.3,,onnx,False,39,False,000053.png
54,threshold,idle,0.0,SMALL,30.833,0.3923,31.2,63.3,,onnx,False,13,True,000054.png
55,threshold,idle,0.0,SMALL,31.063,0.3618,27.1,63.4,,onnx,False,2,False,000055.png
56,threshold,idle,0.0,SMALL,33.242,0.3618,27.1,63.4,,onnx,False,0,False,000056.png
57,threshold,idle,0.0,SMALL,31.328,0.4735,42.0,63.4,,onnx,False,10,False,000057.png
58,threshold,idle,0.0,SMALL,31.676,0.4735,42.0,63.4,,onnx,False,12,True,000058.png
59,threshold,idle,0.0,SMALL,31.542,0.3468,25.1,63.4,,onnx,False,26,False,000059.png
60,threshold,idle,0.0,SMALL,29.619,0.3468,25.1,63.4,,onnx,False,7,False,000060.png
61,threshold,idle,0.0,SMALL,30.252,0.3468,25.1,63.4,,onnx,False,31,False,000061.png
62,threshold,idle,0.0,SMALL,43.679,0.3505,25.6,63.4,,onnx,False,16,False,000062.png
63,threshold,idle,0.0,SMALL,50.84,0.331,23.0,63.4,,onnx,False,13,False,000063.png
64,threshold,idle,0.0,SMALL,34.566,0.331,23.0,63.4,,onnx,False,33,False,000064.png
65,threshold,idle,0.0,SMALL,48.346,0.3923,31.2,63.3,,onnx,False,21,True,000065.png
66,threshold,idle,0.0,SMALL,38.079,0.3923,31.2,63.3,,onnx,False,0,False,000066.png
67,threshold,idle,0.0,SMALL,37.298,0.3292,22.8,63.3,,onnx,False,39,False,000067.png
68,threshold,idle,0.0,SMALL,37.592,0.3585,26.7,63.3,,onnx,False,40,True,000068.png
69,threshold,idle,0.0,SMALL,31.239,0.3585,26.7,63.3,,onnx,False,9,False,000069.png
70,threshold,idle,0.0,SMALL,30.254,0.333,23.3,63.3,,onnx,False,10,True,000070.png
71,threshold,idle,0.0,SMALL,32.655,0.333,23.3,63.3,,onnx,False,0,False,000071.png
72,threshold,idle,0.0,SMALL,37.83,0.333,23.3,63.3,,onnx,False,9,False,000072.png
73,threshold,idle,0.0,SMALL,28.35,0.2828,16.6,63.3,,onnx,False,29,True,000073.png
74,threshold,idle,0.0,SMALL,34.093,0.2828,16.6,63.3,,onnx,False,47,True,000074.png
75,threshold,idle,0.0,SMALL,75.706,0.322,21.8,63.4,,onnx,False,28,False,000075.png
76,threshold,idle,0.0,SMALL,33.531,0.3355,23.6,63.4,,onnx,False,56,True,000076.png
77,threshold,idle,0.0,SMALL,30.841,0.3355,23.6,63.4,,onnx,False,0,False,000077.png
78,threshold,idle,0.0,SMALL,39.001,0.3827,29.9,63.4,,onnx,False,18,False,000078.png
79,threshold,idle,0.0,SMALL,35.225,0.364,27.4,63.4,,onnx,False,35,False,000079.png
80,threshold,idle,0.0,SMALL,29.609,0.364,27.4,63.4,,onnx,False,12,False,000080.png
81,threshold,idle,0.0,SMALL,30.656,0.364,27.4,63.4,,onnx,False,10,False,000081.png
82,threshold,idle,0.0,SMALL,32.694,0.2575,13.2,63.4,,onnx,False,17,False,000082.png
83,threshold,idle,0.0,SMALL,38.077,0.2575,13.2,63.4,,onnx,False,41,False,000083.png
84,threshold,idle,0.0,SMALL,37.563,0.3063,19.7,63.4,,onnx,False,5,False,000084.png
85,threshold,idle,0.0,SMALL,33.47,0.3063,19.7,63.4,,onnx,False,10,True,000085.png
