run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,132.967,0.0679,1.7,22.4,47.0,0.0,,53.281,,tegrastats,0.007,128.178,3.646,1.098,2052.698,onnx,CPUExecutionProvider,{},False,1,True,006201.png,1788873997553671500,"{""VDD_CPU_CV"": 2.798, ""VDD_GPU_SOC"": 4.796, ""VIN_SYS_5V0"": 4.73}"
1,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,130.194,0.3065,32.5,22.8,47.0,11.0,,53.156,,tegrastats,0.005,125.815,3.053,1.292,130.347,onnx,CPUExecutionProvider,{},False,3,True,007377.png,1788873999669839253,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
2,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,129.935,0.2789,31.7,22.8,47.0,0.0,,53.031,,tegrastats,0.006,125.756,2.332,1.815,130.1,onnx,CPUExecutionProvider,{},False,6,False,006587.png,1788873999775870088,"{""VDD_CPU_CV"": 4.798, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
3,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,129.546,0.2964,34.2,22.8,46.75,0.0,,53.25,,tegrastats,0.007,125.995,2.392,1.121,129.722,onnx,CPUExecutionProvider,{},False,2,False,006905.png,1788873999881859226,"{""VDD_CPU_CV"": 5.597, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
4,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,128.573,0.3685,44.5,22.8,46.75,0.0,,53.156,,tegrastats,0.006,125.194,2.338,1.011,128.727,onnx,CPUExecutionProvider,{},False,2,False,007244.png,1788874000096540348,"{""VDD_CPU_CV"": 6.797, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
5,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,129.26,0.2985,34.5,22.8,46.75,0.0,,53.062,,tegrastats,0.007,125.293,2.326,1.609,129.407,onnx,CPUExecutionProvider,{},False,5,False,007031.png,1788874000202526186,"{""VDD_CPU_CV"": 6.797, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
6,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,128.812,0.2803,31.9,22.8,46.75,0.0,,52.875,,tegrastats,0.006,125.173,2.544,1.06,128.98,onnx,CPUExecutionProvider,{},False,2,False,006369.png,1788874000308487992,"{""VDD_CPU_CV"": 7.197, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
7,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,128.282,0.302,35.0,22.8,46.75,0.0,,52.875,,tegrastats,0.006,124.86,2.406,0.985,128.434,onnx,CPUExecutionProvider,{},False,3,False,006254.png,1788874000520420820,"{""VDD_CPU_CV"": 7.197, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
8,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,129.135,0.2922,33.6,22.8,46.75,0.0,,52.968,,tegrastats,0.006,124.812,2.325,1.968,129.283,onnx,CPUExecutionProvider,{},False,7,False,006781.png,1788874000626406850,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
9,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,128.178,0.2901,33.3,22.8,46.75,0.0,,52.937,,tegrastats,0.006,124.746,2.335,1.066,128.332,onnx,CPUExecutionProvider,{},False,3,False,006840.png,1788874000732279982,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
10,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,129.171,0.2964,34.2,22.8,46.75,0.0,,53.156,,tegrastats,0.006,125.684,2.413,1.037,129.343,onnx,CPUExecutionProvider,{},False,1,False,007416.png,1788874000943980327,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
11,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,130.516,0.3769,45.7,22.8,46.75,0.0,,52.937,,tegrastats,0.006,124.921,2.314,3.25,130.673,onnx,CPUExecutionProvider,{},False,20,True,007420.png,1788874001049962931,"{""VDD_CPU_CV"": 7.996, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
12,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,129.763,0.2922,33.6,22.8,46.75,0.0,,52.937,,tegrastats,0.007,125.496,2.331,1.903,129.919,onnx,CPUExecutionProvider,{},False,7,False,007182.png,1788874001155915197,"{""VDD_CPU_CV"": 7.996, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
