run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,122.204,0.1439,11.8,24.5,47.0,0.0,,52.968,,tegrastats,0.008,121.419,0.0,0.774,122.409,ultralytics,,{},False,1,True,006201.png,1788905376314698075,"{""VDD_CPU_CV"": 3.597, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
1,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,22.626,0.1921,18.7,24.5,46.75,0.0,,52.968,,tegrastats,0.006,21.744,0.0,0.872,22.812,ultralytics,,{},False,3,True,007377.png,1788905376526389256,"{""VDD_CPU_CV"": 3.996, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
2,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,20.842,0.2699,29.2,24.6,46.75,2.0,,53.281,,tegrastats,0.005,19.371,0.0,1.461,20.988,ultralytics,,{},False,6,False,006587.png,1788905376526389256,"{""VDD_CPU_CV"": 3.996, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
3,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,20.201,0.2699,29.2,24.6,46.75,2.0,,53.281,,tegrastats,0.004,19.566,0.0,0.627,20.325,ultralytics,,{},False,2,False,006905.png,1788905376526389256,"{""VDD_CPU_CV"": 3.996, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
4,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,19.787,0.2699,29.2,24.6,46.75,2.0,,53.281,,tegrastats,0.006,19.178,0.0,0.601,19.913,ultralytics,,{},False,2,False,007244.png,1788905376632200816,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 5.992, ""VIN_SYS_5V0"": 5.434}"
5,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,20.319,0.2046,19.3,24.6,46.75,4.0,,53.281,,tegrastats,0.005,19.075,0.0,1.237,20.431,ultralytics,,{},False,5,False,007031.png,1788905376632200816,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 5.992, ""VIN_SYS_5V0"": 5.434}"
6,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,19.833,0.2046,19.3,24.6,46.75,4.0,,53.281,,tegrastats,0.005,18.991,0.0,0.834,19.946,ultralytics,,{},False,3,False,006369.png,1788905376632200816,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 5.992, ""VIN_SYS_5V0"": 5.434}"
7,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,19.86,0.2046,19.3,24.6,46.75,4.0,,53.281,,tegrastats,0.005,19.244,0.0,0.609,19.982,ultralytics,,{},False,2,False,006254.png,1788905376738102677,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.535}"
8,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,20.559,0.2246,19.3,24.6,46.75,14.0,,53.312,,tegrastats,0.005,19.102,0.0,1.451,20.667,ultralytics,,{},False,6,False,006781.png,1788905376738102677,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.535}"
9,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,19.84,0.2246,19.3,24.6,46.75,14.0,,53.312,,tegrastats,0.006,18.972,0.0,0.861,19.956,ultralytics,,{},False,3,False,006840.png,1788905376738102677,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.535}"
10,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,19.783,0.2246,19.3,24.6,46.75,14.0,,53.312,,tegrastats,0.006,19.382,0.0,0.393,19.914,ultralytics,,{},False,1,False,007416.png,1788905376738102677,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.535}"
11,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,22.78,0.2326,19.3,24.6,46.75,18.0,,53.468,,tegrastats,0.006,19.089,0.0,3.684,22.898,ultralytics,,{},False,17,True,007420.png,1788905376844022235,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
12,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,20.831,0.2326,19.3,24.6,46.75,18.0,,53.468,,tegrastats,0.006,18.978,0.0,1.844,20.952,ultralytics,,{},False,8,False,007182.png,1788905376844022235,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
13,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,19.997,0.2326,19.3,24.6,46.75,18.0,,53.468,,tegrastats,0.006,19.583,0.0,0.407,20.117,ultralytics,,{},False,1,False,007443.png,1788905376844022235,"{""VDD_CPU_CV"": 4.396, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
