run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,0,SMALL,124.514,0.6907,90.0,24.3,49.0,0.0,,55.406,,tegrastats,0.007,123.787,0.0,0.718,124.71,ultralytics,,{},False,1,True,006201.png,1788909984097322731,"{""VDD_CPU_CV"": 7.191, ""VDD_GPU_SOC"": 7.191, ""VIN_SYS_5V0"": 5.937}"
1,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,1,SMALL,23.265,0.696,89.9,24.3,49.0,3.0,,55.375,,tegrastats,0.005,22.463,0.0,0.794,23.411,ultralytics,,{},False,3,True,007377.png,1788909984309684433,"{""VDD_CPU_CV"": 11.586, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
2,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,2,SMALL,20.281,0.7198,93.3,24.3,49.0,3.0,,55.656,,tegrastats,0.006,18.858,0.0,1.417,20.397,ultralytics,,{},False,6,False,006587.png,1788909984309684433,"{""VDD_CPU_CV"": 11.586, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
3,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,3,SMALL,19.36,0.7198,93.3,24.3,49.0,3.0,,55.656,,tegrastats,0.005,18.77,0.0,0.583,19.45,ultralytics,,{},False,2,False,006905.png,1788909984309684433,"{""VDD_CPU_CV"": 11.586, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
4,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,4,SMALL,21.483,0.7198,93.3,24.3,49.0,3.0,,55.656,,tegrastats,0.005,20.891,0.0,0.584,21.719,ultralytics,,{},False,2,False,007244.png,1788909984309684433,"{""VDD_CPU_CV"": 11.586, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
5,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,5,SMALL,21.47,0.7198,93.3,24.3,49.0,3.0,,55.656,,tegrastats,0.005,20.275,0.0,1.188,21.581,ultralytics,,{},False,5,False,007031.png,1788909984418682172,"{""VDD_CPU_CV"": 13.189, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
6,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,6,SMALL,19.582,0.7198,93.3,24.3,49.0,3.0,,55.656,,tegrastats,0.005,18.766,0.0,0.809,19.69,ultralytics,,{},False,3,False,006369.png,1788909984418682172,"{""VDD_CPU_CV"": 13.189, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
7,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,7,SMALL,21.004,0.747,92.6,24.3,49.0,19.0,,55.562,,tegrastats,0.006,20.411,0.0,0.586,21.126,ultralytics,,{},False,2,False,006254.png,1788909984418682172,"{""VDD_CPU_CV"": 13.189, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.635}"
8,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,8,SMALL,20.316,0.747,92.6,24.3,49.0,19.0,,55.562,,tegrastats,0.006,18.937,0.0,1.373,20.428,ultralytics,,{},False,6,False,006781.png,1788909984524581721,"{""VDD_CPU_CV"": 14.388, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
9,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,9,SMALL,19.624,0.747,92.6,24.3,49.0,19.0,,55.562,,tegrastats,0.005,18.834,0.0,0.783,19.74,ultralytics,,{},False,3,False,006840.png,1788909984524581721,"{""VDD_CPU_CV"": 14.388, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
10,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,10,SMALL,21.934,0.7528,93.4,24.4,49.0,19.0,,55.562,,tegrastats,0.005,21.53,0.0,0.397,22.028,ultralytics,,{},False,1,False,007416.png,1788909984524581721,"{""VDD_CPU_CV"": 14.388, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
