run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,20.965,0.4181,50.8,25.0,45.75,0.0,,51.843,,tegrastats,0.006,20.229,0.0,0.726,21.149,tensorrt,,{},False,1,True,006201.png,1788961828541222153,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
1,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,8.397,0.4181,50.8,25.0,45.75,0.0,,52.0,,tegrastats,0.005,7.578,0.0,0.811,8.514,tensorrt,,{},False,3,True,007377.png,1788961828647328039,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
2,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,8.72,0.4181,50.8,25.0,45.75,0.0,,52.0,,tegrastats,0.004,7.231,0.0,1.482,8.805,tensorrt,,{},False,6,False,006587.png,1788961828647328039,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
3,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,8.891,0.4181,50.8,25.0,45.75,0.0,,52.0,,tegrastats,0.003,8.288,0.0,0.597,8.971,tensorrt,,{},False,2,False,006905.png,1788961828647328039,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
4,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,9.663,0.4181,50.8,25.0,45.75,0.0,,52.0,,tegrastats,0.004,8.966,0.0,0.686,9.82,tensorrt,,{},False,2,False,007244.png,1788961828647328039,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
5,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,9.728,0.5059,63.3,25.1,45.75,0.0,,52.031,,tegrastats,0.006,8.485,0.0,1.233,9.911,tensorrt,,{},False,5,False,007031.png,1788961828753542073,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
6,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,7.992,0.5059,63.3,25.1,45.75,0.0,,52.031,,tegrastats,0.004,7.372,0.0,0.611,8.12,tensorrt,,{},False,2,False,006369.png,1788961828753542073,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
7,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,8.036,0.5059,63.3,25.1,45.75,0.0,,52.031,,tegrastats,0.005,7.23,0.0,0.799,8.15,tensorrt,,{},False,3,False,006254.png,1788961828753542073,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
8,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,8.826,0.5059,63.3,25.1,45.75,0.0,,52.031,,tegrastats,0.005,7.225,0.0,1.595,8.931,tensorrt,,{},False,7,False,006781.png,1788961828753542073,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
9,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,7.893,0.5514,66.1,25.1,45.75,13.0,,52.062,,tegrastats,0.004,7.103,0.0,0.783,7.974,tensorrt,,{},False,3,False,006840.png,1788961828753542073,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
10,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,7.425,0.5514,66.1,25.1,45.75,13.0,,52.062,,tegrastats,0.003,7.047,0.0,0.371,7.506,tensorrt,,{},False,1,False,007416.png,1788961828859283141,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.032}"
11,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,11.323,0.5514,66.1,25.1,45.75,13.0,,52.062,,tegrastats,0.004,7.078,0.0,4.236,11.406,tensorrt,,{},False,20,True,007420.png,1788961828859283141,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.032}"
12,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,8.791,0.5514,66.1,25.1,45.75,13.0,,52.062,,tegrastats,0.004,7.15,0.0,1.634,8.88,tensorrt,,{},False,7,False,007182.png,1788961828859283141,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.032}"
13,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,7.696,0.5514,66.1,25.1,45.75,13.0,,52.062,,tegrastats,0.004,7.301,0.0,0.388,7.781,tensorrt,,{},False,1,False,007443.png,1788961828859283141,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.032}"
14,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,7.34,0.5012,59.2,25.1,45.75,12.0,,52.031,,tegrastats,0.004,6.958,0.0,0.374,7.422,tensorrt,,{},False,1,True,006164.png,1788961828859283141,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.032}"
