run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,0,SMALL,153.116,0.7002,91.7,23.3,48.75,0.0,,55.312,,tegrastats,0.006,148.153,3.695,1.222,2170.889,onnx,CPUExecutionProvider,{},False,1,True,006201.png,1788897807772750705,"{""VDD_CPU_CV"": 10.391, ""VDD_GPU_SOC"": 5.193, ""VIN_SYS_5V0"": 5.635}"
1,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,1,SMALL,214.882,0.7592,100.0,23.7,49.0,0.0,,55.593,,tegrastats,0.005,210.403,3.06,1.388,215.028,onnx,CPUExecutionProvider,{},False,3,True,007377.png,1788897809999893892,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
2,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,2,SMALL,228.9,0.7418,97.5,23.7,49.0,0.0,,55.562,,tegrastats,0.006,224.685,2.333,1.85,229.038,onnx,CPUExecutionProvider,{},False,6,False,006587.png,1788897810212758408,"{""VDD_CPU_CV"": 19.592, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
3,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,3,SMALL,156.846,0.7536,99.2,23.7,49.0,0.0,,55.687,,tegrastats,0.005,153.316,2.314,1.184,156.989,onnx,CPUExecutionProvider,{},False,2,False,006905.png,1788897810433053367,"{""VDD_CPU_CV"": 19.592, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
4,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,4,SMALL,211.038,0.7473,98.3,23.7,49.0,0.0,,55.562,,tegrastats,0.005,207.605,2.322,1.077,211.182,onnx,CPUExecutionProvider,{},False,2,False,007244.png,1788897810645300232,"{""VDD_CPU_CV"": 19.592, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
5,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,5,SMALL,188.723,0.7242,95.0,23.7,49.0,0.0,,55.593,,tegrastats,0.005,184.707,2.313,1.672,188.861,onnx,CPUExecutionProvider,{},False,5,False,007031.png,1788897810857602840,"{""VDD_CPU_CV"": 19.592, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
6,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,6,SMALL,150.867,0.7592,100.0,23.7,49.0,0.0,,55.593,,tegrastats,0.005,147.342,2.354,1.137,151.002,onnx,CPUExecutionProvider,{},False,2,False,006369.png,1788897811069893576,"{""VDD_CPU_CV"": 19.992, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.233}"
7,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,7,SMALL,227.197,0.7592,100.0,23.7,49.0,0.0,,55.75,,tegrastats,0.006,223.741,2.31,1.115,227.339,onnx,CPUExecutionProvider,{},False,3,False,006254.png,1788897811176188590,"{""VDD_CPU_CV"": 19.992, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.233}"
8,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,8,SMALL,161.125,0.7418,97.5,23.7,49.0,0.0,,55.656,,tegrastats,0.006,156.699,2.342,2.053,161.275,onnx,CPUExecutionProvider,{},False,7,False,006781.png,1788897811396828312,"{""VDD_CPU_CV"": 19.992, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
9,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,9,SMALL,152.215,0.7536,99.2,23.7,49.0,0.0,,55.625,,tegrastats,0.006,148.6,2.343,1.241,152.367,onnx,CPUExecutionProvider,{},False,3,False,006840.png,1788897811610174452,"{""VDD_CPU_CV"": 19.992, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
