label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy,frame_name,block
FIXED_SMALL,heavy,128.9872140623629,0.6572,SMALL,1,True,False,0.448,006201.png,0
FIXED_SMALL,heavy,24.190562078729272,0.6748,SMALL,3,True,False,0.448,007377.png,0
FIXED_SMALL,heavy,20.812290022149682,0.6902,SMALL,6,False,False,0.448,006587.png,0
FIXED_SMALL,heavy,19.744182005524635,0.6902,SMALL,2,False,False,0.448,006905.png,0
FIXED_SMALL,heavy,23.741942830383778,0.6902,SMALL,2,False,False,0.448,007244.png,0
FIXED_SMALL,heavy,20.80896287225187,0.7285,SMALL,5,False,False,0.448,007031.png,0
FIXED_SMALL,heavy,20.868065068498254,0.7285,SMALL,3,False,False,0.448,006369.png,0
FIXED_SMALL,heavy,23.42250314541161,0.7285,SMALL,2,False,False,0.448,006254.png,0
FIXED_SMALL,heavy,27.35777199268341,0.7235,SMALL,6,False,False,0.448,006781.png,0
FIXED_SMALL,heavy,21.76402206532657,0.7235,SMALL,3,False,False,0.448,006840.png,0
FIXED_SMALL,heavy,19.59426887333393,0.6889,SMALL,1,False,False,0.448,007416.png,0
FIXED_SMALL,heavy,22.689898032695055,0.6889,SMALL,17,True,False,0.448,007420.png,0
FIXED_SMALL,heavy,21.919598104432225,0.6889,SMALL,8,False,False,0.448,007182.png,0
FIXED_SMALL,heavy,19.492450170218945,0.7036,SMALL,1,False,False,0.448,007443.png,0
FIXED_SMALL,heavy,19.653531024232507,0.7036,SMALL,1,True,False,0.448,006164.png,0
FIXED_SMALL,heavy,24.045865051448345,0.7036,SMALL,6,False,False,0.448,007087.png,0
FIXED_SMALL,heavy,20.10880410671234,0.6826,SMALL,3,False,False,0.448,006681.png,0
FIXED_SMALL,heavy,20.85129707120359,0.6826,SMALL,4,False,False,0.448,006319.png,0
FIXED_SMALL,heavy,25.5535701289773,0.6826,SMALL,4,False,False,0.448,007392.png,0
FIXED_SMALL,heavy,18.922813003882766,0.7169,SMALL,0,False,False,0.448,006148.png,0
FIXED_SMALL,heavy,19.771764986217022,0.7169,SMALL,1,False,False,0.448,006447.png,0
FIXED_SMALL,heavy,22.530257934704423,0.7169,SMALL,4,True,False,0.448,006857.png,0
FIXED_SMALL,heavy,20.734312012791634,0.718,SMALL,7,False,False,0.448,006127.png,0
FIXED_SMALL,heavy,19.888558890670538,0.718,SMALL,4,False,False,0.448,006831.png,0
FIXED_SMALL,heavy,22.844034945592284,0.718,SMALL,1,False,False,0.448,006461.png,0
FIXED_SMALL,heavy,20.215392112731934,0.7194,SMALL,4,False,False,0.448,007415.png,0
FIXED_SMALL,heavy,20.358264911919832,0.7194,SMALL,5,False,False,0.448,006154.png,0
FIXED_SMALL,heavy,22.834498900920153,0.7194,SMALL,5,False,False,0.448,007336.png,0
FIXED_SMALL,heavy,26.226337999105453,0.7016,SMALL,2,False,False,0.448,006621.png,0
FIXED_SMALL,heavy,21.14888303913176,0.7016,SMALL,9,True,False,0.448,006478.png,0
FIXED_SMALL,heavy,34.1112120077014,0.7016,SMALL,2,False,False,0.448,006352.png,0
FIXED_SMALL,heavy,20.786853041499853,0.7043,SMALL,3,False,False,0.448,007230.png,0
FIXED_SMALL,heavy,18.247389001771808,0.7043,SMALL,0,False,False,0.448,007113.png,0
FIXED_SMALL,heavy,21.08814986422658,0.699,SMALL,8,False,False,0.448,007162.png,0
FIXED_SMALL,heavy,20.36376902833581,0.699,SMALL,3,True,False,0.448,007130.png,0
FIXED_SMALL,heavy,20.01050510443747,0.699,SMALL,3,False,False,0.448,006651.png,0
FIXED_SMALL,heavy,17.937388038262725,0.7019,SMALL,0,False,False,0.448,006282.png,0
FIXED_SMALL,heavy,22.558704018592834,0.7019,SMALL,12,False,False,0.448,006034.png,0
FIXED_SMALL,heavy,21.564127877354622,0.7019,SMALL,10,True,False,0.448,006519.png,0
FIXED_SMALL,heavy,19.734614994376898,0.6866,SMALL,1,False,False,0.448,007441.png,0
FIXED_SMALL,heavy,21.08491910621524,0.6866,SMALL,9,False,False,0.448,006438.png,0
FIXED_SMALL,heavy,20.071493927389383,0.6866,SMALL,3,False,False,0.448,007456.png,0
FIXED_SMALL,heavy,21.25556697137654,0.6979,SMALL,10,False,False,0.448,006904.png,0
FIXED_SMALL,heavy,20.48197202384472,0.6979,SMALL,4,False,False,0.448,007445.png,0
FIXED_SMALL,heavy,21.66386810131371,0.6979,SMALL,10,False,False,0.448,006746.png,0
FIXED_SMALL,heavy,22.56967988796532,0.7126,SMALL,14,False,False,0.448,007151.png,0
FIXED_SMALL,heavy,20.70503286086023,0.7126,SMALL,4,False,False,0.448,006946.png,0
FIXED_SMALL,heavy,21.3969680480659,0.7126,SMALL,3,True,False,0.448,006617.png,0
FIXED_SMALL,heavy,20.61354904435575,0.7469,SMALL,1,True,False,0.448,006434.png,0
FIXED_SMALL,heavy,20.180386025458574,0.7469,SMALL,3,False,False,0.448,007063.png,0
FIXED_SMALL,heavy,20.688361953943968,0.7469,SMALL,4,False,False,0.448,006080.png,0
FIXED_SMALL,heavy,19.920653896406293,0.7469,SMALL,1,True,False,0.448,006280.png,0
FIXED_SMALL,heavy,20.47509211115539,0.7194,SMALL,6,False,False,0.448,006829.png,0
FIXED_SMALL,heavy,21.327530965209007,0.7194,SMALL,9,True,False,0.448,006122.png,0
FIXED_SMALL,heavy,21.367785055190325,0.7194,SMALL,7,True,False,0.448,007161.png,0
FIXED_SMALL,heavy,20.549201173707843,0.6856,SMALL,5,True,False,0.448,006363.png,0
FIXED_SMALL,heavy,20.504307001829147,0.6856,SMALL,4,False,False,0.448,007405.png,0
FIXED_SMALL,heavy,23.875795071944594,0.6856,SMALL,1,False,False,0.448,007158.png,0
FIXED_SMALL,heavy,21.309516159817576,0.7199,SMALL,7,False,False,0.448,007200.png,0
FIXED_SMALL,heavy,19.427076913416386,0.7199,SMALL,1,False,False,0.448,006533.png,0
FIXED_SMALL,heavy,19.352169008925557,0.7124,SMALL,2,False,False,0.448,006484.png,0
