run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,118.126,0.4219,51.6,24.3,46.25,0.0,,52.593,,tegrastats,0.006,117.343,0.0,0.774,118.318,ultralytics,,{},False,1,True,006201.png,1788906908137911759,"{""VDD_CPU_CV"": 11.195, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
1,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,20.553,0.4577,56.7,24.3,46.25,0.0,,52.5,,tegrastats,0.005,19.708,0.0,0.837,20.669,ultralytics,,{},False,3,True,007377.png,1788906908243606113,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.931}"
2,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,21.573,0.4577,56.7,24.3,46.25,0.0,,52.5,,tegrastats,0.004,20.093,0.0,1.473,21.668,ultralytics,,{},False,6,False,006587.png,1788906908243606113,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.931}"
3,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,19.724,0.4766,58.8,24.4,46.25,2.0,,52.656,,tegrastats,0.003,19.113,0.0,0.605,19.813,ultralytics,,{},False,2,False,006905.png,1788906908243606113,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.931}"
4,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,19.507,0.4766,58.8,24.4,46.25,2.0,,52.656,,tegrastats,0.003,18.902,0.0,0.599,19.595,ultralytics,,{},False,2,False,007244.png,1788906908349232983,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.032}"
5,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,21.422,0.4766,58.8,24.4,46.25,2.0,,52.656,,tegrastats,0.003,20.168,0.0,1.247,21.504,ultralytics,,{},False,5,False,007031.png,1788906908349232983,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.032}"
6,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,21.225,0.4891,58.3,24.4,46.25,10.0,,52.687,,tegrastats,0.006,20.36,0.0,0.855,21.413,ultralytics,,{},False,3,False,006369.png,1788906908349232983,"{""VDD_CPU_CV"": 11.191, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.032}"
7,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,20.065,0.4891,58.3,24.4,46.25,10.0,,52.687,,tegrastats,0.004,19.43,0.0,0.627,20.189,ultralytics,,{},False,2,False,006254.png,1788906908456227562,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.132}"
8,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,22.185,0.4891,58.3,24.4,46.25,10.0,,52.687,,tegrastats,0.003,20.682,0.0,1.494,22.29,ultralytics,,{},False,6,False,006781.png,1788906908456227562,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.132}"
9,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,19.897,0.567,72.0,24.4,46.25,1.0,,53.187,,tegrastats,0.003,19.052,0.0,0.836,19.991,ultralytics,,{},False,3,False,006840.png,1788906908456227562,"{""VDD_CPU_CV"": 11.59, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.132}"
10,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,19.403,0.567,72.0,24.4,46.25,1.0,,53.187,,tegrastats,0.004,19.011,0.0,0.386,19.497,ultralytics,,{},False,1,False,007416.png,1788906908562596636,"{""VDD_CPU_CV"": 11.99, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
11,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,24.094,0.567,72.0,24.4,46.25,1.0,,53.187,,tegrastats,0.004,20.163,0.0,3.924,24.184,ultralytics,,{},False,17,True,007420.png,1788906908562596636,"{""VDD_CPU_CV"": 11.99, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
12,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,20.828,0.4989,61.7,24.4,46.25,3.0,,53.0,,tegrastats,0.003,18.951,0.0,1.87,20.922,ultralytics,,{},False,8,False,007182.png,1788906908562596636,"{""VDD_CPU_CV"": 11.99, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
13,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,19.362,0.4989,61.7,24.4,46.25,3.0,,53.0,,tegrastats,0.004,18.979,0.0,0.377,19.443,ultralytics,,{},False,1,False,007443.png,1788906908668541250,"{""VDD_CPU_CV"": 11.995, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.333}"
14,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,20.756,0.4989,61.7,24.4,46.25,3.0,,53.0,,tegrastats,0.004,20.368,0.0,0.381,20.841,ultralytics,,{},False,1,True,006164.png,1788906908668541250,"{""VDD_CPU_CV"": 11.995, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.333}"
15,0,fixed_small,moderate,0.5,process_steady_v3,11,,SMALL,20.463,0.4906,58.8,24.4,46.25,9.0,,52.812,,tegrastats,0.003,18.998,0.0,1.46,20.549,ultralytics,,{},False,6,False,007087.png,1788906908668541250,"{""VDD_CPU_CV"": 11.995, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.333}"
