run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,19.814,0.2641,28.8,25.0,43.5,0.0,,49.375,,tegrastats,0.006,19.07,0.0,0.735,20.003,tensorrt,,{},False,1,True,006201.png,1788961350111408337,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 4.73}"
1,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,8.471,0.2508,26.9,25.0,43.5,0.0,,49.25,,tegrastats,0.003,7.617,0.0,0.847,8.571,tensorrt,,{},False,3,True,007377.png,1788961350111408337,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 4.73}"
2,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,8.871,0.2508,26.9,25.0,43.5,0.0,,49.25,,tegrastats,0.003,7.308,0.0,1.556,8.958,tensorrt,,{},False,6,False,006587.png,1788961350111408337,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 4.73}"
3,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,7.901,0.2508,26.9,25.0,43.5,0.0,,49.25,,tegrastats,0.003,7.274,0.0,0.621,7.982,tensorrt,,{},False,2,False,006905.png,1788961350216823029,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.83}"
4,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,8.681,0.2508,26.9,25.0,43.5,0.0,,49.25,,tegrastats,0.002,7.878,0.0,0.797,8.759,tensorrt,,{},False,2,False,007244.png,1788961350216823029,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.83}"
5,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,8.568,0.3258,33.9,25.0,43.5,13.0,,49.656,,tegrastats,0.004,7.273,0.0,1.289,8.647,tensorrt,,{},False,5,False,007031.png,1788961350216823029,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.83}"
6,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,7.84,0.3258,33.9,25.0,43.5,13.0,,49.656,,tegrastats,0.003,7.223,0.0,0.61,7.919,tensorrt,,{},False,2,False,006369.png,1788961350216823029,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.83}"
7,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,8.029,0.3258,33.9,25.0,43.5,13.0,,49.656,,tegrastats,0.003,7.189,0.0,0.834,8.113,tensorrt,,{},False,3,False,006254.png,1788961350216823029,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.83}"
8,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,9.054,0.3258,33.9,25.0,43.5,13.0,,49.656,,tegrastats,0.003,7.227,0.0,1.819,9.139,tensorrt,,{},False,7,False,006781.png,1788961350216823029,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 4.83}"
9,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,9.323,0.3258,33.9,25.0,43.5,13.0,,49.656,,tegrastats,0.005,8.357,0.0,0.955,9.484,tensorrt,,{},False,3,False,006840.png,1788961350322348441,"{""VDD_CPU_CV"": 6.797, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 4.931}"
