label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,transient,3.58476210385561,0.042,SMALL,5,False,False,0.4253635649646743
threshold,transient,3.523192834109068,0.042,SMALL,4,False,False,0.48436337064379026
threshold,transient,9.412449784576893,0.042,MEDIUM,5,False,True,0.47048087024381213
threshold,transient,9.304385166615248,0.042,MEDIUM,9,False,False,0.5072437014232823
threshold,transient,9.112352039664984,0.042,MEDIUM,6,True,False,0.5131274877702018
threshold,transient,9.192448109388351,0.042,MEDIUM,5,False,False,0.5373974285279578
threshold,transient,9.209728799760342,0.042,MEDIUM,7,False,False,0.5007524317839375
threshold,transient,9.37993684783578,0.042,MEDIUM,5,False,False,0.4684189906915448
threshold,transient,9.354978334158659,0.042,MEDIUM,5,True,False,0.5118362621910959
threshold,transient,9.230752941220999,0.042,MEDIUM,9,True,False,0.5316973396337269
threshold,transient,9.537986945360899,0.042,MEDIUM,7,True,False,0.47934054993063097
threshold,transient,9.177343919873238,0.042,MEDIUM,6,False,False,0.4944478857627175
threshold,transient,9.329249151051044,0.042,MEDIUM,6,False,False,0.5156751429411424
threshold,transient,9.285504929721355,0.042,MEDIUM,3,False,False,0.5217863966801785
threshold,transient,9.46188997477293,0.042,MEDIUM,5,False,False,0.49513028461269526
threshold,transient,9.164480958133936,0.042,MEDIUM,6,False,False,0.4994091431871867
threshold,transient,9.212128818035126,0.042,MEDIUM,3,False,False,0.5371513001355162
threshold,transient,9.17459325864911,0.042,MEDIUM,4,False,False,0.495138489498533
threshold,transient,9.20400070026517,0.042,MEDIUM,9,False,False,0.5109516324257257
threshold,transient,9.180288761854172,0.042,MEDIUM,6,True,False,0.5246807237198223
threshold,transient,9.212641045451164,0.042,MEDIUM,6,True,False,0.5046236236463881
threshold,transient,9.16678411886096,0.042,MEDIUM,6,True,False,0.49725073226227035
threshold,transient,9.609891101717949,0.8835,MEDIUM,6,False,False,0.49433590767429497
threshold,transient,9.829284623265266,0.8835,MEDIUM,4,False,False,0.5082179301149815
threshold,transient,2.826195675879717,0.8835,NANO,4,False,True,0.36336065205350415
threshold,transient,2.727762795984745,0.8835,NANO,5,False,False,0.3759571185763193
threshold,transient,3.0092052184045315,0.8835,NANO,3,False,False,0.37365339458765173
threshold,transient,2.2771679796278477,0.8835,NANO,7,False,False,0.3897500709789486
threshold,transient,2.5306097231805325,0.8835,NANO,4,True,False,0.38396285098264943
threshold,transient,2.8914129361510277,0.8835,NANO,3,False,False,0.3874633016897831
threshold,transient,2.6948032900691032,0.8835,NANO,5,False,False,0.3501145046849366
threshold,transient,2.5255540385842323,0.8835,NANO,3,False,False,0.3751850687772236
threshold,transient,2.708819229155779,0.8835,NANO,3,False,False,0.36965465392939595
threshold,transient,2.69067520275712,0.8835,NANO,3,False,False,0.3541701492982055
threshold,transient,2.703026868402958,0.8835,NANO,3,False,False,0.3592831657589179
threshold,transient,2.8605000115931034,0.8835,NANO,4,True,False,0.3451630831756771
threshold,transient,2.8909649699926376,0.8835,NANO,2,False,False,0.34399877212736185
threshold,transient,3.1733657233417034,0.8835,NANO,3,False,False,0.40211277704602855
threshold,transient,2.6966272853314877,0.8835,NANO,1,False,False,0.3985178409667638
threshold,transient,3.12274182215333,0.8835,NANO,3,False,False,0.366606090821239
threshold,transient,2.741619013249874,0.8835,NANO,2,False,False,0.36937219622259837
threshold,transient,2.6365299709141254,0.8835,NANO,4,False,False,0.3720756895065898
threshold,transient,2.720755059272051,0.8835,NANO,2,False,False,0.37072972034758234
threshold,transient,3.153333906084299,0.8835,NANO,5,True,False,0.3483530806536274
threshold,transient,3.1953821890056133,0.8835,NANO,2,False,False,0.3913376897039187
threshold,transient,2.3852973245084286,0.8835,NANO,5,False,False,0.31786183846119276
threshold,transient,2.7039870619773865,0.8835,NANO,2,False,False,0.353353516374197
threshold,transient,3.0387090519070625,0.8835,NANO,6,False,False,0.3396659974933206
threshold,transient,2.5452659465372562,0.8835,NANO,5,False,False,0.38144258040320056
threshold,transient,2.8642117977142334,0.8835,NANO,5,False,False,0.34566480601052896
threshold,transient,2.648018766194582,0.8835,NANO,5,False,False,0.40749919455370986
threshold,transient,2.61137867346406,0.8835,NANO,6,False,False,0.3775523216227189
threshold,transient,2.3695211857557297,0.042,NANO,5,False,False,0.39438444388015964
threshold,transient,2.2368798963725567,0.042,NANO,3,False,False,0.3016343929566854
threshold,transient,9.630595799535513,0.042,MEDIUM,7,False,True,0.4789077633391264
threshold,transient,9.27632162347436,0.042,MEDIUM,7,False,False,0.5073968955400265
threshold,transient,9.272769093513489,0.042,MEDIUM,6,False,False,0.4898674243083089
threshold,transient,9.204640053212643,0.042,MEDIUM,6,False,False,0.5256993402955416
