label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,idle,25.595840997993946,0.0991,SMALL,6,False,False,0.448
threshold,idle,5.995301995426416,0.016,SMALL,8,False,False,0.448
threshold,idle,23.33542564883828,0.1324,MEDIUM,18,False,True,0.503
threshold,idle,11.372245848178864,0.0422,MEDIUM,12,True,False,0.503
threshold,idle,11.091354303061962,0.0,MEDIUM,10,True,False,0.503
threshold,idle,11.16504892706871,0.084,MEDIUM,6,False,False,0.503
threshold,idle,11.488403659313917,0.0673,MEDIUM,17,True,False,0.503
threshold,idle,11.536434758454561,0.0662,MEDIUM,19,True,False,0.503
threshold,idle,10.94735600054264,0.0524,MEDIUM,0,False,False,0.503
threshold,idle,11.041785590350628,0.0656,MEDIUM,2,False,False,0.503
threshold,idle,10.893819853663445,0.0858,MEDIUM,3,False,False,0.503
threshold,idle,10.92124404385686,0.0709,MEDIUM,4,False,False,0.503
threshold,idle,10.870876722037792,0.0628,MEDIUM,2,False,False,0.503
threshold,idle,10.884380899369717,0.0618,MEDIUM,8,True,False,0.503
threshold,idle,10.874398052692413,0.0901,MEDIUM,1,False,False,0.503
threshold,idle,10.88796416297555,0.0951,MEDIUM,12,True,False,0.503
threshold,idle,10.892156977206469,0.0727,MEDIUM,3,False,False,0.503
threshold,idle,10.886748787015676,0.027,MEDIUM,6,False,False,0.503
threshold,idle,10.863740928471088,0.0,MEDIUM,8,False,False,0.503
threshold,idle,10.874941013753414,0.0733,MEDIUM,4,False,False,0.503
threshold,idle,10.923452209681273,0.1164,MEDIUM,11,True,False,0.503
threshold,idle,10.840286035090685,0.0702,MEDIUM,6,False,False,0.503
threshold,idle,10.925597045570612,0.1387,MEDIUM,13,False,False,0.503
threshold,idle,10.921916924417019,0.0639,MEDIUM,4,False,False,0.503
threshold,idle,10.881532914936543,0.0148,MEDIUM,13,False,False,0.503
threshold,idle,10.918396059423685,0.0856,MEDIUM,12,True,False,0.503
threshold,idle,10.895388666540384,0.1421,MEDIUM,11,False,False,0.503
threshold,idle,10.918396059423685,0.0116,MEDIUM,11,True,False,0.503
threshold,idle,10.934171732515097,0.0299,MEDIUM,6,False,False,0.503
threshold,idle,10.886492673307657,0.04,MEDIUM,3,True,False,0.503
threshold,idle,10.966460220515728,0.1176,MEDIUM,9,False,False,0.503
threshold,idle,10.965819004923105,0.0561,MEDIUM,4,True,False,0.503
threshold,idle,11.074458714574575,0.0575,MEDIUM,3,False,False,0.503
threshold,idle,11.051451321691275,0.0842,MEDIUM,5,False,False,0.503
threshold,idle,10.954940225929022,0.1209,MEDIUM,5,False,False,0.503
threshold,idle,11.0750338062644,0.05,MEDIUM,11,True,False,0.503
threshold,idle,10.997147299349308,0.0842,MEDIUM,7,False,False,0.503
threshold,idle,11.011098977178335,0.0574,MEDIUM,8,False,False,0.503
threshold,idle,11.004122905433178,0.1149,MEDIUM,3,True,False,0.503
threshold,idle,10.989692062139511,0.0937,MEDIUM,2,False,False,0.503
threshold,idle,11.007643304765224,0.0761,MEDIUM,4,True,False,0.503
threshold,idle,12.09290698170662,0.0859,MEDIUM,7,False,False,0.503
threshold,idle,11.649778112769127,0.0591,MEDIUM,6,True,False,0.503
threshold,idle,11.647633742541075,0.0621,MEDIUM,7,True,False,0.503
threshold,idle,11.878125835210085,0.0655,MEDIUM,6,False,False,0.503
threshold,idle,11.3970129750669,0.0705,MEDIUM,12,True,False,0.503
threshold,idle,11.837998870760202,0.0908,MEDIUM,9,True,False,0.503
threshold,idle,11.384117882698774,0.1054,MEDIUM,1,False,False,0.503
threshold,idle,11.472821235656738,0.1275,MEDIUM,8,True,False,0.503
threshold,idle,11.393908876925707,0.0211,MEDIUM,4,False,False,0.503
threshold,idle,11.486195959150791,0.1096,MEDIUM,7,False,False,0.503
threshold,idle,11.39918901026249,0.0748,MEDIUM,7,False,False,0.503
threshold,idle,11.332085821777582,0.0667,MEDIUM,13,False,False,0.503
threshold,idle,11.392436921596527,0.0806,MEDIUM,16,False,False,0.503
threshold,idle,11.58504281193018,0.1113,MEDIUM,6,True,False,0.503
threshold,idle,11.45576499402523,0.0714,MEDIUM,8,False,False,0.503
threshold,idle,11.427572928369045,0.063,MEDIUM,6,False,False,0.503
threshold,idle,11.396950110793114,0.079,MEDIUM,6,False,False,0.503
threshold,idle,11.401204857975245,0.0907,MEDIUM,10,True,False,0.503
threshold,idle,11.449940036982298,0.0812,MEDIUM,7,False,False,0.503
threshold,idle,11.404917109757662,0.1388,MEDIUM,8,False,False,0.503
threshold,idle,11.434581130743027,0.0792,MEDIUM,5,False,False,0.503
threshold,idle,11.373397894203663,0.0855,MEDIUM,3,False,False,0.503
threshold,idle,11.482707690447569,0.145,MEDIUM,3,False,False,0.503
threshold,idle,11.793967802077532,0.0218,MEDIUM,6,False,False,0.503
threshold,idle,11.635986156761646,0.0626,MEDIUM,6,False,False,0.503
threshold,idle,11.50808297097683,0.0957,MEDIUM,14,False,False,0.503
threshold,idle,11.491796001791954,0.0605,MEDIUM,9,False,False,0.503
threshold,idle,11.47470809519291,0.0608,MEDIUM,9,False,False,0.503
threshold,idle,11.40904612839222,0.125,MEDIUM,12,False,False,0.503
threshold,idle,11.437781155109406,0.1081,MEDIUM,8,True,False,0.503
threshold,idle,11.458772234618664,0.0207,MEDIUM,12,False,False,0.503
threshold,idle,11.4245330914855,0.0817,MEDIUM,10,True,False,0.503
threshold,idle,10.894107632339,0.0823,MEDIUM,11,False,False,0.503
threshold,idle,11.28338323906064,0.0983,MEDIUM,15,True,False,0.503
threshold,idle,10.866045020520687,0.0864,MEDIUM,9,False,False,0.503
threshold,idle,10.885949246585369,0.0479,MEDIUM,3,False,False,0.503
threshold,idle,12.302631977945566,0.0831,MEDIUM,4,False,False,0.503
threshold,idle,11.278262827545404,0.0253,MEDIUM,7,False,False,0.503
threshold,idle,11.095033958554268,0.1022,MEDIUM,13,False,False,0.503
threshold,idle,11.02831494063139,0.0941,MEDIUM,2,False,False,0.503
threshold,idle,10.940060019493103,0.0975,MEDIUM,4,True,False,0.503
threshold,idle,11.080505792051554,0.0807,MEDIUM,9,False,False,0.503
threshold,idle,11.194999795407057,0.119,MEDIUM,13,True,False,0.503
threshold,idle,11.345654260367155,0.0366,MEDIUM,6,True,False,0.503
threshold,idle,11.396181769669056,0.172,MEDIUM,14,False,False,0.503
threshold,idle,10.923485271632671,0.0502,MEDIUM,7,True,False,0.503
threshold,idle,11.020538862794638,0.1165,MEDIUM,8,True,False,0.503
threshold,idle,11.037467047572136,0.0625,MEDIUM,6,False,False,0.503
threshold,idle,10.957499966025352,0.0816,MEDIUM,18,True,False,0.503
threshold,idle,11.02287508547306,0.0734,MEDIUM,10,True,False,0.503
threshold,idle,11.014682706445456,0.0652,MEDIUM,5,False,False,0.503
threshold,idle,11.002843268215656,0.066,MEDIUM,7,False,False,0.503
threshold,idle,10.944412089884281,0.1237,MEDIUM,5,False,False,0.503
threshold,idle,10.907612275332212,0.0928,MEDIUM,4,True,False,0.503
threshold,idle,11.20965601876378,0.1561,MEDIUM,10,True,False,0.503
threshold,idle,11.40766916796565,0.0764,MEDIUM,14,False,False,0.503
threshold,idle,10.933052282780409,0.0326,MEDIUM,12,False,False,0.503
threshold,idle,11.222584173083305,0.1249,MEDIUM,5,False,False,0.503
threshold,idle,10.938781313598156,0.0457,MEDIUM,5,False,False,0.503
predictive,idle,11.474067810922861,0.0933,MEDIUM,7,False,True,0.503
predictive,idle,11.119352653622627,0.0494,MEDIUM,10,True,False,0.503
predictive,idle,17.46642729267478,0.0781,MEDIUM,18,False,False,0.503
predictive,idle,21.024229004979134,0.0745,MEDIUM,12,True,False,0.503
predictive,idle,13.781873043626547,0.0592,MEDIUM,10,True,False,0.503
predictive,idle,16.442282125353813,0.0186,MEDIUM,6,False,False,0.503
predictive,idle,20.58100374415517,0.109,MEDIUM,17,True,False,0.503
predictive,idle,18.3758526109159,0.0728,MEDIUM,19,True,False,0.503
predictive,idle,17.78504578396678,0.0999,MEDIUM,0,False,False,0.503
predictive,idle,118.35749307647347,0.1113,MEDIUM,2,False,False,0.503
predictive,idle,18.861382268369198,0.0485,MEDIUM,3,False,False,0.503
predictive,idle,20.441485568881035,0.1007,MEDIUM,4,False,False,0.503
predictive,idle,18.836678937077522,0.0716,MEDIUM,2,False,False,0.503
predictive,idle,20.688042044639587,0.0819,MEDIUM,8,True,False,0.503
predictive,idle,19.39663803204894,0.0378,MEDIUM,1,False,False,0.503
predictive,idle,18.491082824766636,0.0585,MEDIUM,12,True,False,0.503
predictive,idle,18.58324185013771,0.0105,MEDIUM,3,False,False,0.503
predictive,idle,44.89827295765281,0.0771,MEDIUM,6,False,False,0.503
predictive,idle,19.15936218574643,0.0661,MEDIUM,8,False,False,0.503
predictive,idle,18.610952887684107,0.0902,MEDIUM,4,False,False,0.503
predictive,idle,13.745842967182398,0.0779,MEDIUM,11,True,False,0.503
predictive,idle,13.714067172259092,0.0278,MEDIUM,6,False,False,0.503
predictive,idle,13.739921618252993,0.0823,MEDIUM,13,False,False,0.503
predictive,idle,13.706226833164692,0.1023,MEDIUM,4,False,False,0.503
predictive,idle,13.721970841288567,0.0512,MEDIUM,13,False,False,0.503
predictive,idle,13.390199281275272,0.0711,MEDIUM,12,True,False,0.503
predictive,idle,13.473142869770527,0.1065,MEDIUM,11,False,False,0.503
predictive,idle,14.109900686889887,0.0537,MEDIUM,11,True,False,0.503
predictive,idle,13.805682305246592,0.0283,MEDIUM,6,False,False,0.503
predictive,idle,13.714419212192297,0.029,MEDIUM,3,True,False,0.503
predictive,idle,13.960624113678932,0.1049,MEDIUM,9,False,False,0.503
predictive,idle,13.726450968533754,0.0979,MEDIUM,4,True,False,0.503
predictive,idle,13.754705898463726,0.0963,MEDIUM,3,False,False,0.503
predictive,idle,13.687795028090477,0.0791,MEDIUM,5,False,False,0.503
predictive,idle,13.784562237560749,0.0299,MEDIUM,5,False,False,0.503
predictive,idle,13.742642942816019,0.1123,MEDIUM,11,True,False,0.503
predictive,idle,13.743186835199594,0.066,MEDIUM,7,False,False,0.503
predictive,idle,13.839505147188902,0.1,MEDIUM,8,False,False,0.503
predictive,idle,13.785010203719139,0.0664,MEDIUM,3,True,False,0.503
predictive,idle,13.875311706215143,0.0338,MEDIUM,2,False,False,0.503
predictive,idle,13.82993720471859,0.0581,MEDIUM,4,True,False,0.503
predictive,idle,13.880081009119749,0.0353,MEDIUM,7,False,False,0.503
predictive,idle,13.930832035839558,0.0441,MEDIUM,6,True,False,0.503
