run_idx,policy,load_profile,load_intensity,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,backend,simulated,n_detections,vru_detected,frame
0,threshold,idle,0.0,SMALL,25.063,0.1925,0.0,77.0,39.5,tensorrt-direct,False,0,False,null
1,threshold,idle,0.0,SMALL,5.12,0.1925,0.0,77.0,39.5,tensorrt-direct,False,0,False,null
2,threshold,idle,0.0,MEDIUM,21.276,0.1925,0.0,77.0,39.5,tensorrt-direct,False,0,False,null
3,threshold,idle,0.0,MEDIUM,10.383,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
4,threshold,idle,0.0,MEDIUM,10.362,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
5,threshold,idle,0.0,MEDIUM,10.336,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
6,threshold,idle,0.0,MEDIUM,10.239,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
7,threshold,idle,0.0,MEDIUM,10.246,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
8,threshold,idle,0.0,MEDIUM,11.313,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
9,threshold,idle,0.0,MEDIUM,11.568,0.2225,5.0,77.0,39.5,tensorrt-direct,False,0,False,null
10,threshold,idle,0.0,MEDIUM,10.661,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
11,threshold,idle,0.0,MEDIUM,10.323,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
12,threshold,idle,0.0,MEDIUM,10.358,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
13,threshold,idle,0.0,MEDIUM,10.257,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
14,threshold,idle,0.0,MEDIUM,10.288,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
15,threshold,idle,0.0,MEDIUM,10.26,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
16,threshold,idle,0.0,MEDIUM,10.288,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
17,threshold,idle,0.0,MEDIUM,10.255,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
18,threshold,idle,0.0,MEDIUM,10.322,0.2909,16.4,77.0,39.5,tensorrt-direct,False,0,False,null
19,threshold,idle,0.0,MEDIUM,10.325,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
20,threshold,idle,0.0,MEDIUM,10.31,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
21,threshold,idle,0.0,MEDIUM,10.269,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
22,threshold,idle,0.0,MEDIUM,10.218,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
23,threshold,idle,0.0,MEDIUM,10.268,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
24,threshold,idle,0.0,MEDIUM,10.23,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
25,threshold,idle,0.0,MEDIUM,10.274,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
26,threshold,idle,0.0,MEDIUM,10.264,0.2555,10.5,77.0,39.5,tensorrt-direct,False,0,False,null
27,threshold,idle,0.0,MEDIUM,10.276,0.2621,11.6,77.0,39.5,tensorrt-direct,False,0,False,null
28,threshold,idle,0.0,MEDIUM,10.245,0.2621,11.6,77.0,39.5,tensorrt-direct,False,0,False,null
29,threshold,idle,0.0,MEDIUM,10.25,0.2621,11.6,77.0,39.5,tensorrt-direct,False,0,False,null
30,threshold,idle,0.0,MEDIUM,10.264,0.2621,11.6,77.0,39.5,tensorrt-direct,False,0,False,null
