image,policy,policy_label,load_profile,tier,latency_ms,pressure,load_injector,load_worker_processes,backend,execution_providers,coreml_provider_options,vru_tp,vru_fp,vru_fn,obstacle_tp,obstacle_fp,obstacle_fn,frame_sha256
006201.png,threshold,Threshold,moderate,SMALL,134.849,0.4874,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,0,0,0,0,e5ac3345d0f7e75072d6bb230badf301f7e163066ad734ef66f3e3a810d1eff3
007377.png,threshold,Threshold,moderate,SMALL,155.003,0.5838,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,1,1,1,0,2,cea7c108f356eb292c1ea0c9c95a6f6c9872e3d59752c5cc18489df7095afb51
006587.png,threshold,Threshold,moderate,SMALL,151.395,0.6168,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,1,2,e03f0b957169b69443169c2d06d9940b45cc6a8e7a21122b0a4ab8f84391731e
006905.png,threshold,Threshold,moderate,SMALL,130.428,0.6098,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,0,c5b07198e34937f9d6a96a96dc15eee3713b977e20f818afc01921f68de14a82
007244.png,threshold,Threshold,moderate,NANO,48.961,0.6259,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,3,6badbe31f7aefbb8794399fb85e9cbdfea11bb66f388ea4f2abd6ff86f2c686a
007031.png,threshold,Threshold,moderate,NANO,37.386,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,0,6,c3516b23561229f611bb5c7edf7a76064656346c8a8b1eed311534fe610e0b56
006369.png,threshold,Threshold,moderate,NANO,37.146,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,1,3,9620d192ff6a8283ab60a8d9d238f5bb753dd38f923678bef984d739ff3f91f0
006254.png,threshold,Threshold,moderate,NANO,41.296,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,5,c3d39d9d7e83f8ce7a8c64cbb90edd91615d9fa91b252d964b6fe19baa1d9a5f
006781.png,threshold,Threshold,moderate,NANO,32.656,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,2,3,fdb6e131042d2e4d738e828910b41dafc7687aaf9fcba371d6113cef6936d154
006840.png,threshold,Threshold,moderate,NANO,32.066,0.6721,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,2,51f93f375e1cf6ff0c3149776a4e473a5629812db4649edb7784723352843f4d
007416.png,threshold,Threshold,moderate,NANO,41.244,0.6721,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,0,0,b9e64205e08c82f29fdc52d79c01fe9ee6e574215eb7d754fa9f88bb48c3fd04
007420.png,threshold,Threshold,moderate,NANO,33.465,0.6014,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,7,10,0,0,1,532e8f10c7e76fecef972928806e6e1992cc435dbea5579fdf46b121d50cbabd
007182.png,threshold,Threshold,moderate,NANO,34.089,0.6014,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,3,5,2,3,a2b9fbb0a27fd24216922d0210658eecce2faa1718651463fb0f1cf7d131f537
007443.png,threshold,Threshold,moderate,SMALL,130.902,0.6048,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,2,0baa6e2027d2b37bab6b5aa122b3bcbd9960b39b976c86a45031e096e6dd8a5c
006164.png,threshold,Threshold,moderate,SMALL,127.962,0.6119,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,0,0,0,0,27b40d22619cc225739c3def101c608293f66a6965a0620fff686b60e37238a0
007087.png,threshold,Threshold,moderate,SMALL,130.212,0.6147,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,4,3,5,c74ab8d4622a25736c07084b4b0f48c8c47f6c965843a566d01383ccd9984c21
006681.png,threshold,Threshold,moderate,NANO,38.784,0.6273,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,2,a92c0ec6de6b70f33c4367745976b91f1149deff7ee29d61c9db9e248361b615
006319.png,threshold,Threshold,moderate,NANO,32.288,0.6273,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,1,1,23fcf1aa27e90ecdb59c5384dd06db901ea93a430299e92ec70173e6ba6473a2
007392.png,threshold,Threshold,moderate,NANO,32.216,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,3,6,732e6efc7ee28c0c50fc9db1d904252484e995da7b65b217e80e8a4d82d2ab95
006148.png,threshold,Threshold,moderate,NANO,32.797,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,3,0,0,2,37d492dfb540a9ab21d0c34679a913c46adda29dc811b59f14a7e859e3c62eca
006447.png,threshold,Threshold,moderate,SMALL,177.518,0.6042,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,5,97ef08f7d0ef29684f261ad44ae7d575843db85024d874a850b1085c1af053a8
006857.png,threshold,Threshold,moderate,SMALL,127.866,0.6721,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,2,0,3,0,2,681785848f43776140dadaae4a56c0c44590905b3f37138a9c375409ef0bc148
006127.png,threshold,Threshold,moderate,SMALL,128.051,0.6259,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,6,2,7,4e121594fd2441d553cfc0aa0b70e7773b4432c3b3788789428c91b5aa959b58
006831.png,threshold,Threshold,moderate,NANO,32.729,0.6182,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,6,ae3ee221b64ae1a71c3826830a99a88fcc2f314add7a3410903ed876fb51fa2c
006461.png,threshold,Threshold,moderate,NANO,31.765,0.6147,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,4,af24417508d6ea0c01629139730d5ffd9c38b56120fda78d0409cbbd809e2a34
007415.png,threshold,Threshold,moderate,NANO,34.495,0.6147,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,3,bd8f35128a89d82e17c465cfe983550a90b03692a37b970fe3a3266a167988bf
006154.png,threshold,Threshold,moderate,NANO,31.936,0.6028,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,1,4,eb2be7177b9502a683d5413eba52492c7150eaf0ddbd9b96bfe892328bcc53f0
007336.png,threshold,Threshold,moderate,NANO,31.808,0.6028,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,2,0ad1d4954204af94c6b29ea5c3992ff4b94f73657d5abe22840afbd678c22a67
006621.png,threshold,Threshold,moderate,NANO,35.064,0.6119,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,3,aea0e218526ec7a387659303ce61f8fb897032b6e82b8b9b3d9bb562bbc6884f
006478.png,threshold,Threshold,moderate,NANO,31.422,0.6119,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,1,3,1,0,1,1147c4e83f1fa12ad0db1b2db3e9077bae8505b1cdd77bb5df749faa622c7643
006352.png,threshold,Threshold,moderate,NANO,31.829,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,2,0,46e79e40936cf2a7f91a7e8da6f434bcc6f495005693e04b0a0dee2ebf61b1a5
007230.png,threshold,Threshold,moderate,NANO,32.294,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,2,2,279153692c506d3eee390b380fd67dacea31b862867639736f6af5c43c704624
007113.png,threshold,Threshold,moderate,NANO,31.635,0.5986,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,1,34850708357c1148d0d85b3d599a32230d72fecbba09f638311ab16d5f097508
007162.png,threshold,Threshold,moderate,NANO,36.126,0.5986,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,7,a4f19ce996240f5fd091d3049f4a41fd6d2b319413b0a174b3b5949fd352f956
007130.png,threshold,Threshold,moderate,NANO,31.71,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,0,1,0,2,2d6baa3971c34734c61aad66b2592c31d5b14a59dac3127f11e959b97820c1a6
006651.png,threshold,Threshold,moderate,NANO,31.617,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,0,2,8e70c49cc8d58c69ca3b2cafc776e5e15d3aceefb767a0c46b7d63abdb7cd76b
006282.png,threshold,Threshold,moderate,NANO,48.056,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,3,f8c113c069316ec32ae50b1e10dcaedd698ff96e0250f71bdb8f2cb529dba298
006034.png,threshold,Threshold,moderate,NANO,35.044,0.5986,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,9,4,6,6dfe9b1185cc1e8ffb42d8dcff21a2b20c1c932c80b48400c062ff733153c65c
006519.png,threshold,Threshold,moderate,NANO,37.415,0.6721,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,1,3,4,1,4,1930fb8b512b0893b08f5dca5848759b89193be3f9734e05df455a1ee2893d97
007441.png,threshold,Threshold,moderate,NANO,38.823,0.6721,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,0,1287f5f32c0153a683655278247c4d6d928c860890974e518cc6088800a23e33
006438.png,threshold,Threshold,moderate,NANO,35.596,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,2,4,e49a6ab394c1951f3b870d59c5aca834bddcff6be435a0bea0dd6838bf092139
007456.png,threshold,Threshold,moderate,NANO,34.525,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,5,ae5f53e0dd3dc3d082e334fb58ff6ae72c45505c9c78dfcd26a21a4ad97d9538
006904.png,threshold,Threshold,moderate,NANO,38.442,0.6063,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,4,1,6,fafb67fe64e7d64120fe1f0ef150bade6efebc165f6f3f9981da944e253b4295
007445.png,threshold,Threshold,moderate,NANO,35.044,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,4,1,3,f94a5719804aafb2ca9b22b89406080eac55a7bf504efd6a317cc697cd87b617
006746.png,threshold,Threshold,moderate,NANO,40.207,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,5,3,50422ff583cbdf11bd0f8dd3f3c818cdeff22d5dce1db6e88f273642074fefc4
007151.png,threshold,Threshold,moderate,NANO,42.256,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,6,1,5,f806e78b52f066c72d8317db20cef8800e10ee9e3f049cda34bf09011b22ee1c
006946.png,threshold,Threshold,moderate,NANO,35.301,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,2,1,0568f4563e9417311a3bae3b73774712b26b2da5b388318a0bdcc3b6e4682ff8
006617.png,threshold,Threshold,moderate,NANO,40.553,0.6077,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,1,0,0,4,e7f8541353bfb764bbf8a711a8404e755de2e27053e377ad3f7539dfe4e8c87f
006434.png,threshold,Threshold,moderate,NANO,37.833,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,0,0,0,0,0,6d197b35cc248df65a7d61c31e36665fa3a208626478431dc148cfb0146e5b54
007063.png,threshold,Threshold,moderate,NANO,41.233,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,2,bd9a68a5516d7a5cfb14d1a0fb7042d9a3fd4a5fa6e58ab58a35df7cc50570bc
006080.png,threshold,Threshold,moderate,SMALL,129.594,0.5999,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,0,2,bbff128569abc67f95641c1cddbd91f3af41f5fc8976bfd9909eacd0e7e5928d
