run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,138.575,0.2397,26.1,22.8,44.5,0.0,,50.625,,tegrastats,0.007,133.472,3.772,1.274,2198.972,onnx,CPUExecutionProvider,{},False,1,True,006201.png,1788877747214329444,"{""VDD_CPU_CV"": 6.797, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.73}"
1,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,131.787,0.5004,63.2,23.2,44.5,0.0,,50.468,,tegrastats,0.005,127.282,3.106,1.367,131.942,onnx,CPUExecutionProvider,{},False,3,True,007377.png,1788877749456487799,"{""VDD_CPU_CV"": 9.192, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
2,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,129.848,0.4556,56.8,23.2,44.5,0.0,,50.625,,tegrastats,0.004,125.555,2.352,1.911,129.995,onnx,CPUExecutionProvider,{},False,6,False,006587.png,1788877749563819765,"{""VDD_CPU_CV"": 9.992, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
3,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,129.755,0.4577,57.1,23.2,44.5,0.0,,50.625,,tegrastats,0.004,126.101,2.362,1.26,129.891,onnx,CPUExecutionProvider,{},False,2,False,006905.png,1788877749670943287,"{""VDD_CPU_CV"": 10.391, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
4,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,128.454,0.4794,60.2,23.2,44.5,0.0,,50.812,,tegrastats,0.003,124.95,2.347,1.127,128.597,onnx,CPUExecutionProvider,{},False,2,False,007244.png,1788877749885129565,"{""VDD_CPU_CV"": 11.195, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
5,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,131.089,0.4521,56.3,23.2,44.5,0.0,,50.812,,tegrastats,0.004,126.969,2.338,1.75,131.238,onnx,CPUExecutionProvider,{},False,5,False,007031.png,1788877749992268576,"{""VDD_CPU_CV"": 11.195, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
6,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,131.433,0.4633,57.9,23.2,44.5,0.0,,50.812,,tegrastats,0.004,127.779,2.365,1.257,131.583,onnx,CPUExecutionProvider,{},False,2,False,006369.png,1788877750099785913,"{""VDD_CPU_CV"": 11.595, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
7,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,130.556,0.4696,58.8,23.2,44.5,0.0,,50.812,,tegrastats,0.005,126.956,2.403,1.16,130.727,onnx,CPUExecutionProvider,{},False,3,False,006254.png,1788877750320251378,"{""VDD_CPU_CV"": 11.995, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
8,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,129.374,0.5347,68.1,23.2,44.5,0.0,,50.687,,tegrastats,0.004,124.893,2.362,2.09,129.516,onnx,CPUExecutionProvider,{},False,7,False,006781.png,1788877750428580730,"{""VDD_CPU_CV"": 12.395, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
9,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,128.6,0.4724,59.2,23.2,44.5,0.0,,50.718,,tegrastats,0.003,125.021,2.345,1.204,128.743,onnx,CPUExecutionProvider,{},False,3,False,006840.png,1788877750538712504,"{""VDD_CPU_CV"": 11.995, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
10,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,129.191,0.4689,58.7,23.2,44.75,0.0,,50.937,,tegrastats,0.004,125.644,2.37,1.147,129.332,onnx,CPUExecutionProvider,{},False,1,False,007416.png,1788877750649413482,"{""VDD_CPU_CV"": 12.395, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.333}"
11,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,131.317,0.457,57.0,23.2,44.75,0.0,,50.75,,tegrastats,0.004,125.561,2.385,3.34,131.48,onnx,CPUExecutionProvider,{},False,20,True,007420.png,1788877750865660899,"{""VDD_CPU_CV"": 12.395, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
12,0,fixed_small,light,0.25,process_steady_v3,11,,SMALL,130.157,0.4612,57.6,23.2,44.75,0.0,,50.937,,tegrastats,0.004,125.733,2.355,2.037,130.302,onnx,CPUExecutionProvider,{},False,7,False,007182.png,1788877750972832772,"{""VDD_CPU_CV"": 12.395, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
