run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,333.019,0.6035,78.0,23.0,47.75,0.0,,54.343,,tegrastats,0.006,328.075,3.685,1.215,2438.118,onnx,CPUExecutionProvider,{},False,1,True,006201.png,1788888160532241512,"{""VDD_CPU_CV"": 15.987, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.83}"
1,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,261.396,0.7004,91.7,23.4,48.0,0.0,,54.437,,tegrastats,0.005,257.034,3.091,1.24,261.554,onnx,CPUExecutionProvider,{},False,3,True,007377.png,1788888163080739451,"{""VDD_CPU_CV"": 17.585, ""VDD_GPU_SOC"": 5.193, ""VIN_SYS_5V0"": 5.132}"
2,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,313.747,0.7354,96.7,23.4,48.0,0.0,,54.406,,tegrastats,0.004,309.611,2.362,1.739,313.898,onnx,CPUExecutionProvider,{},False,6,False,006587.png,1788888163298949865,"{""VDD_CPU_CV"": 17.985, ""VDD_GPU_SOC"": 5.193, ""VIN_SYS_5V0"": 5.132}"
3,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,409.719,0.7347,96.6,23.4,47.75,0.0,,54.437,,tegrastats,0.004,406.13,2.367,1.193,409.878,onnx,CPUExecutionProvider,{},False,2,False,006905.png,1788888163619161096,"{""VDD_CPU_CV"": 18.784, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.132}"
4,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,340.054,0.6909,90.3,23.5,47.75,0.0,,54.406,,tegrastats,0.004,336.627,2.384,1.01,348.899,onnx,CPUExecutionProvider,{},False,2,False,007244.png,1788888164043942355,"{""VDD_CPU_CV"": 18.784, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.233}"
5,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,264.671,0.7415,97.5,23.6,47.75,0.0,,54.593,,tegrastats,0.004,260.471,2.613,1.552,264.838,onnx,CPUExecutionProvider,{},False,5,False,007031.png,1788888164368837379,"{""VDD_CPU_CV"": 18.784, ""VDD_GPU_SOC"": 5.193, ""VIN_SYS_5V0"": 5.333}"
6,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,199.48,0.759,100.0,23.6,48.0,0.0,,54.406,,tegrastats,0.004,196.049,2.355,1.045,199.632,onnx,CPUExecutionProvider,{},False,2,False,006369.png,1788888164687488045,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
7,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,220.787,0.7415,97.5,23.6,48.0,0.0,,54.343,,tegrastats,0.004,217.304,2.387,1.063,220.949,onnx,CPUExecutionProvider,{},False,3,False,006254.png,1788888164899994391,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
8,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,336.635,0.7536,99.2,23.7,48.0,0.0,,54.437,,tegrastats,0.004,332.146,2.429,2.024,336.801,onnx,CPUExecutionProvider,{},False,7,False,006781.png,1788888165113537244,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
9,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,293.422,0.7242,95.0,23.7,48.0,0.0,,54.468,,tegrastats,0.006,289.868,2.418,1.1,293.617,onnx,CPUExecutionProvider,{},False,3,False,006840.png,1788888165452743677,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
10,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,348.08,0.742,97.5,23.8,48.0,0.0,,54.531,,tegrastats,0.005,344.63,2.393,1.025,348.24,onnx,CPUExecutionProvider,{},False,1,False,007416.png,1788888165772445874,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
11,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,275.902,0.7427,97.6,23.8,47.75,0.0,,54.812,,tegrastats,0.004,270.101,2.448,3.321,276.068,onnx,CPUExecutionProvider,{},False,20,True,007420.png,1788888166098966265,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
12,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,242.557,0.7476,98.3,23.8,47.75,0.0,,54.625,,tegrastats,0.005,238.251,2.404,1.865,242.725,onnx,CPUExecutionProvider,{},False,7,False,007182.png,1788888166426921825,"{""VDD_CPU_CV"": 18.784, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
13,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,224.78,0.742,97.5,23.8,47.75,0.0,,54.468,,tegrastats,0.004,221.43,2.407,0.908,224.946,onnx,CPUExecutionProvider,{},False,1,False,007443.png,1788888166745641879,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
14,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,156.944,0.742,97.5,23.8,47.75,0.0,,54.656,,tegrastats,0.005,153.447,2.401,1.062,157.106,onnx,CPUExecutionProvider,{},False,1,True,006164.png,1788888166957923731,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
15,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,143.738,0.7486,98.4,23.9,47.75,0.0,,54.531,,tegrastats,0.005,139.723,2.403,1.578,143.93,onnx,CPUExecutionProvider,{},False,7,False,007087.png,1788888167064575310,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
16,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,159.298,0.7303,95.8,23.9,47.75,0.0,,54.5,,tegrastats,0.005,155.603,2.386,1.271,159.493,onnx,CPUExecutionProvider,{},False,3,False,006681.png,1788888167277101698,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
17,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,132.452,0.7541,99.2,23.9,47.75,0.0,,54.406,,tegrastats,0.004,128.443,2.365,1.611,132.621,onnx,CPUExecutionProvider,{},False,4,False,006319.png,1788888167383454510,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
18,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,318.028,0.7479,98.3,23.9,47.75,0.0,,54.812,,tegrastats,0.004,314.306,2.34,1.326,318.187,onnx,CPUExecutionProvider,{},False,7,False,007392.png,1788888167596132935,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.535}"
19,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,262.84,0.7369,96.7,24.0,48.0,0.0,,54.5,,tegrastats,0.004,259.65,2.374,0.784,262.992,onnx,CPUExecutionProvider,{},False,0,False,006148.png,1788888167914670074,"{""VDD_CPU_CV"": 19.184, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.434}"
