status,simulated,backend,dataset,tier,image,n_gt,n_predictions,tp50,vru_tp,vru_gt,person_tp,person_gt,cyclist_tp,cyclist_gt
passed,False,onnx,kitti,NANO,005981.png,7,3,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005982.png,10,5,5,0,2,0,0,0,2
passed,False,onnx,kitti,NANO,005983.png,15,9,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005984.png,9,1,0,0,1,0,1,0,0
passed,False,onnx,kitti,NANO,005985.png,4,4,1,1,4,1,2,0,2
passed,False,onnx,kitti,NANO,005986.png,6,4,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005987.png,5,6,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005988.png,17,8,5,5,16,5,16,0,0
passed,False,onnx,kitti,NANO,005989.png,1,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005990.png,2,1,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005991.png,5,0,0,0,1,0,1,0,0
passed,False,onnx,kitti,NANO,005992.png,5,2,2,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005993.png,1,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005994.png,4,3,3,2,3,2,3,0,0
passed,False,onnx,kitti,NANO,005995.png,1,1,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005996.png,10,10,8,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005997.png,5,0,0,0,2,0,0,0,2
passed,False,onnx,kitti,NANO,005998.png,5,2,2,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,005999.png,7,5,4,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006000.png,5,3,2,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006001.png,3,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006002.png,5,4,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006003.png,9,3,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006004.png,5,2,2,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006005.png,9,9,4,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006006.png,10,2,0,0,10,0,7,0,3
passed,False,onnx,kitti,NANO,006007.png,15,9,6,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006008.png,8,4,4,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006009.png,4,3,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006010.png,2,2,1,0,1,0,0,0,1
passed,False,onnx,kitti,NANO,006011.png,12,11,8,0,3,0,3,0,0
passed,False,onnx,kitti,NANO,006012.png,2,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006013.png,3,3,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006014.png,4,4,3,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006015.png,5,4,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006016.png,9,7,4,0,1,0,0,0,1
passed,False,onnx,kitti,NANO,006017.png,2,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006018.png,7,6,4,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006019.png,3,1,1,0,1,0,0,0,1
passed,False,onnx,kitti,NANO,006020.png,2,1,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006021.png,4,2,2,0,1,0,0,0,1
passed,False,onnx,kitti,NANO,006022.png,3,3,1,0,0,0,0,0,0
passed,False,onnx,kitti,NANO,006023.png,3,2,0,0,1,0,0,0,1
