run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,123.475,0.5857,75.0,24.3,48.75,0.0,,54.968,,tegrastats,0.006,122.694,0.0,0.771,123.669,ultralytics,,{},False,1,True,006201.png,1788908430160816771,"{""VDD_CPU_CV"": 15.987, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 4.83}"
1,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,24.495,0.6187,79.7,24.3,48.25,0.0,,55.312,,tegrastats,0.003,23.642,0.0,0.844,24.605,ultralytics,,{},False,3,True,007377.png,1788908430372338132,"{""VDD_CPU_CV"": 15.987, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
2,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,20.992,0.6474,83.2,24.4,48.25,2.0,,55.281,,tegrastats,0.004,19.493,0.0,1.491,21.112,ultralytics,,{},False,6,False,006587.png,1788908430372338132,"{""VDD_CPU_CV"": 15.987, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
3,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,19.893,0.6474,83.2,24.4,48.25,2.0,,55.281,,tegrastats,0.004,19.263,0.0,0.623,19.984,ultralytics,,{},False,2,False,006905.png,1788908430372338132,"{""VDD_CPU_CV"": 15.987, ""VDD_GPU_SOC"": 5.593, ""VIN_SYS_5V0"": 4.931}"
4,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,23.319,0.6474,83.2,24.4,48.25,2.0,,55.281,,tegrastats,0.003,22.684,0.0,0.628,23.409,ultralytics,,{},False,2,False,007244.png,1788908430478444659,"{""VDD_CPU_CV"": 16.386, ""VDD_GPU_SOC"": 5.992, ""VIN_SYS_5V0"": 5.132}"
5,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,20.851,0.6584,84.2,24.4,48.25,4.0,,55.312,,tegrastats,0.004,19.55,0.0,1.294,20.95,ultralytics,,{},False,5,False,007031.png,1788908430478444659,"{""VDD_CPU_CV"": 16.386, ""VDD_GPU_SOC"": 5.992, ""VIN_SYS_5V0"": 5.132}"
6,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,24.897,0.6584,84.2,24.4,48.25,4.0,,55.312,,tegrastats,0.004,24.009,0.0,0.88,25.039,ultralytics,,{},False,3,False,006369.png,1788908430478444659,"{""VDD_CPU_CV"": 16.386, ""VDD_GPU_SOC"": 5.992, ""VIN_SYS_5V0"": 5.132}"
7,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,27.606,0.6584,84.2,24.4,48.25,4.0,,55.312,,tegrastats,0.005,26.92,0.0,0.677,27.788,ultralytics,,{},False,2,False,006254.png,1788908430585061124,"{""VDD_CPU_CV"": 16.386, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.233}"
8,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,21.562,0.6974,89.2,24.4,48.25,6.0,,55.312,,tegrastats,0.005,20.099,0.0,1.455,21.69,ultralytics,,{},False,6,False,006781.png,1788908430585061124,"{""VDD_CPU_CV"": 16.386, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.233}"
9,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,20.139,0.6974,89.2,24.4,48.25,6.0,,55.312,,tegrastats,0.004,19.307,0.0,0.825,20.231,ultralytics,,{},False,3,False,006840.png,1788908430585061124,"{""VDD_CPU_CV"": 16.386, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.233}"
