label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy,frame_name,block
FIXED_SMALL,moderate,19.465913996100426,0.4896,SMALL,1,True,False,0.448,006201.png,0
FIXED_SMALL,moderate,8.807511068880558,0.4896,SMALL,3,True,False,0.448,007377.png,0
FIXED_SMALL,moderate,9.214269928634167,0.4896,SMALL,6,False,False,0.448,006587.png,0
FIXED_SMALL,moderate,8.166047977283597,0.5291,SMALL,2,False,False,0.448,006905.png,0
FIXED_SMALL,moderate,7.934765890240669,0.5291,SMALL,2,False,False,0.448,007244.png,0
FIXED_SMALL,moderate,9.066951926797628,0.5291,SMALL,5,False,False,0.448,007031.png,0
FIXED_SMALL,moderate,8.795128902420402,0.5291,SMALL,2,False,False,0.448,006369.png,0
FIXED_SMALL,moderate,8.669537026435137,0.5291,SMALL,3,False,False,0.448,006254.png,0
FIXED_SMALL,moderate,9.505164111033082,0.6384,SMALL,7,False,False,0.448,006781.png,0
FIXED_SMALL,moderate,8.379026083275676,0.6384,SMALL,3,False,False,0.448,006840.png,0
FIXED_SMALL,moderate,7.796342950314283,0.6384,SMALL,1,False,False,0.448,007416.png,0
FIXED_SMALL,moderate,11.972210137173533,0.6384,SMALL,20,True,False,0.448,007420.png,0
FIXED_SMALL,moderate,9.081030962988734,0.6384,SMALL,7,False,False,0.448,007182.png,0
FIXED_SMALL,moderate,8.350644959136844,0.5607,SMALL,1,False,False,0.448,007443.png,0
FIXED_SMALL,moderate,7.883921964094043,0.5607,SMALL,1,True,False,0.448,006164.png,0
FIXED_SMALL,moderate,9.054184891283512,0.5607,SMALL,7,False,False,0.448,007087.png,0
FIXED_SMALL,moderate,8.12041899189353,0.5607,SMALL,3,False,False,0.448,006681.png,0
FIXED_SMALL,moderate,10.638725012540817,0.5607,SMALL,4,False,False,0.448,006319.png,0
FIXED_SMALL,moderate,10.028010932728648,0.5628,SMALL,7,False,False,0.448,007392.png,0
FIXED_SMALL,moderate,7.606883998960257,0.5628,SMALL,0,False,False,0.448,006148.png,0
FIXED_SMALL,moderate,8.922577137127519,0.5628,SMALL,1,False,False,0.448,006447.png,0
FIXED_SMALL,moderate,8.792025037109852,0.5628,SMALL,5,True,False,0.448,006857.png,0
FIXED_SMALL,moderate,9.321623016148806,0.5628,SMALL,7,False,False,0.448,006127.png,0
FIXED_SMALL,moderate,8.781048934906721,0.5529,SMALL,3,False,False,0.448,006831.png,0
FIXED_SMALL,moderate,8.124354062601924,0.5529,SMALL,2,False,False,0.448,006461.png,0
FIXED_SMALL,moderate,8.935407968237996,0.5529,SMALL,4,False,False,0.448,007415.png,0
FIXED_SMALL,moderate,9.064072044566274,0.5529,SMALL,5,False,False,0.448,006154.png,0
FIXED_SMALL,moderate,8.969293907284737,0.5529,SMALL,6,False,False,0.448,007336.png,0
FIXED_SMALL,moderate,8.760890923440456,0.5747,SMALL,2,False,False,0.448,006621.png,0
FIXED_SMALL,moderate,9.840534999966621,0.5747,SMALL,10,True,False,0.448,006478.png,0
FIXED_SMALL,moderate,8.864915929734707,0.5747,SMALL,2,False,False,0.448,006352.png,0
FIXED_SMALL,moderate,8.447245927527547,0.5747,SMALL,3,False,False,0.448,007230.png,0
FIXED_SMALL,moderate,6.390575086697936,0.5809,SMALL,0,False,False,0.448,007113.png,0
FIXED_SMALL,moderate,10.50916500389576,0.5809,SMALL,8,False,False,0.448,007162.png,0
FIXED_SMALL,moderate,8.561095222830772,0.5809,SMALL,3,True,False,0.448,007130.png,0
FIXED_SMALL,moderate,8.438383927568793,0.5809,SMALL,2,False,False,0.448,006651.png,0
FIXED_SMALL,moderate,7.964333053678274,0.5809,SMALL,1,False,False,0.448,006282.png,0
FIXED_SMALL,moderate,10.451792972162366,0.5797,SMALL,12,False,False,0.448,006034.png,0
FIXED_SMALL,moderate,10.605639079585671,0.5797,SMALL,10,True,False,0.448,006519.png,0
FIXED_SMALL,moderate,7.844788022339344,0.5797,SMALL,1,False,False,0.448,007441.png,0
FIXED_SMALL,moderate,9.613540954887867,0.5797,SMALL,9,False,False,0.448,006438.png,0
FIXED_SMALL,moderate,8.92382487654686,0.5797,SMALL,3,False,False,0.448,007456.png,0
FIXED_SMALL,moderate,9.554920950904489,0.5669,SMALL,9,False,False,0.448,006904.png,0
FIXED_SMALL,moderate,9.258588077500463,0.5669,SMALL,4,False,False,0.448,007445.png,0
FIXED_SMALL,moderate,9.670305997133255,0.5669,SMALL,9,False,False,0.448,006746.png,0
FIXED_SMALL,moderate,10.422738967463374,0.5669,SMALL,13,False,False,0.448,007151.png,0
FIXED_SMALL,moderate,8.626115042716265,0.5508,SMALL,4,False,False,0.448,006946.png,0
FIXED_SMALL,moderate,8.17193603143096,0.5508,SMALL,3,True,False,0.448,006617.png,0
FIXED_SMALL,moderate,8.066086797043681,0.5508,SMALL,1,True,False,0.448,006434.png,0
FIXED_SMALL,moderate,8.166688960045576,0.5508,SMALL,3,False,False,0.448,007063.png,0
FIXED_SMALL,moderate,8.140194928273559,0.5508,SMALL,3,False,False,0.448,006080.png,0
FIXED_SMALL,moderate,8.355668978765607,0.5607,SMALL,3,True,False,0.448,006280.png,0
FIXED_SMALL,moderate,8.717245887964964,0.5607,SMALL,5,False,False,0.448,006829.png,0
FIXED_SMALL,moderate,11.368535924702883,0.5607,SMALL,9,True,False,0.448,006122.png,0
FIXED_SMALL,moderate,9.693088941276073,0.5607,SMALL,6,True,False,0.448,007161.png,0
FIXED_SMALL,moderate,11.470577912405133,0.5607,SMALL,7,True,False,0.448,006363.png,0
FIXED_SMALL,moderate,8.553961059078574,0.6441,SMALL,4,False,False,0.448,007405.png,0
FIXED_SMALL,moderate,8.041063789278269,0.6441,SMALL,2,False,False,0.448,007158.png,0
FIXED_SMALL,moderate,9.320247918367386,0.6441,SMALL,7,False,False,0.448,007200.png,0
FIXED_SMALL,moderate,7.835413794964552,0.6441,SMALL,1,False,False,0.448,006533.png,0
FIXED_SMALL,moderate,8.109476882964373,0.6441,SMALL,2,False,False,0.448,006484.png,0
FIXED_SMALL,moderate,9.019019082188606,0.551,SMALL,6,False,False,0.448,006891.png,0
FIXED_SMALL,moderate,7.7313880901783705,0.551,SMALL,1,False,False,0.448,006270.png,0
FIXED_SMALL,moderate,8.091398049145937,0.551,SMALL,3,False,False,0.448,006413.png,0
FIXED_SMALL,moderate,8.264795178547502,0.551,SMALL,3,False,False,0.448,006874.png,0
FIXED_SMALL,moderate,9.28428303450346,0.551,SMALL,8,False,False,0.448,006368.png,0
FIXED_SMALL,moderate,8.137122029438615,0.5588,SMALL,3,False,False,0.448,007358.png,0
FIXED_SMALL,moderate,8.946032030507922,0.5588,SMALL,7,True,False,0.448,006475.png,0
FIXED_SMALL,moderate,8.072102908045053,0.5588,SMALL,2,False,False,0.448,006417.png,0
FIXED_SMALL,moderate,8.916305843740702,0.5588,SMALL,6,False,False,0.448,006778.png,0
FIXED_SMALL,moderate,7.899984950199723,0.5651,SMALL,1,False,False,0.448,007082.png,0
FIXED_SMALL,moderate,6.299413973465562,0.5651,SMALL,0,False,False,0.448,006712.png,0
FIXED_SMALL,moderate,8.75922804698348,0.5651,SMALL,4,False,False,0.448,006213.png,0
FIXED_SMALL,moderate,8.214462082833052,0.5651,SMALL,2,False,False,0.448,006675.png,0
FIXED_SMALL,moderate,9.694912936538458,0.5651,SMALL,8,False,False,0.448,007411.png,0
FIXED_SMALL,moderate,9.02477907948196,0.5574,SMALL,3,False,False,0.448,006249.png,0
FIXED_SMALL,moderate,9.007083950564265,0.5574,SMALL,3,True,False,0.448,006221.png,0
FIXED_SMALL,moderate,8.293305058032274,0.5574,SMALL,4,False,False,0.448,006386.png,0
FIXED_SMALL,moderate,7.4861550237983465,0.5574,SMALL,1,False,False,0.448,006566.png,0
FIXED_SMALL,moderate,8.841911097988486,0.5574,SMALL,3,False,False,0.448,006500.png,0
FIXED_SMALL,moderate,7.748602889478207,0.5532,SMALL,2,False,False,0.448,007229.png,0
FIXED_SMALL,moderate,10.635334067046642,0.5532,SMALL,13,False,False,0.448,007099.png,0
FIXED_SMALL,moderate,9.317240910604596,0.5532,SMALL,9,True,False,0.448,006800.png,0
FIXED_SMALL,moderate,8.782905992120504,0.5532,SMALL,7,False,False,0.448,007005.png,0
FIXED_SMALL,moderate,10.54657087661326,0.5532,SMALL,12,False,False,0.448,006322.png,0
FIXED_SMALL,moderate,8.36501200683415,0.549,SMALL,5,False,False,0.448,006520.png,0
FIXED_SMALL,moderate,8.439759956672788,0.549,SMALL,3,False,False,0.448,006094.png,0
FIXED_SMALL,moderate,7.864051032811403,0.549,SMALL,1,False,False,0.448,006643.png,0
FIXED_SMALL,moderate,8.80152895115316,0.549,SMALL,6,True,False,0.448,007410.png,0
FIXED_SMALL,moderate,8.908561896532774,0.549,SMALL,4,False,False,0.448,006074.png,0
FIXED_SMALL,moderate,8.01082607358694,0.5476,SMALL,2,False,False,0.448,006162.png,0
FIXED_SMALL,moderate,9.521644096821547,0.5476,SMALL,6,False,False,0.448,006123.png,0
FIXED_SMALL,moderate,9.772316087037325,0.5476,SMALL,7,True,False,0.448,007136.png,0
FIXED_SMALL,moderate,7.984844036400318,0.5476,SMALL,1,False,False,0.448,006311.png,0
FIXED_SMALL,moderate,10.34613698720932,0.5686,SMALL,8,True,False,0.448,006423.png,0
FIXED_SMALL,moderate,6.870802026242018,0.5686,SMALL,0,False,False,0.448,006165.png,0
FIXED_SMALL,moderate,10.402932995930314,0.5686,SMALL,12,False,False,0.448,007325.png,0
FIXED_SMALL,moderate,9.44036990404129,0.5686,SMALL,9,True,False,0.448,006639.png,0
FIXED_SMALL,moderate,9.398292982950807,0.5686,SMALL,4,True,False,0.448,006552.png,0
FIXED_SMALL,moderate,9.966512909159064,0.5416,SMALL,12,False,False,0.448,007424.png,0
FIXED_SMALL,moderate,9.959217859432101,0.5416,SMALL,6,True,False,0.448,007312.png,0
FIXED_SMALL,moderate,9.503789944574237,0.5416,SMALL,6,True,False,0.448,007135.png,0
FIXED_SMALL,moderate,10.062858927994967,0.5416,SMALL,6,False,False,0.448,006394.png,0
FIXED_SMALL,moderate,9.930419037118554,0.5787,SMALL,11,True,False,0.448,006542.png,0
FIXED_SMALL,moderate,12.381177861243486,0.5787,SMALL,5,False,False,0.448,006027.png,0
FIXED_SMALL,moderate,8.009771117940545,0.5787,SMALL,3,False,False,0.448,006537.png,0
FIXED_SMALL,moderate,9.09507879987359,0.5787,SMALL,8,False,False,0.448,006595.png,0
FIXED_SMALL,moderate,11.644008103758097,0.5787,SMALL,13,False,False,0.448,007393.png,0
FIXED_SMALL,moderate,6.072579883038998,0.4748,SMALL,0,False,False,0.448,006304.png,0
FIXED_SMALL,moderate,8.300504880025983,0.4748,SMALL,4,True,False,0.448,006441.png,0
FIXED_SMALL,moderate,9.227646980434656,0.4748,SMALL,9,False,False,0.448,007383.png,0
FIXED_SMALL,moderate,8.399859070777893,0.4748,SMALL,5,False,False,0.448,007089.png,0
FIXED_SMALL,moderate,8.191040018573403,0.4748,SMALL,3,False,False,0.448,006095.png,0
FIXED_SMALL,moderate,7.92513694614172,0.5012,SMALL,3,False,False,0.448,006907.png,0
FIXED_SMALL,moderate,10.042284149676561,0.5012,SMALL,12,True,False,0.448,006761.png,0
FIXED_SMALL,moderate,9.847224922850728,0.5012,SMALL,12,False,False,0.448,007210.png,0
FIXED_SMALL,moderate,7.440045941621065,0.5012,SMALL,1,True,False,0.448,007036.png,0
FIXED_SMALL,moderate,9.726432152092457,0.5012,SMALL,11,True,False,0.448,007301.png,0
FIXED_SMALL,moderate,7.996140047907829,0.4894,SMALL,3,False,False,0.448,006481.png,0
FIXED_SMALL,moderate,8.226334117352962,0.4894,SMALL,4,False,False,0.448,007037.png,0
FIXED_SMALL,moderate,7.384113967418671,0.4894,SMALL,1,True,False,0.448,007159.png,0
FIXED_SMALL,moderate,8.080102037638426,0.4894,SMALL,4,False,False,0.448,006493.png,0
FIXED_SMALL,moderate,8.514795918017626,0.4894,SMALL,5,False,False,0.448,005999.png,0
FIXED_SMALL,moderate,8.222877979278564,0.4792,SMALL,4,False,False,0.448,007437.png,0
FIXED_SMALL,moderate,8.559849113225937,0.4792,SMALL,4,False,False,0.448,007355.png,0
FIXED_SMALL,moderate,7.825526874512434,0.4792,SMALL,2,False,False,0.448,007413.png,0
FIXED_SMALL,moderate,8.133444003760815,0.4792,SMALL,4,False,False,0.448,006548.png,0
FIXED_SMALL,moderate,7.476684870198369,0.4792,SMALL,1,False,False,0.448,006264.png,0
FIXED_SMALL,moderate,8.789147017523646,0.5012,SMALL,7,False,False,0.448,006594.png,0
FIXED_SMALL,moderate,7.41940806619823,0.5012,SMALL,1,False,False,0.448,007293.png,0
FIXED_SMALL,moderate,7.73129309527576,0.5012,SMALL,2,False,False,0.448,006816.png,0
FIXED_SMALL,moderate,5.952843930572271,0.5012,SMALL,0,False,False,0.448,006131.png,0
FIXED_SMALL,moderate,7.805144181475043,0.5012,SMALL,1,True,False,0.448,007227.png,0
FIXED_SMALL,moderate,8.057096041738987,0.5032,SMALL,4,False,False,0.448,007361.png,0
FIXED_SMALL,moderate,8.57098400592804,0.5032,SMALL,6,False,False,0.448,007117.png,0
FIXED_SMALL,moderate,7.914416957646608,0.5032,SMALL,3,False,False,0.448,006032.png,0
FIXED_SMALL,moderate,8.490157080814242,0.5032,SMALL,6,True,False,0.448,007053.png,0
FIXED_SMALL,moderate,7.716702064499259,0.5032,SMALL,2,False,False,0.448,006181.png,0
FIXED_SMALL,moderate,9.168897988274693,0.4997,SMALL,9,False,False,0.448,006329.png,0
FIXED_SMALL,moderate,8.702560095116496,0.4997,SMALL,7,False,False,0.448,006625.png,0
FIXED_SMALL,moderate,5.899759009480476,0.4997,SMALL,0,False,False,0.448,006620.png,0
FIXED_SMALL,moderate,7.4117600452154875,0.4997,SMALL,1,False,False,0.448,006105.png,0
FIXED_SMALL,moderate,7.54228001460433,0.4997,SMALL,1,False,False,0.448,007186.png,0
FIXED_SMALL,moderate,7.64873786829412,0.5052,SMALL,2,False,False,0.448,007140.png,0
FIXED_SMALL,moderate,8.975662989541888,0.5052,SMALL,7,False,False,0.448,006862.png,0
FIXED_SMALL,moderate,8.545737946406007,0.5052,SMALL,5,True,False,0.448,006419.png,0
FIXED_SMALL,moderate,8.473390946164727,0.5052,SMALL,6,False,False,0.448,006208.png,0
FIXED_SMALL,moderate,7.83931789919734,0.4798,SMALL,3,True,False,0.448,007239.png,0
FIXED_SMALL,moderate,9.744927985593677,0.4798,SMALL,11,False,False,0.448,006187.png,0
FIXED_SMALL,moderate,8.759357035160065,0.4798,SMALL,2,True,False,0.448,007446.png,0
FIXED_SMALL,moderate,9.938643081113696,0.4798,SMALL,3,False,False,0.448,007447.png,0
FIXED_SMALL,moderate,10.863801930099726,0.4798,SMALL,13,False,False,0.448,006066.png,0
FIXED_SMALL,moderate,8.742909878492355,0.5666,SMALL,6,False,False,0.448,006530.png,0
FIXED_SMALL,moderate,9.781565051525831,0.5666,SMALL,11,False,False,0.448,006783.png,0
FIXED_SMALL,moderate,8.351063122972846,0.5666,SMALL,5,False,False,0.448,006936.png,0
FIXED_SMALL,moderate,7.944367825984955,0.5666,SMALL,2,True,False,0.448,007385.png,0
FIXED_SMALL,moderate,8.270778926089406,0.5666,SMALL,2,True,False,0.448,006194.png,0
FIXED_SMALL,moderate,8.794426918029785,0.4899,SMALL,7,False,False,0.448,007011.png,0
