run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,20.159,0.1339,10.1,25.3,43.5,0.0,,49.375,,tegrastats,0.008,19.396,0.0,0.752,20.354,tensorrt,,{},False,1,True,006201.png,1788960880343646450,"{""VDD_CPU_CV"": 3.598, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.233}"
1,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.97,0.1836,17.2,25.3,43.5,0.0,,49.218,,tegrastats,0.004,8.041,0.0,0.919,9.114,tensorrt,,{},False,3,True,007377.png,1788960880343646450,"{""VDD_CPU_CV"": 3.598, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.233}"
2,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,9.623,0.1836,17.2,25.3,43.5,0.0,,49.218,,tegrastats,0.004,8.092,0.0,1.523,9.762,tensorrt,,{},False,6,False,006587.png,1788960880343646450,"{""VDD_CPU_CV"": 3.598, ""VDD_GPU_SOC"": 5.197, ""VIN_SYS_5V0"": 5.233}"
3,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.088,0.1836,17.2,25.3,43.5,0.0,,49.218,,tegrastats,0.005,7.421,0.0,0.659,8.204,tensorrt,,{},False,2,False,006905.png,1788960880449375761,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
4,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.35,0.1836,17.2,25.3,43.5,0.0,,49.218,,tegrastats,0.005,7.678,0.0,0.664,8.472,tensorrt,,{},False,2,False,007244.png,1788960880449375761,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
5,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.652,0.2167,18.5,25.3,43.5,12.0,,49.375,,tegrastats,0.005,7.39,0.0,1.255,8.775,tensorrt,,{},False,5,False,007031.png,1788960880449375761,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
6,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,7.907,0.2167,18.5,25.3,43.5,12.0,,49.375,,tegrastats,0.005,7.251,0.0,0.649,8.021,tensorrt,,{},False,2,False,006369.png,1788960880449375761,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
7,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.178,0.2167,18.5,25.3,43.5,12.0,,49.375,,tegrastats,0.004,7.355,0.0,0.814,8.297,tensorrt,,{},False,3,False,006254.png,1788960880449375761,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
8,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.981,0.2167,18.5,25.3,43.5,12.0,,49.375,,tegrastats,0.004,7.31,0.0,1.663,9.138,tensorrt,,{},False,7,False,006781.png,1788960880449375761,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.595, ""VIN_SYS_5V0"": 5.333}"
9,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,9.202,0.2167,18.5,25.3,43.5,12.0,,49.375,,tegrastats,0.004,8.138,0.0,1.056,9.304,tensorrt,,{},False,3,False,006840.png,1788960880555541586,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.333}"
10,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,7.77,0.2224,19.3,25.3,43.5,12.0,,49.656,,tegrastats,0.004,7.355,0.0,0.407,7.88,tensorrt,,{},False,1,False,007416.png,1788960880555541586,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.333}"
11,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,11.774,0.2224,19.3,25.3,43.5,12.0,,49.656,,tegrastats,0.005,7.323,0.0,4.444,11.9,tensorrt,,{},False,20,True,007420.png,1788960880555541586,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.333}"
12,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.953,0.2224,19.3,25.3,43.5,12.0,,49.656,,tegrastats,0.004,7.271,0.0,1.676,9.06,tensorrt,,{},False,7,False,007182.png,1788960880555541586,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.333}"
13,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,7.849,0.2224,19.3,25.3,43.5,12.0,,49.656,,tegrastats,0.004,7.432,0.0,0.41,7.962,tensorrt,,{},False,1,False,007443.png,1788960880661468146,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.333}"
14,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,7.541,0.207,20.5,25.4,43.5,0.0,,49.718,,tegrastats,0.004,7.148,0.0,0.386,7.642,tensorrt,,{},False,1,True,006164.png,1788960880661468146,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.333}"
15,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.849,0.207,20.5,25.4,43.5,0.0,,49.718,,tegrastats,0.004,7.192,0.0,1.65,8.946,tensorrt,,{},False,7,False,007087.png,1788960880661468146,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.333}"
16,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.305,0.207,20.5,25.4,43.5,0.0,,49.718,,tegrastats,0.004,7.463,0.0,0.834,8.442,tensorrt,,{},False,3,False,006681.png,1788960880661468146,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.333}"
17,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,8.423,0.207,20.5,25.4,43.5,0.0,,49.718,,tegrastats,0.004,7.355,0.0,1.06,8.541,tensorrt,,{},False,4,False,006319.png,1788960880661468146,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.333}"
18,0,fixed_small,idle,0.0,process_steady_v3,0,,SMALL,9.093,0.207,20.5,25.4,43.5,0.0,,49.718,,tegrastats,0.005,7.435,0.0,1.65,9.228,tensorrt,,{},False,7,False,007392.png,1788960880767533394,"{""VDD_CPU_CV"": 3.998, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.434}"
