run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,0,SMALL,19.818,0.6918,89.9,25.0,48.25,0.0,,54.875,,tegrastats,0.007,19.076,0.0,0.734,20.002,tensorrt,,{},False,1,True,006201.png,1788963760024198998,"{""VDD_CPU_CV"": 7.191, ""VDD_GPU_SOC"": 6.389, ""VIN_SYS_5V0"": 5.837}"
1,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,1,SMALL,20.606,0.6864,89.1,25.1,48.25,0.0,,54.687,,tegrastats,0.005,19.686,0.0,0.911,20.789,tensorrt,,{},False,3,True,007377.png,1788963760130242720,"{""VDD_CPU_CV"": 9.588, ""VDD_GPU_SOC"": 5.99, ""VIN_SYS_5V0"": 5.635}"
2,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,2,SMALL,12.771,0.6864,89.1,25.1,48.25,0.0,,54.687,,tegrastats,0.005,11.235,0.0,1.527,12.944,tensorrt,,{},False,6,False,006587.png,1788963760130242720,"{""VDD_CPU_CV"": 9.588, ""VDD_GPU_SOC"": 5.99, ""VIN_SYS_5V0"": 5.635}"
3,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,3,SMALL,7.988,0.6864,89.1,25.1,48.25,0.0,,54.687,,tegrastats,0.004,7.35,0.0,0.63,8.123,tensorrt,,{},False,2,False,006905.png,1788963760130242720,"{""VDD_CPU_CV"": 9.588, ""VDD_GPU_SOC"": 5.99, ""VIN_SYS_5V0"": 5.635}"
4,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,4,SMALL,9.66,0.6864,89.1,25.1,48.25,0.0,,54.687,,tegrastats,0.004,8.898,0.0,0.756,9.766,tensorrt,,{},False,2,False,007244.png,1788963760236296328,"{""VDD_CPU_CV"": 11.186, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.635}"
5,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,5,SMALL,8.485,0.7287,91.7,25.1,48.25,12.0,,54.781,,tegrastats,0.003,7.19,0.0,1.288,8.585,tensorrt,,{},False,5,False,007031.png,1788963760236296328,"{""VDD_CPU_CV"": 11.186, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.635}"
6,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,6,SMALL,7.891,0.7287,91.7,25.1,48.25,12.0,,54.781,,tegrastats,0.003,7.274,0.0,0.611,7.986,tensorrt,,{},False,2,False,006369.png,1788963760236296328,"{""VDD_CPU_CV"": 11.186, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.635}"
7,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,7,SMALL,8.967,0.7287,91.7,25.1,48.25,12.0,,54.781,,tegrastats,0.003,8.069,0.0,0.892,9.05,tensorrt,,{},False,3,False,006254.png,1788963760236296328,"{""VDD_CPU_CV"": 11.186, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.635}"
8,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,8,SMALL,11.779,0.7287,91.7,25.1,48.25,12.0,,54.781,,tegrastats,0.004,8.627,0.0,3.145,11.872,tensorrt,,{},False,7,False,006781.png,1788963760236296328,"{""VDD_CPU_CV"": 11.186, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.635}"
9,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,9,SMALL,8.076,0.7418,93.3,25.1,48.25,13.0,,54.843,,tegrastats,0.004,7.221,0.0,0.848,8.182,tensorrt,,{},False,3,False,006840.png,1788963760342254164,"{""VDD_CPU_CV"": 12.784, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.535}"
10,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,10,SMALL,7.53,0.7418,93.3,25.1,48.25,13.0,,54.843,,tegrastats,0.004,7.126,0.0,0.398,7.627,tensorrt,,{},False,1,False,007416.png,1788963760342254164,"{""VDD_CPU_CV"": 12.784, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.535}"
11,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,11,SMALL,11.561,0.7418,93.3,25.1,48.25,13.0,,54.843,,tegrastats,0.004,7.13,0.0,4.424,11.644,tensorrt,,{},False,20,True,007420.png,1788963760342254164,"{""VDD_CPU_CV"": 12.784, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.535}"
12,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,12,SMALL,9.029,0.7418,93.3,25.1,48.25,13.0,,54.843,,tegrastats,0.004,7.297,0.0,1.727,9.109,tensorrt,,{},False,7,False,007182.png,1788963760342254164,"{""VDD_CPU_CV"": 12.784, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.535}"
13,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,13,SMALL,7.759,0.7418,93.3,25.1,48.25,13.0,,54.843,,tegrastats,0.004,7.352,0.0,0.401,7.86,tensorrt,,{},False,1,False,007443.png,1788963760342254164,"{""VDD_CPU_CV"": 12.784, ""VDD_GPU_SOC"": 6.392, ""VIN_SYS_5V0"": 5.535}"
14,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,14,SMALL,7.417,0.7418,93.3,25.1,48.25,13.0,,55.187,,tegrastats,0.003,7.024,0.0,0.387,7.495,tensorrt,,{},False,1,True,006164.png,1788963760448206463,"{""VDD_CPU_CV"": 13.983, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
15,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,15,SMALL,8.831,0.7418,93.3,25.1,48.25,13.0,,55.187,,tegrastats,0.003,7.141,0.0,1.684,8.908,tensorrt,,{},False,7,False,007087.png,1788963760448206463,"{""VDD_CPU_CV"": 13.983, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
16,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,16,SMALL,8.113,0.7418,93.3,25.1,48.25,13.0,,55.187,,tegrastats,0.003,7.268,0.0,0.838,8.207,tensorrt,,{},False,3,False,006681.png,1788963760448206463,"{""VDD_CPU_CV"": 13.983, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
17,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,17,SMALL,8.145,0.7418,93.3,25.1,48.25,13.0,,55.187,,tegrastats,0.003,7.101,0.0,1.038,8.222,tensorrt,,{},False,4,False,006319.png,1788963760448206463,"{""VDD_CPU_CV"": 13.983, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
18,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,18,SMALL,8.969,0.7418,93.3,25.1,48.25,13.0,,55.187,,tegrastats,0.003,7.188,0.0,1.775,9.051,tensorrt,,{},False,7,False,007392.png,1788963760448206463,"{""VDD_CPU_CV"": 13.983, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
19,0,fixed_small,burst,0.85,process_isolated_burst_v2,11,19,SMALL,5.957,0.7363,92.5,25.1,48.25,13.0,,55.187,,tegrastats,0.003,5.847,0.0,0.104,6.037,tensorrt,,{},False,0,False,006148.png,1788963760554119851,"{""VDD_CPU_CV"": 15.181, ""VDD_GPU_SOC"": 6.791, ""VIN_SYS_5V0"": 5.535}"
20,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,20,SMALL,7.738,0.0683,0.8,25.1,48.5,0.0,,54.75,,tegrastats,0.004,7.327,0.0,0.404,7.839,tensorrt,,{},False,1,False,006447.png,1788963760765005531,"{""VDD_CPU_CV"": 10.8, ""VDD_GPU_SOC"": 6.397, ""VIN_SYS_5V0"": 5.233}"
21,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,21,SMALL,8.592,0.0683,0.8,25.1,48.5,0.0,,54.75,,tegrastats,0.003,7.286,0.0,1.299,8.679,tensorrt,,{},False,5,True,006857.png,1788963760765005531,"{""VDD_CPU_CV"": 10.8, ""VDD_GPU_SOC"": 6.397, ""VIN_SYS_5V0"": 5.233}"
22,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,22,SMALL,8.936,0.0683,0.8,25.1,48.5,0.0,,54.75,,tegrastats,0.004,7.221,0.0,1.69,9.017,tensorrt,,{},False,7,False,006127.png,1788963760765005531,"{""VDD_CPU_CV"": 10.8, ""VDD_GPU_SOC"": 6.397, ""VIN_SYS_5V0"": 5.233}"
23,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,23,SMALL,8.625,0.0683,0.8,25.1,48.5,0.0,,54.75,,tegrastats,0.003,7.207,0.0,1.412,8.703,tensorrt,,{},False,3,False,006831.png,1788963760765005531,"{""VDD_CPU_CV"": 10.8, ""VDD_GPU_SOC"": 6.397, ""VIN_SYS_5V0"": 5.233}"
24,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,24,SMALL,8.084,0.1209,8.3,25.1,48.5,0.0,,54.593,,tegrastats,0.004,7.338,0.0,0.741,8.161,tensorrt,,{},False,2,False,006461.png,1788963760765005531,"{""VDD_CPU_CV"": 10.8, ""VDD_GPU_SOC"": 6.397, ""VIN_SYS_5V0"": 5.233}"
25,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,25,SMALL,8.17,0.1209,8.3,25.1,48.5,0.0,,54.593,,tegrastats,0.004,7.13,0.0,1.034,8.252,tensorrt,,{},False,4,False,007415.png,1788963760870930503,"{""VDD_CPU_CV"": 8.796, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
26,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,26,SMALL,8.377,0.1209,8.3,25.1,48.5,0.0,,54.593,,tegrastats,0.003,7.112,0.0,1.258,8.456,tensorrt,,{},False,5,False,006154.png,1788963760870930503,"{""VDD_CPU_CV"": 8.796, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
27,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,27,SMALL,8.702,0.1209,8.3,25.1,48.5,0.0,,54.593,,tegrastats,0.003,7.219,0.0,1.476,8.784,tensorrt,,{},False,6,False,007336.png,1788963760870930503,"{""VDD_CPU_CV"": 8.796, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
28,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,28,SMALL,8.772,0.1209,8.3,25.1,48.5,0.0,,54.593,,tegrastats,0.003,8.159,0.0,0.606,8.856,tensorrt,,{},False,2,False,006621.png,1788963760870930503,"{""VDD_CPU_CV"": 8.796, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
29,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,29,SMALL,9.471,0.1291,9.2,25.1,48.5,1.0,,54.937,,tegrastats,0.003,7.135,0.0,2.33,9.555,tensorrt,,{},False,10,True,006478.png,1788963760870930503,"{""VDD_CPU_CV"": 8.796, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.233}"
30,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,30,SMALL,7.701,0.1291,9.2,25.1,48.5,1.0,,54.937,,tegrastats,0.004,7.084,0.0,0.611,7.778,tensorrt,,{},False,2,False,006352.png,1788963760976868754,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
31,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,31,SMALL,7.902,0.1291,9.2,25.1,48.5,1.0,,54.937,,tegrastats,0.003,7.08,0.0,0.815,7.976,tensorrt,,{},False,3,False,007230.png,1788963760976868754,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
32,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,32,SMALL,5.87,0.1291,9.2,25.1,48.5,1.0,,54.937,,tegrastats,0.004,5.762,0.0,0.102,5.987,tensorrt,,{},False,0,False,007113.png,1788963760976868754,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
33,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,33,SMALL,9.315,0.1291,9.2,25.1,48.5,1.0,,54.937,,tegrastats,0.003,7.415,0.0,1.893,9.386,tensorrt,,{},False,8,False,007162.png,1788963760976868754,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
34,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,34,SMALL,7.935,0.1381,9.9,25.1,48.5,3.0,,55.062,,tegrastats,0.003,7.108,0.0,0.821,8.014,tensorrt,,{},False,3,True,007130.png,1788963760976868754,"{""VDD_CPU_CV"": 7.596, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
35,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,35,SMALL,7.75,0.1381,9.9,25.1,48.5,3.0,,55.062,,tegrastats,0.003,7.143,0.0,0.602,7.828,tensorrt,,{},False,2,False,006651.png,1788963761082317770,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
36,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,36,SMALL,7.372,0.1381,9.9,25.1,48.5,3.0,,55.062,,tegrastats,0.004,6.992,0.0,0.374,7.45,tensorrt,,{},False,1,False,006282.png,1788963761082317770,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
37,0,fixed_small,burst,0.0,process_isolated_burst_v2,11,37,SMALL,9.868,0.1381,9.9,25.1,48.5,3.0,,55.062,,tegrastats,0.004,7.091,0.0,2.771,9.945,tensorrt,,{},False,12,False,006034.png,1788963761082317770,"{""VDD_CPU_CV"": 6.397, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.233}"
