run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,idle,0.0,thread_steady_v1,0,,SMALL,52.42,0.4957,38.1,84.0,,,,,,none,0.003,44.538,7.43,0.442,750.877,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,idle,0.0,thread_steady_v1,0,,SMALL,19.269,0.2112,0.0,84.5,,,,,,none,0.011,18.289,0.534,0.436,19.297,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,idle,0.0,thread_steady_v1,0,,MEDIUM,121.212,0.2112,0.0,84.5,,,,,,none,0.083,119.592,0.895,0.718,121.304,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,threshold,idle,0.0,thread_steady_v1,0,,MEDIUM,101.716,0.2112,0.0,84.5,,,,,,none,0.002,100.52,0.564,0.625,101.726,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,threshold,idle,0.0,thread_steady_v1,0,,MEDIUM,100.502,0.2112,0.0,84.5,,,,,,none,0.002,99.16,0.649,0.686,100.514,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,predictive,idle,0.0,thread_steady_v1,0,,MEDIUM,134.882,0.2112,0.0,84.5,,,,,,none,0.286,131.704,2.388,0.767,135.197,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,predictive,idle,0.0,thread_steady_v1,0,,MEDIUM,101.864,0.211,0.0,84.4,,,,,,none,0.006,100.59,0.623,0.645,101.88,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,,,,,,,False
2,0,predictive,idle,0.0,thread_steady_v1,0,,MEDIUM,100.491,0.733,69.6,84.4,,,,,,none,0.003,99.188,0.594,0.702,100.503,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,predictive,idle,0.0,thread_steady_v1,0,,SMALL,21.213,0.8335,83.0,84.4,,,,,,none,0.072,20.063,0.694,0.448,21.293,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,predictive,idle,0.0,thread_steady_v1,0,,SMALL,18.911,0.8335,83.0,84.4,,,,,,none,0.003,18.18,0.443,0.281,18.924,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
