image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
005981.png,NANO,ultralytics,False,0,0,0,False,False,3,9
005982.png,NANO,ultralytics,False,0,0,2,True,False,5,11
005983.png,NANO,ultralytics,False,0,0,0,False,False,7,16
005984.png,NANO,ultralytics,False,0,1,1,True,True,1,12
005985.png,NANO,ultralytics,False,1,3,3,True,True,4,12
005986.png,NANO,ultralytics,False,0,0,0,False,False,4,7
005987.png,NANO,ultralytics,False,0,0,0,False,False,6,6
005988.png,NANO,ultralytics,False,4,0,12,True,True,6,19
005989.png,NANO,ultralytics,False,0,0,0,False,False,0,4
005990.png,NANO,ultralytics,False,0,0,0,False,False,1,2
005991.png,NANO,ultralytics,False,0,0,1,True,False,0,8
005992.png,NANO,ultralytics,False,0,0,0,False,False,2,5
005993.png,NANO,ultralytics,False,0,0,0,False,False,0,1
005994.png,NANO,ultralytics,False,2,1,1,True,True,4,5
005995.png,NANO,ultralytics,False,0,0,0,False,False,1,2
005996.png,NANO,ultralytics,False,0,0,0,False,False,10,12
005997.png,NANO,ultralytics,False,0,0,2,True,False,0,7
005998.png,NANO,ultralytics,False,0,0,0,False,False,2,5
005999.png,NANO,ultralytics,False,0,0,0,False,False,4,8
006000.png,NANO,ultralytics,False,0,0,0,False,False,3,5
006001.png,NANO,ultralytics,False,0,0,0,False,False,0,4
006002.png,NANO,ultralytics,False,0,0,0,False,False,3,6
006003.png,NANO,ultralytics,False,0,0,0,False,False,3,14
006004.png,NANO,ultralytics,False,0,0,0,False,False,3,6
006005.png,NANO,ultralytics,False,0,0,0,False,False,9,11
006006.png,NANO,ultralytics,False,1,1,9,True,True,2,13
006007.png,NANO,ultralytics,False,0,0,0,False,False,9,15
006008.png,NANO,ultralytics,False,0,0,0,False,False,4,8
006009.png,NANO,ultralytics,False,0,0,0,False,False,3,5
006010.png,NANO,ultralytics,False,0,1,1,True,True,2,4
006011.png,NANO,ultralytics,False,0,0,3,True,False,11,12
006012.png,NANO,ultralytics,False,0,0,0,False,False,0,5
006013.png,NANO,ultralytics,False,0,0,0,False,False,3,5
006014.png,NANO,ultralytics,False,0,0,0,False,False,3,5
006015.png,NANO,ultralytics,False,0,0,0,False,False,4,5
006016.png,NANO,ultralytics,False,0,0,1,True,False,7,11
006017.png,NANO,ultralytics,False,0,0,0,False,False,1,2
006018.png,NANO,ultralytics,False,0,0,0,False,False,6,8
006019.png,NANO,ultralytics,False,0,0,1,True,False,1,3
006020.png,NANO,ultralytics,False,0,0,0,False,False,1,5
006021.png,NANO,ultralytics,False,0,0,1,True,False,2,4
006022.png,NANO,ultralytics,False,0,0,0,False,False,3,3
006023.png,NANO,ultralytics,False,0,2,1,True,True,2,4
006024.png,NANO,ultralytics,False,1,0,2,True,True,3,6
006025.png,NANO,ultralytics,False,0,0,0,False,False,5,8
006026.png,NANO,ultralytics,False,0,0,2,True,False,4,10
006027.png,NANO,ultralytics,False,0,0,2,True,False,7,9
006028.png,NANO,ultralytics,False,0,0,0,False,False,2,2
006029.png,NANO,ultralytics,False,1,0,0,True,True,1,1
006030.png,NANO,ultralytics,False,0,0,0,False,False,0,5
006031.png,NANO,ultralytics,False,0,0,0,False,False,3,7
006032.png,NANO,ultralytics,False,0,0,0,False,False,3,3
006033.png,NANO,ultralytics,False,0,0,0,False,False,3,11
006034.png,NANO,ultralytics,False,0,0,1,True,False,13,18
006035.png,NANO,ultralytics,False,1,0,0,True,True,1,1
006036.png,NANO,ultralytics,False,0,0,0,False,False,5,6
006037.png,NANO,ultralytics,False,0,0,0,False,False,3,6
006038.png,NANO,ultralytics,False,0,0,0,False,False,0,6
006039.png,NANO,ultralytics,False,0,0,1,True,False,4,9
006040.png,NANO,ultralytics,False,0,0,0,False,False,5,6
006041.png,NANO,ultralytics,False,0,0,0,False,False,7,7
006042.png,NANO,ultralytics,False,0,0,0,False,False,1,5
006043.png,NANO,ultralytics,False,0,0,0,False,False,1,3
006044.png,NANO,ultralytics,False,0,0,0,False,False,3,5
006045.png,NANO,ultralytics,False,0,0,0,False,False,3,8
006046.png,NANO,ultralytics,False,0,0,0,False,False,0,12
006047.png,NANO,ultralytics,False,0,0,0,False,False,4,11
006048.png,NANO,ultralytics,False,0,0,0,False,False,3,8
006049.png,NANO,ultralytics,False,0,0,0,False,False,1,6
006050.png,NANO,ultralytics,False,0,0,0,False,False,7,9
006051.png,NANO,ultralytics,False,0,1,2,True,True,3,7
006052.png,NANO,ultralytics,False,0,0,1,True,False,11,11
006053.png,NANO,ultralytics,False,1,0,0,True,True,1,1
006054.png,NANO,ultralytics,False,0,0,0,False,False,7,9
006055.png,NANO,ultralytics,False,0,0,0,False,False,11,13
006056.png,NANO,ultralytics,False,0,0,0,False,False,2,4
006057.png,NANO,ultralytics,False,0,0,0,False,False,1,2
006058.png,NANO,ultralytics,False,0,0,0,False,False,1,5
006059.png,NANO,ultralytics,False,0,0,0,False,False,2,6
006060.png,NANO,ultralytics,False,0,0,0,False,False,8,12
006061.png,NANO,ultralytics,False,0,0,0,False,False,0,2
006062.png,NANO,ultralytics,False,0,0,1,True,False,3,4
006063.png,NANO,ultralytics,False,0,0,0,False,False,8,10
006064.png,NANO,ultralytics,False,0,0,0,False,False,8,16
006065.png,NANO,ultralytics,False,0,2,2,True,True,2,7
006066.png,NANO,ultralytics,False,0,0,0,False,False,8,10
006067.png,NANO,ultralytics,False,0,0,1,True,False,1,7
006068.png,NANO,ultralytics,False,1,0,0,True,True,5,6
006069.png,NANO,ultralytics,False,0,1,0,False,True,5,7
006070.png,NANO,ultralytics,False,2,0,5,True,True,2,11
006071.png,NANO,ultralytics,False,1,2,3,True,True,3,6
006072.png,NANO,ultralytics,False,0,0,0,False,False,0,6
006073.png,NANO,ultralytics,False,0,0,0,False,False,7,9
006074.png,NANO,ultralytics,False,0,0,0,False,False,2,6
006075.png,NANO,ultralytics,False,0,0,3,True,False,0,5
006076.png,NANO,ultralytics,False,1,0,0,True,True,2,2
006077.png,NANO,ultralytics,False,0,0,0,False,False,12,12
