run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,idle,0.0,thread_steady_v1,0,,MEDIUM,118.636,0.292,12.0,80.8,,,,,,none,0.062,111.679,5.999,0.949,778.766,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,5.460707,6.242589,7.02447,8.016,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
1,0,adaptive,idle,0.0,thread_steady_v1,0,,MEDIUM,96.412,0.3877,24.7,81.0,,,,,,none,0.005,95.188,0.593,0.625,96.429,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,0.860145,1.018288,1.176432,10.56,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
2,0,adaptive,idle,0.0,thread_steady_v1,0,,MEDIUM,109.178,0.5085,40.8,81.0,,,,,,none,8.117,107.816,0.586,0.768,117.308,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,1.329687,1.616505,1.903323,13.78,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
3,0,adaptive,idle,0.0,thread_steady_v1,0,,SMALL,32.572,0.5378,44.7,81.0,,,,,,none,0.152,31.796,0.469,0.296,32.736,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,0.390211,0.476633,0.563056,14.56,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
4,0,adaptive,idle,0.0,thread_steady_v1,0,,SMALL,20.377,0.7282,70.1,81.0,,,,,,none,0.066,19.472,0.455,0.443,20.458,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,0.321796,0.401785,0.481774,19.64,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
5,0,adaptive,idle,0.0,thread_steady_v1,0,,SMALL,19.744,0.7282,70.1,81.0,,,,,,none,0.055,19.09,0.311,0.334,19.811,onnx,CPUExecutionProvider,{},False,35,False,007031.png,,,,0.311626,0.389086,0.466547,19.64,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
6,0,adaptive,idle,0.0,thread_steady_v1,0,,SMALL,19.605,0.7282,70.1,81.0,,,,,,none,0.062,18.975,0.343,0.279,19.678,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.309527,0.386466,0.463405,19.64,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
7,0,adaptive,idle,0.0,thread_steady_v1,0,,NANO,11.499,0.7282,70.1,81.0,,,,,,none,0.124,10.661,0.505,0.326,11.634,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.183009,0.228499,0.27399,19.64,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
8,0,adaptive,idle,0.0,thread_steady_v1,0,,SMALL,21.518,0.5813,50.5,81.0,,,,,,none,0.189,20.126,0.908,0.474,21.718,onnx,CPUExecutionProvider,{},False,43,False,006781.png,,,,0.277776,0.34141,0.405045,15.72,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
9,0,adaptive,idle,0.0,thread_steady_v1,0,,SMALL,17.828,0.5813,50.5,81.0,,,,,,none,0.053,17.129,0.419,0.274,17.89,onnx,CPUExecutionProvider,{},False,11,False,006840.png,,,,0.228807,0.281224,0.33364,15.72,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
