run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,moderate,0.5,thread_steady_v1,2,,SMALL,36.718,0.7785,75.7,84.3,,,,,,none,0.006,27.156,9.139,0.404,706.875,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,moderate,0.5,thread_steady_v1,2,,SMALL,18.534,0.719,67.9,83.9,,,,,,none,0.004,17.626,0.534,0.368,18.549,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,moderate,0.5,thread_steady_v1,2,,SMALL,18.556,0.7525,72.3,84.1,,,,,,none,0.002,17.872,0.335,0.343,18.569,onnx,CPUExecutionProvider,{},False,45,False,006587.png,,,,,,,,,,False
3,0,threshold,moderate,0.5,thread_steady_v1,2,,SMALL,18.144,0.7525,72.3,84.1,,,,,,none,0.001,17.583,0.283,0.274,18.154,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,moderate,0.5,thread_steady_v1,2,,SMALL,19.642,0.7525,72.3,84.1,,,,,,none,0.001,18.617,0.313,0.707,19.657,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,moderate,0.5,thread_steady_v1,2,,NANO,24.152,0.7825,76.2,84.4,,,,,,none,0.266,22.244,1.228,0.659,24.447,onnx,CPUExecutionProvider,{},False,3,True,006201.png,,,,,,,,,,False
1,0,predictive,moderate,0.5,thread_steady_v1,2,,NANO,11.231,0.7365,70.0,84.6,,,,,,none,0.015,9.319,1.35,0.546,11.277,onnx,CPUExecutionProvider,{},False,10,False,007377.png,,,,,,,,,,False
2,0,predictive,moderate,0.5,thread_steady_v1,2,,NANO,7.88,0.7365,70.0,84.6,,,,,,none,0.007,6.857,0.339,0.673,7.908,onnx,CPUExecutionProvider,{},False,24,False,006587.png,,,,,,,,,,False
3,0,predictive,moderate,0.5,thread_steady_v1,2,,NANO,5.776,0.7365,70.0,84.6,,,,,,none,0.003,5.271,0.303,0.196,5.794,onnx,CPUExecutionProvider,{},False,5,False,006905.png,,,,,,,,,,False
4,0,predictive,moderate,0.5,thread_steady_v1,2,,NANO,5.275,0.7365,70.0,84.6,,,,,,none,0.003,4.826,0.268,0.174,5.291,onnx,CPUExecutionProvider,{},False,4,False,007244.png,,,,,,,,,,False
0,0,safety,moderate,0.5,thread_steady_v1,2,,SMALL,47.301,0.7037,65.9,83.8,,,,,,none,0.021,43.841,2.894,0.537,47.355,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,moderate,0.5,thread_steady_v1,2,,SMALL,22.202,0.685,63.4,83.8,,,,,,none,0.005,21.132,0.642,0.418,22.218,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,moderate,0.5,thread_steady_v1,2,,SMALL,19.203,0.685,63.4,83.8,,,,,,none,0.003,18.523,0.323,0.349,19.217,onnx,CPUExecutionProvider,{},False,45,False,006587.png,,,,,,,,,,False
3,0,safety,moderate,0.5,thread_steady_v1,2,,SMALL,19.739,0.685,63.4,83.8,,,,,,none,0.003,19.125,0.316,0.291,19.753,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,safety,moderate,0.5,thread_steady_v1,2,,SMALL,19.01,0.685,63.4,83.8,,,,,,none,0.003,18.368,0.349,0.288,19.023,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,51.778,0.6648,60.5,84.4,,,,,,none,0.069,48.04,2.234,1.44,51.917,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
