run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,heavy,0.75,thread_steady_v1,3,,SMALL,21.784,0.2055,0.0,82.2,,,,,,none,0.003,20.122,1.147,0.506,716.119,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,heavy,0.75,thread_steady_v1,3,,SMALL,18.827,0.646,59.4,80.2,,,,,,none,0.005,17.806,0.603,0.413,18.843,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,heavy,0.75,thread_steady_v1,3,,SMALL,18.711,0.646,59.4,80.2,,,,,,none,0.002,17.871,0.394,0.44,18.722,onnx,CPUExecutionProvider,{},False,45,False,006587.png,,,,,,,,,,False
3,0,threshold,heavy,0.75,thread_steady_v1,3,,SMALL,18.21,0.646,59.4,80.2,,,,,,none,0.001,17.513,0.421,0.273,18.219,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,heavy,0.75,thread_steady_v1,3,,SMALL,18.858,0.646,59.4,80.2,,,,,,none,0.001,18.108,0.401,0.344,18.867,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,heavy,0.75,thread_steady_v1,3,,MEDIUM,109.742,0.202,0.0,80.8,,,,,,none,0.169,108.002,0.76,0.97,109.928,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,predictive,heavy,0.75,thread_steady_v1,3,,MEDIUM,103.724,0.202,0.0,80.8,,,,,,none,0.005,102.224,0.68,0.812,103.739,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,,,,,,,False
2,0,predictive,heavy,0.75,thread_steady_v1,3,,MEDIUM,105.419,0.2018,0.0,80.7,,,,,,none,0.004,103.965,0.727,0.719,105.434,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,predictive,heavy,0.75,thread_steady_v1,3,,MEDIUM,105.689,0.2018,0.0,80.7,,,,,,none,0.003,104.249,0.703,0.73,105.701,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,predictive,heavy,0.75,thread_steady_v1,3,,MEDIUM,115.803,0.2018,0.0,80.7,,,,,,none,0.002,113.584,0.684,1.529,115.822,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,safety,heavy,0.75,thread_steady_v1,3,,SMALL,21.664,0.4273,30.1,80.6,,,,,,none,0.02,20.641,0.563,0.421,21.717,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,heavy,0.75,thread_steady_v1,3,,SMALL,18.171,0.4273,30.1,80.6,,,,,,none,0.006,17.378,0.398,0.39,18.186,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,heavy,0.75,thread_steady_v1,3,,MEDIUM,107.088,0.4273,30.1,80.6,,,,,,none,0.24,105.335,0.886,0.858,107.342,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
