label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy,frame_name,block
FIXED_SMALL,heavy,934.6129579935223,0.1977,SMALL,9,True,False,0.448,006201.png,0
FIXED_SMALL,heavy,18.98558298125863,0.199,SMALL,18,True,False,0.448,007377.png,0
FIXED_SMALL,heavy,18.51341698784381,0.199,SMALL,45,False,False,0.448,006587.png,0
FIXED_SMALL,heavy,18.68295797612518,0.199,SMALL,12,False,False,0.448,006905.png,0
FIXED_SMALL,heavy,18.530708039179444,0.199,SMALL,5,False,False,0.448,007244.png,0
FIXED_SMALL,heavy,18.732499971520156,0.199,SMALL,35,False,False,0.448,007031.png,0
FIXED_SMALL,heavy,18.82645901059732,0.199,SMALL,9,False,False,0.448,006369.png,0
FIXED_SMALL,heavy,18.711416982114315,0.199,SMALL,0,False,False,0.448,006254.png,0
FIXED_SMALL,heavy,18.96058296551928,0.199,SMALL,43,False,False,0.448,006781.png,0
FIXED_SMALL,heavy,19.019333994947374,0.199,SMALL,11,False,False,0.448,006840.png,0
FIXED_SMALL,heavy,19.285458023659885,0.199,SMALL,9,False,False,0.448,007416.png,0
FIXED_SMALL,heavy,19.18808399932459,0.199,SMALL,57,True,False,0.448,007420.png,0
FIXED_SMALL,heavy,19.368707959074527,0.199,SMALL,45,False,False,0.448,007182.png,0
FIXED_SMALL,heavy,18.931958999019116,0.4945,SMALL,3,False,False,0.448,007443.png,0
FIXED_SMALL,heavy,19.911166978999972,0.4945,SMALL,11,True,False,0.448,006164.png,0
FIXED_SMALL,heavy,20.55524999741465,0.4945,SMALL,28,False,False,0.448,007087.png,0
FIXED_SMALL,heavy,20.608165999874473,0.4945,SMALL,21,False,False,0.448,006681.png,0
FIXED_SMALL,heavy,21.078667021356523,0.6647,SMALL,42,False,False,0.448,006319.png,0
FIXED_SMALL,heavy,21.471957967150956,0.6647,SMALL,14,False,False,0.448,007392.png,0
FIXED_SMALL,heavy,21.778541966341436,0.6647,SMALL,0,False,False,0.448,006148.png,0
FIXED_SMALL,heavy,21.961834048852324,0.6647,SMALL,0,False,False,0.448,006447.png,0
FIXED_SMALL,heavy,21.932707983069122,0.6963,SMALL,13,True,False,0.448,006857.png,0
FIXED_SMALL,heavy,23.677916964516044,0.6963,SMALL,45,False,False,0.448,006127.png,0
FIXED_SMALL,heavy,23.261375026777387,0.6963,SMALL,8,False,False,0.448,006831.png,0
FIXED_SMALL,heavy,23.736124974675477,0.6565,SMALL,1,False,False,0.448,006461.png,0
FIXED_SMALL,heavy,23.09354196768254,0.6565,SMALL,10,False,False,0.448,007415.png,0
FIXED_SMALL,heavy,23.025917005725205,0.6565,SMALL,28,False,False,0.448,006154.png,0
FIXED_SMALL,heavy,22.843291983008385,0.5927,SMALL,10,False,False,0.448,007336.png,0
FIXED_SMALL,heavy,23.003874986898154,0.5927,SMALL,0,False,False,0.448,006621.png,0
FIXED_SMALL,heavy,23.4905420220457,0.5927,SMALL,38,True,False,0.448,006478.png,0
FIXED_SMALL,heavy,24.795417033601552,0.613,SMALL,12,False,False,0.448,006352.png,0
FIXED_SMALL,heavy,24.88429198274389,0.613,SMALL,22,False,False,0.448,007230.png,0
FIXED_SMALL,heavy,25.25249996688217,0.613,SMALL,0,False,False,0.448,007113.png,0
FIXED_SMALL,heavy,24.64570797747001,0.6663,SMALL,37,False,False,0.448,007162.png,0
FIXED_SMALL,heavy,25.300041015725583,0.6663,SMALL,23,True,False,0.448,007130.png,0
FIXED_SMALL,heavy,24.28262500325218,0.6663,SMALL,11,False,False,0.448,006651.png,0
FIXED_SMALL,heavy,25.430790963582695,0.706,SMALL,0,False,False,0.448,006282.png,0
FIXED_SMALL,heavy,27.33329200418666,0.706,SMALL,71,False,False,0.448,006034.png,0
FIXED_SMALL,heavy,29.201833007391542,0.706,SMALL,49,True,False,0.448,006519.png,0
FIXED_SMALL,heavy,27.466833009384573,0.7652,SMALL,11,False,False,0.448,007441.png,0
FIXED_SMALL,heavy,26.69191698078066,0.7652,SMALL,36,False,False,0.448,006438.png,0
FIXED_SMALL,heavy,27.074749988969415,0.7652,SMALL,0,False,False,0.448,007456.png,0
FIXED_SMALL,heavy,27.256583038251847,0.199,SMALL,44,False,False,0.448,006904.png,0
FIXED_SMALL,heavy,27.617165993433446,0.199,SMALL,13,False,False,0.448,007445.png,0
FIXED_SMALL,heavy,27.691999974194914,0.754,SMALL,69,False,False,0.448,006746.png,0
FIXED_SMALL,heavy,27.493458008393645,0.754,SMALL,80,False,False,0.448,007151.png,0
FIXED_SMALL,heavy,28.880624973680824,0.754,SMALL,6,False,False,0.448,006946.png,0
FIXED_SMALL,heavy,29.4796249945648,0.7883,SMALL,5,True,False,0.448,006617.png,0
FIXED_SMALL,heavy,31.16937499726191,0.7883,SMALL,11,True,False,0.448,006434.png,0
FIXED_SMALL,heavy,32.06112497719005,0.813,SMALL,13,False,False,0.448,007063.png,0
FIXED_SMALL,heavy,36.08529199846089,0.813,SMALL,15,False,False,0.448,006080.png,0
FIXED_SMALL,heavy,32.82595798373222,0.813,SMALL,2,False,False,0.448,006280.png,0
FIXED_SMALL,heavy,29.02358304709196,0.8038,SMALL,12,False,False,0.448,006829.png,0
FIXED_SMALL,heavy,29.26224999828264,0.8038,SMALL,31,True,False,0.448,006122.png,0
FIXED_SMALL,heavy,30.712832987774163,0.6985,SMALL,20,True,False,0.448,007161.png,0
FIXED_SMALL,heavy,28.784167021512985,0.6985,SMALL,19,True,False,0.448,006363.png,0
FIXED_SMALL,heavy,29.01525003835559,0.6985,SMALL,13,False,False,0.448,007405.png,0
FIXED_SMALL,heavy,29.227999970316887,0.652,SMALL,8,False,False,0.448,007158.png,0
FIXED_SMALL,heavy,29.45016697049141,0.652,SMALL,56,False,False,0.448,007200.png,0
FIXED_SMALL,heavy,30.538709019310772,0.2007,SMALL,1,False,False,0.448,006533.png,0
FIXED_SMALL,heavy,30.891874979715794,0.2007,SMALL,9,False,False,0.448,006484.png,0
FIXED_SMALL,heavy,32.098083989694715,0.2007,SMALL,24,False,False,0.448,006891.png,0
FIXED_SMALL,heavy,31.78349998779595,0.2007,SMALL,1,False,False,0.448,006270.png,0
FIXED_SMALL,heavy,29.023249982856214,0.2007,SMALL,23,False,False,0.448,006413.png,0
FIXED_SMALL,heavy,30.299375008326024,0.2007,SMALL,2,False,False,0.448,006874.png,0
FIXED_SMALL,heavy,29.89966596942395,0.2007,SMALL,41,False,False,0.448,006368.png,0
FIXED_SMALL,heavy,29.845750017557293,0.2007,SMALL,9,False,False,0.448,007358.png,0
FIXED_SMALL,heavy,29.60262499982491,0.2007,SMALL,49,True,False,0.448,006475.png,0
FIXED_SMALL,heavy,29.86754197627306,0.2007,SMALL,0,False,False,0.448,006417.png,0
FIXED_SMALL,heavy,31.30362502997741,0.7475,SMALL,28,False,False,0.448,006778.png,0
FIXED_SMALL,heavy,33.196625008713454,0.7475,SMALL,3,False,False,0.448,007082.png,0
FIXED_SMALL,heavy,32.35870797652751,0.785,SMALL,0,False,False,0.448,006712.png,0
FIXED_SMALL,heavy,31.510042026638985,0.785,SMALL,0,False,False,0.448,006213.png,0
FIXED_SMALL,heavy,29.177666001487523,0.7332,SMALL,10,False,False,0.448,006675.png,0
FIXED_SMALL,heavy,32.105542020872235,0.7332,SMALL,47,False,False,0.448,007411.png,0
FIXED_SMALL,heavy,31.62341599818319,0.7332,SMALL,0,False,False,0.448,006249.png,0
FIXED_SMALL,heavy,32.02670899918303,0.716,SMALL,22,True,False,0.448,006221.png,0
FIXED_SMALL,heavy,31.34904196485877,0.716,SMALL,0,False,False,0.448,006386.png,0
FIXED_SMALL,heavy,29.136625002138317,0.1998,SMALL,0,False,False,0.448,006566.png,0
FIXED_SMALL,heavy,32.68083301372826,0.1998,SMALL,2,True,False,0.448,006500.png,0
FIXED_SMALL,heavy,32.10445796139538,0.1998,SMALL,12,False,False,0.448,007229.png,0
FIXED_SMALL,heavy,33.58483297051862,0.2,SMALL,81,False,False,0.448,007099.png,0
FIXED_SMALL,heavy,33.86441699694842,0.2,SMALL,36,True,False,0.448,006800.png,0
FIXED_SMALL,heavy,33.198250050190836,0.1998,SMALL,40,False,False,0.448,007005.png,0
FIXED_SMALL,heavy,33.85758399963379,0.1998,SMALL,28,False,False,0.448,006322.png,0
FIXED_SMALL,heavy,34.16174999438226,0.2,SMALL,51,False,False,0.448,006520.png,0
FIXED_SMALL,heavy,33.788957982324064,0.2,SMALL,8,False,False,0.448,006094.png,0
FIXED_SMALL,heavy,33.24679099023342,0.2,SMALL,0,False,False,0.448,006643.png,0
FIXED_SMALL,heavy,30.662207980640233,0.2,SMALL,32,True,False,0.448,007410.png,0
FIXED_SMALL,heavy,31.22649999568239,0.2,SMALL,9,False,False,0.448,006074.png,0
FIXED_SMALL,heavy,29.9127500038594,0.2,SMALL,0,False,False,0.448,006162.png,0
FIXED_SMALL,heavy,29.76479200879112,0.2,SMALL,8,False,False,0.448,006123.png,0
FIXED_SMALL,heavy,31.681500026024878,0.7167,SMALL,39,True,False,0.448,007136.png,0
FIXED_SMALL,heavy,37.85475000040606,0.7167,SMALL,1,False,False,0.448,006311.png,0
FIXED_SMALL,heavy,35.74875002959743,0.8217,SMALL,48,True,False,0.448,006423.png,0
FIXED_SMALL,heavy,33.533375011757016,0.8217,SMALL,0,False,False,0.448,006165.png,0
FIXED_SMALL,heavy,32.808125019073486,0.8488,SMALL,81,False,False,0.448,007325.png,0
FIXED_SMALL,heavy,31.97220800211653,0.8488,SMALL,70,True,False,0.448,006639.png,0
FIXED_SMALL,heavy,30.92983301030472,0.8488,SMALL,37,True,False,0.448,006552.png,0
