run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,123.326,0.359,21.4,79.4,,,,,,none,0.058,111.959,8.786,2.568,881.788,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,7.407899,8.701481,9.995064,9.868,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
1,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,100.564,0.5645,48.6,80.0,,,,,,none,0.006,99.1,0.667,0.789,100.582,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,1.256275,1.540923,1.825572,15.32,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
2,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,102.795,0.2,0.0,80.0,,,,,,none,8.742,101.32,0.617,0.853,111.549,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,0.580052,0.624672,0.669291,5.6,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
3,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,101.86,0.2,0.0,80.0,,,,,,none,0.053,100.625,0.564,0.664,101.922,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,0.529992,0.570761,0.611529,5.6,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
4,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,101.477,0.2,0.0,80.0,,,,,,none,0.043,100.096,0.615,0.761,101.528,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,0.527944,0.568555,0.609166,5.6,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
5,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,102.52,0.1993,0.0,79.7,,,,,,none,0.05,101.24,0.628,0.646,102.579,onnx,CPUExecutionProvider,{},False,45,False,007031.png,,,,0.532947,0.573825,0.614703,5.594,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
6,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,106.766,0.1995,0.0,79.8,,,,,,none,0.059,105.346,0.574,0.838,106.836,onnx,CPUExecutionProvider,{},False,35,True,006369.png,,,,0.555228,0.597856,0.640484,5.596,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
7,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,23.911,0.6435,59.2,79.8,,,,,,none,0.129,22.909,0.674,0.321,24.053,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.338596,0.419391,0.500186,17.436,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
8,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,20.721,0.6435,59.2,79.8,,,,,,none,0.053,19.708,0.552,0.454,20.783,onnx,CPUExecutionProvider,{},False,43,False,006781.png,,,,0.292563,0.362373,0.432183,17.436,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
9,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,20.201,0.6435,59.2,79.8,,,,,,none,0.048,19.568,0.305,0.322,20.259,onnx,CPUExecutionProvider,{},False,11,False,006840.png,,,,0.28518,0.353229,0.421277,17.436,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
