label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,moderate,69.1693999688141,0.4574,SMALL,0,False,False,0.448
threshold,moderate,57.728599989786744,0.5455,SMALL,0,False,False,0.448
threshold,moderate,48.01869997754693,0.4995,SMALL,0,False,False,0.448
threshold,moderate,62.00829998124391,0.5614,SMALL,0,False,False,0.448
threshold,moderate,69.79969999520108,0.5717,SMALL,0,False,False,0.448
threshold,moderate,56.248200009576976,0.5534,SMALL,0,False,False,0.448
threshold,moderate,55.71720004081726,0.5375,SMALL,0,False,False,0.448
threshold,moderate,64.02930000331253,0.4435,SMALL,0,False,False,0.448
threshold,moderate,58.74160001985729,0.4866,SMALL,0,False,False,0.448
threshold,moderate,70.4564000479877,0.5135,SMALL,0,False,False,0.448
threshold,moderate,60.745000024326146,0.4977,SMALL,0,False,False,0.448
threshold,moderate,69.091200013645,0.5099,SMALL,0,False,False,0.448
threshold,moderate,73.50769999902695,0.5239,SMALL,0,False,False,0.448
threshold,moderate,73.42179998522624,0.5073,SMALL,0,False,False,0.448
threshold,moderate,51.99950002133846,0.4768,SMALL,0,False,False,0.448
threshold,moderate,78.74279998941347,0.5507,SMALL,0,False,False,0.448
threshold,moderate,77.08149997051805,0.4805,SMALL,0,False,False,0.448
threshold,moderate,77.71979999961331,0.5174,SMALL,0,False,False,0.448
threshold,moderate,76.71809999737889,0.4696,SMALL,0,False,False,0.448
threshold,moderate,77.34540000092238,0.5161,SMALL,0,False,False,0.448
threshold,moderate,76.87970000552014,0.4926,SMALL,0,False,False,0.448
threshold,moderate,76.41829998465255,0.4927,SMALL,0,False,False,0.448
threshold,moderate,455.0820999429561,0.5015,MEDIUM,0,False,True,0.503
threshold,moderate,420.3696000040509,0.5327,MEDIUM,0,False,False,0.503
threshold,moderate,451.68449997436255,0.5773,MEDIUM,0,False,False,0.503
threshold,moderate,59.05069998698309,0.5136,SMALL,0,False,True,0.448
threshold,moderate,86.4832999650389,0.5272,SMALL,0,False,False,0.448
threshold,moderate,75.43909997912124,0.5384,SMALL,0,False,False,0.448
threshold,moderate,81.64419996319339,0.4944,SMALL,0,False,False,0.448
threshold,moderate,74.82509996043518,0.4764,SMALL,0,False,False,0.448
threshold,moderate,77.96569995116442,0.5271,SMALL,0,False,False,0.448
threshold,moderate,78.03179998882115,0.5111,SMALL,0,False,False,0.448
threshold,moderate,79.57649999298155,0.524,SMALL,0,False,False,0.448
threshold,moderate,77.50819995999336,0.533,SMALL,0,False,False,0.448
threshold,moderate,74.42079996690154,0.5126,SMALL,0,False,False,0.448
threshold,moderate,77.01649999944493,0.5361,SMALL,0,False,False,0.448
threshold,moderate,76.59930002409965,0.5262,SMALL,0,False,False,0.448
threshold,moderate,76.09769998816773,0.4999,SMALL,0,False,False,0.448
threshold,moderate,74.08199994824827,0.5435,SMALL,0,False,False,0.448
threshold,moderate,79.15009994758293,0.4704,SMALL,0,False,False,0.448
