run_idx,policy,load_profile,load_intensity,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,backend,simulated,n_detections,vru_detected,frame
0,threshold,idle,0.0,SMALL,307.053,0.5597,58.3,49.0,,onnx,False,14,True,005981.png
1,threshold,idle,0.0,SMALL,156.8,0.8728,100.0,49.1,,onnx,False,23,False,005982.png
2,threshold,idle,0.0,NANO,59.525,0.873,100.0,49.2,,onnx,False,17,False,005983.png
3,threshold,idle,0.0,NANO,30.366,0.873,100.0,49.2,,onnx,False,0,False,005984.png
4,threshold,idle,0.0,NANO,34.345,0.873,100.0,49.2,,onnx,False,0,False,005985.png
5,threshold,idle,0.0,NANO,37.051,0.8732,100.0,49.3,,onnx,False,8,False,005986.png
6,threshold,idle,0.0,NANO,26.604,0.8728,100.0,49.1,,onnx,False,10,False,005987.png
7,threshold,idle,0.0,NANO,29.271,0.8728,100.0,49.1,,onnx,False,0,False,005988.png
8,threshold,idle,0.0,NANO,25.471,0.8725,100.0,49.0,,onnx,False,0,False,005989.png
9,threshold,idle,0.0,NANO,32.354,0.8725,100.0,49.0,,onnx,False,2,False,005990.png
10,threshold,idle,0.0,NANO,34.715,0.8728,100.0,49.1,,onnx,False,0,False,005991.png
11,threshold,idle,0.0,NANO,34.946,0.8728,100.0,49.1,,onnx,False,13,True,005992.png
12,threshold,idle,0.0,NANO,25.958,0.8728,100.0,49.1,,onnx,False,0,False,005993.png
13,threshold,idle,0.0,NANO,38.507,0.8728,100.0,49.1,,onnx,False,8,False,005994.png
14,threshold,idle,0.0,NANO,24.415,0.8728,100.0,49.1,,onnx,False,2,True,005995.png
15,threshold,idle,0.0,NANO,24.976,0.8728,100.0,49.1,,onnx,False,40,False,005996.png
16,threshold,idle,0.0,NANO,36.563,0.8728,100.0,49.1,,onnx,False,1,True,005997.png
17,threshold,idle,0.0,NANO,32.923,0.8728,100.0,49.1,,onnx,False,3,False,005998.png
18,threshold,idle,0.0,NANO,72.121,0.8725,100.0,49.0,,onnx,False,16,False,005999.png
19,threshold,idle,0.0,NANO,96.235,0.8725,100.0,49.0,,onnx,False,0,False,006000.png
20,threshold,idle,0.0,NANO,26.557,0.8725,100.0,49.0,,onnx,False,0,False,006001.png
21,threshold,idle,0.0,NANO,22.619,0.8725,100.0,49.0,,onnx,False,0,False,006002.png
22,threshold,idle,0.0,NANO,20.222,0.8725,100.0,49.0,,onnx,False,17,False,006003.png
23,threshold,idle,0.0,NANO,24.418,0.8725,100.0,49.0,,onnx,False,11,False,006004.png
24,threshold,idle,0.0,NANO,23.975,0.8725,100.0,49.0,,onnx,False,25,False,006005.png
25,threshold,idle,0.0,NANO,24.803,0.8725,100.0,49.0,,onnx,False,0,False,006006.png
26,threshold,idle,0.0,NANO,24.574,0.8725,100.0,49.0,,onnx,False,7,False,006007.png
27,threshold,idle,0.0,NANO,25.587,0.8725,100.0,49.0,,onnx,False,14,False,006008.png
28,threshold,idle,0.0,NANO,27.656,0.8725,100.0,49.0,,onnx,False,10,False,006009.png
29,threshold,idle,0.0,NANO,27.519,0.8725,100.0,49.0,,onnx,False,1,False,006010.png
30,threshold,idle,0.0,NANO,25.878,0.8728,100.0,49.1,,onnx,False,38,False,006011.png
31,threshold,idle,0.0,NANO,24.2,0.8728,100.0,49.1,,onnx,False,8,False,006012.png
32,threshold,idle,0.0,NANO,23.116,0.8728,100.0,49.1,,onnx,False,20,True,006013.png
33,threshold,idle,0.0,NANO,25.309,0.8728,100.0,49.1,,onnx,False,19,False,006014.png
34,threshold,idle,0.0,NANO,28.625,0.8728,100.0,49.1,,onnx,False,5,False,006015.png
35,threshold,idle,0.0,NANO,28.247,0.8728,100.0,49.1,,onnx,False,14,False,006016.png
36,threshold,idle,0.0,NANO,24.783,0.8728,100.0,49.1,,onnx,False,3,False,006017.png
37,threshold,idle,0.0,NANO,24.499,0.8728,100.0,49.1,,onnx,False,13,False,006018.png
38,threshold,idle,0.0,NANO,22.574,0.8728,100.0,49.1,,onnx,False,0,False,006019.png
39,threshold,idle,0.0,NANO,22.055,0.8728,100.0,49.1,,onnx,False,10,False,006020.png
40,threshold,idle,0.0,NANO,24.237,0.8728,100.0,49.1,,onnx,False,9,False,006021.png
41,threshold,idle,0.0,NANO,21.31,0.8728,100.0,49.1,,onnx,False,18,False,006022.png
42,threshold,idle,0.0,NANO,62.522,0.8728,100.0,49.1,,onnx,False,4,True,006023.png
43,threshold,idle,0.0,NANO,174.955,0.873,100.0,49.2,,onnx,False,10,False,006024.png
44,threshold,idle,0.0,NANO,66.32,0.8725,100.0,49.0,,onnx,False,17,False,006025.png
45,threshold,idle,0.0,NANO,29.135,0.8725,100.0,49.0,,onnx,False,16,False,006026.png
46,threshold,idle,0.0,NANO,33.223,0.8725,100.0,49.0,,onnx,False,10,False,006027.png
