label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,moderate,30.847199959680438,0.3878,SMALL,0,False,False,0.448
threshold,moderate,38.371399976313114,0.4698,SMALL,0,False,False,0.448
threshold,moderate,32.68709999974817,0.5259,SMALL,0,False,False,0.448
threshold,moderate,34.18820002116263,0.569,SMALL,0,False,False,0.448
threshold,moderate,32.82840002793819,0.4968,SMALL,0,False,False,0.448
threshold,moderate,32.61410002596676,0.5125,SMALL,0,False,False,0.448
threshold,moderate,33.51059998385608,0.524,SMALL,0,False,False,0.448
threshold,moderate,34.83879996929318,0.5083,SMALL,0,False,False,0.448
threshold,moderate,37.30979998363182,0.5145,SMALL,0,False,False,0.448
threshold,moderate,36.031800031196326,0.5228,SMALL,0,False,False,0.448
threshold,moderate,32.676000031642616,0.5176,SMALL,0,False,False,0.448
threshold,moderate,31.742500024847686,0.5174,SMALL,0,False,False,0.448
threshold,moderate,31.925000017508864,0.5456,SMALL,0,False,False,0.448
threshold,moderate,35.022899974137545,0.5131,SMALL,0,False,False,0.448
threshold,moderate,31.738100049551576,0.5931,SMALL,0,False,False,0.448
threshold,moderate,31.937899999320507,0.4638,SMALL,0,False,False,0.448
threshold,moderate,31.57780005130917,0.4906,SMALL,0,False,False,0.448
threshold,moderate,31.731800001580268,0.4921,SMALL,0,False,False,0.448
threshold,moderate,32.50179998576641,0.5577,SMALL,0,False,False,0.448
threshold,moderate,31.576299981679767,0.5041,SMALL,0,False,False,0.448
threshold,moderate,31.72410000115633,0.5114,SMALL,0,False,False,0.448
threshold,moderate,32.70979999797419,0.5022,SMALL,0,False,False,0.448
threshold,moderate,32.421400013845414,0.5618,SMALL,0,False,False,0.448
threshold,moderate,32.27570001035929,0.4847,SMALL,0,False,False,0.448
threshold,moderate,32.05749997869134,0.585,SMALL,0,False,False,0.448
threshold,moderate,32.15090004960075,0.566,SMALL,0,False,False,0.448
threshold,moderate,9.594100003596395,0.5519,NANO,0,False,True,0.372
threshold,moderate,8.145199972204864,0.493,NANO,0,False,False,0.372
threshold,moderate,8.1219999701716,0.4877,NANO,0,False,False,0.372
threshold,moderate,33.07380003388971,0.4671,SMALL,0,False,True,0.448
threshold,moderate,33.78189995419234,0.4968,SMALL,0,False,False,0.448
threshold,moderate,35.23580002365634,0.5102,SMALL,0,False,False,0.448
threshold,moderate,33.98379997815937,0.5418,SMALL,0,False,False,0.448
threshold,moderate,34.36150000197813,0.504,SMALL,0,False,False,0.448
threshold,moderate,34.12979998392984,0.5088,SMALL,0,False,False,0.448
threshold,moderate,34.699999960139394,0.5625,SMALL,0,False,False,0.448
threshold,moderate,33.58099999604747,0.5305,SMALL,0,False,False,0.448
threshold,moderate,34.771099977660924,0.5658,SMALL,0,False,False,0.448
threshold,moderate,35.52440000930801,0.5417,SMALL,0,False,False,0.448
threshold,moderate,34.67699995962903,0.501,SMALL,0,False,False,0.448
threshold,moderate,34.0738000231795,0.5243,SMALL,0,False,False,0.448
threshold,moderate,34.27229996304959,0.51,SMALL,0,False,False,0.448
threshold,moderate,34.09610001835972,0.5679,SMALL,0,False,False,0.448
threshold,moderate,33.351699996273965,0.504,SMALL,0,False,False,0.448
threshold,moderate,32.571100047789514,0.5512,SMALL,0,False,False,0.448
threshold,moderate,32.881999970413744,0.528,SMALL,0,False,False,0.448
threshold,moderate,31.548900005873293,0.5038,SMALL,0,False,False,0.448
threshold,moderate,33.36880001006648,0.5352,SMALL,0,False,False,0.448
threshold,moderate,34.18059996329248,0.5151,SMALL,0,False,False,0.448
threshold,moderate,32.375100010540336,0.514,SMALL,0,False,False,0.448
threshold,moderate,31.679000006988645,0.4873,SMALL,0,False,False,0.448
threshold,moderate,33.05169998202473,0.5095,SMALL,0,False,False,0.448
threshold,moderate,35.02049995586276,0.51,SMALL,0,False,False,0.448
threshold,moderate,36.7287999833934,0.512,SMALL,0,False,False,0.448
threshold,moderate,34.535599988885224,0.4852,SMALL,0,False,False,0.448
threshold,moderate,34.2588999774307,0.5207,SMALL,0,False,False,0.448
threshold,moderate,35.44410003814846,0.5018,SMALL,0,False,False,0.448
threshold,moderate,32.34680002788082,0.461,SMALL,0,False,False,0.448
threshold,moderate,34.94829998817295,0.5169,SMALL,0,False,False,0.448
threshold,moderate,34.15300004417077,0.48,SMALL,0,False,False,0.448
threshold,moderate,39.06720003578812,0.5205,SMALL,0,False,False,0.448
threshold,moderate,41.79350001504645,0.4958,SMALL,0,False,False,0.448
threshold,moderate,35.304399963933975,0.5297,SMALL,0,False,False,0.448
threshold,moderate,34.418300027027726,0.5383,SMALL,0,False,False,0.448
threshold,moderate,33.30910002114251,0.5871,SMALL,0,False,False,0.448
threshold,moderate,34.655600029509515,0.5013,SMALL,0,False,False,0.448
threshold,moderate,43.83719997713342,0.5458,SMALL,0,False,False,0.448
threshold,moderate,33.036199980415404,0.5119,SMALL,0,False,False,0.448
threshold,moderate,31.898200046271086,0.593,SMALL,0,False,False,0.448
threshold,moderate,32.73440001066774,0.532,SMALL,0,False,False,0.448
threshold,moderate,33.85759994853288,0.5089,SMALL,0,False,False,0.448
threshold,moderate,31.927399977575988,0.4794,SMALL,0,False,False,0.448
threshold,moderate,31.11949999583885,0.5447,SMALL,0,False,False,0.448
threshold,moderate,32.30469999834895,0.4803,SMALL,0,False,False,0.448
threshold,moderate,34.19130004476756,0.5547,SMALL,0,False,False,0.448
threshold,moderate,31.248899991624057,0.5811,SMALL,0,False,False,0.448
threshold,moderate,34.00669997790828,0.5091,SMALL,0,False,False,0.448
threshold,moderate,31.36259998427704,0.4808,SMALL,0,False,False,0.448
threshold,moderate,34.54120003152639,0.5291,SMALL,0,False,False,0.448
threshold,moderate,30.707199999596924,0.544,SMALL,0,False,False,0.448
threshold,moderate,30.982500000391155,0.5164,SMALL,0,False,False,0.448
threshold,moderate,32.43379999184981,0.5179,SMALL,0,False,False,0.448
threshold,moderate,32.61699998984113,0.5297,SMALL,0,False,False,0.448
threshold,moderate,32.30160003295168,0.5449,SMALL,0,False,False,0.448
threshold,moderate,33.22049998678267,0.5259,SMALL,0,False,False,0.448
threshold,moderate,33.43890001997352,0.513,SMALL,0,False,False,0.448
threshold,moderate,32.022500003222376,0.5435,SMALL,0,False,False,0.448
threshold,moderate,31.627999967895448,0.5015,SMALL,0,False,False,0.448
threshold,moderate,32.773800019640476,0.5581,SMALL,0,False,False,0.448
threshold,moderate,33.68760005105287,0.5112,SMALL,0,False,False,0.448
threshold,moderate,36.30059998249635,0.5073,SMALL,0,False,False,0.448
threshold,moderate,40.46509996987879,0.507,SMALL,0,False,False,0.448
threshold,moderate,30.974099994637072,0.4862,SMALL,0,False,False,0.448
threshold,moderate,31.125999987125397,0.5307,SMALL,0,False,False,0.448
threshold,moderate,32.90779999224469,0.5214,SMALL,0,False,False,0.448
threshold,moderate,36.280800006352365,0.5521,SMALL,0,False,False,0.448
threshold,moderate,31.87529998831451,0.5584,SMALL,0,False,False,0.448
threshold,moderate,32.381199998781085,0.501,SMALL,0,False,False,0.448
threshold,moderate,31.576499983202666,0.5454,SMALL,0,False,False,0.448
threshold,moderate,34.606299945153296,0.538,SMALL,0,False,False,0.448
predictive,moderate,7.714100007433444,0.5505,NANO,0,False,True,0.372
predictive,moderate,6.925699999555945,0.5174,NANO,0,False,False,0.372
predictive,moderate,8.190800028387457,0.5053,NANO,0,False,False,0.372
predictive,moderate,7.601199962664396,0.4799,NANO,0,False,False,0.372
predictive,moderate,8.447900007013232,0.4998,NANO,0,False,False,0.372
predictive,moderate,7.944399956613779,0.5349,NANO,0,False,False,0.372
predictive,moderate,8.109299989882857,0.5083,NANO,0,False,False,0.372
predictive,moderate,8.110800001304597,0.5514,NANO,0,False,False,0.372
predictive,moderate,8.193999994546175,0.4841,NANO,0,False,False,0.372
predictive,moderate,8.53549997555092,0.5282,NANO,0,False,False,0.372
predictive,moderate,8.61560000339523,0.5487,NANO,0,False,False,0.372
predictive,moderate,9.085599973332137,0.565,NANO,0,False,False,0.372
