image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
000000.png,NANO,ultralytics,False,1,2,0,True,True,3,1
000001.png,NANO,ultralytics,False,0,0,1,True,False,0,3
000005.png,NANO,ultralytics,False,0,0,1,True,False,0,1
000007.png,NANO,ultralytics,False,0,0,1,True,False,1,4
000010.png,NANO,ultralytics,False,0,0,1,True,False,7,9
000011.png,NANO,ultralytics,False,1,0,3,True,True,4,6
000015.png,NANO,ultralytics,False,1,3,3,True,True,5,5
000021.png,NANO,ultralytics,False,0,0,1,True,False,6,8
000023.png,NANO,ultralytics,False,0,0,1,True,False,0,3
000025.png,NANO,ultralytics,False,0,0,1,True,False,5,6
000028.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000035.png,NANO,ultralytics,False,0,0,2,True,False,1,5
000040.png,NANO,ultralytics,False,0,0,1,True,False,0,2
000043.png,NANO,ultralytics,False,2,1,2,True,True,3,4
000048.png,NANO,ultralytics,False,0,0,4,True,False,0,4
000049.png,NANO,ultralytics,False,1,0,1,True,True,15,18
000051.png,NANO,ultralytics,False,0,2,1,True,True,4,2
000054.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000058.png,NANO,ultralytics,False,0,0,1,True,False,0,1
000060.png,NANO,ultralytics,False,0,0,1,True,False,0,4
000062.png,NANO,ultralytics,False,0,0,1,True,False,3,5
000063.png,NANO,ultralytics,False,0,0,1,True,False,2,4
000065.png,NANO,ultralytics,False,0,0,6,True,False,1,9
000068.png,NANO,ultralytics,False,0,0,2,True,False,8,12
000070.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000073.png,NANO,ultralytics,False,3,1,4,True,True,4,7
000074.png,NANO,ultralytics,False,3,2,0,True,True,7,3
000076.png,NANO,ultralytics,False,2,2,7,True,True,4,9
000085.png,NANO,ultralytics,False,1,0,1,True,True,2,4
000087.png,NANO,ultralytics,False,0,0,1,True,False,1,6
000091.png,NANO,ultralytics,False,0,1,1,True,True,3,2
000100.png,NANO,ultralytics,False,1,0,1,True,True,2,4
000103.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000105.png,NANO,ultralytics,False,0,0,1,True,False,0,2
000108.png,NANO,ultralytics,False,0,1,1,True,True,3,3
000109.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000114.png,NANO,ultralytics,False,0,0,2,True,False,7,12
000118.png,NANO,ultralytics,False,0,1,5,True,True,1,7
000119.png,NANO,ultralytics,False,0,0,1,True,False,2,5
000122.png,NANO,ultralytics,False,0,0,1,True,False,1,4
000124.png,NANO,ultralytics,False,0,0,3,True,False,0,5
000127.png,NANO,ultralytics,False,0,0,2,True,False,1,11
000130.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000134.png,NANO,ultralytics,False,0,0,12,True,False,1,15
000142.png,NANO,ultralytics,False,1,0,4,True,True,14,14
000144.png,NANO,ultralytics,False,0,1,4,True,True,4,7
000145.png,NANO,ultralytics,False,1,1,10,True,True,2,15
000146.png,NANO,ultralytics,False,0,0,1,True,False,9,17
000147.png,NANO,ultralytics,False,1,2,0,True,True,4,2
000149.png,NANO,ultralytics,False,0,0,1,True,False,3,11
000150.png,NANO,ultralytics,False,0,0,1,True,False,1,4
000151.png,NANO,ultralytics,False,0,0,2,True,False,3,4
000153.png,NANO,ultralytics,False,0,0,3,True,False,0,4
000154.png,NANO,ultralytics,False,0,0,2,True,False,6,9
000156.png,NANO,ultralytics,False,1,0,0,True,True,2,2
000157.png,NANO,ultralytics,False,1,1,0,True,True,8,8
000162.png,NANO,ultralytics,False,0,0,1,True,False,1,5
000164.png,NANO,ultralytics,False,0,0,1,True,False,1,4
000167.png,NANO,ultralytics,False,0,0,3,True,False,2,3
000169.png,NANO,ultralytics,False,0,0,1,True,False,8,16
000177.png,NANO,ultralytics,False,0,1,6,True,True,1,8
000179.png,NANO,ultralytics,False,0,0,1,True,False,1,5
000186.png,NANO,ultralytics,False,0,0,1,True,False,3,9
000187.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000189.png,NANO,ultralytics,False,3,2,2,True,True,7,5
000190.png,NANO,ultralytics,False,0,0,2,True,False,3,4
000193.png,NANO,ultralytics,False,0,0,1,True,False,0,1
000194.png,NANO,ultralytics,False,0,0,1,True,False,2,3
000195.png,NANO,ultralytics,False,1,0,1,True,True,1,2
000199.png,NANO,ultralytics,False,1,3,0,True,True,4,1
000200.png,NANO,ultralytics,False,0,0,1,True,False,1,3
000201.png,NANO,ultralytics,False,0,0,4,True,False,7,12
000203.png,NANO,ultralytics,False,0,0,1,True,False,0,3
000206.png,NANO,ultralytics,False,2,2,0,True,True,5,4
000207.png,NANO,ultralytics,False,0,0,1,True,False,1,4
000208.png,NANO,ultralytics,False,0,0,1,True,False,2,3
000209.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000211.png,NANO,ultralytics,False,0,0,3,True,False,4,8
000214.png,NANO,ultralytics,False,0,0,3,True,False,2,6
000217.png,NANO,ultralytics,False,1,3,1,True,True,6,8
000221.png,NANO,ultralytics,False,0,0,1,True,False,2,3
000228.png,NANO,ultralytics,False,0,0,1,True,False,4,5
000232.png,NANO,ultralytics,False,0,0,1,True,False,1,3
000245.png,NANO,ultralytics,False,0,0,1,True,False,3,5
000251.png,NANO,ultralytics,False,1,0,1,True,True,1,6
000254.png,NANO,ultralytics,False,1,1,1,True,True,11,11
000263.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000264.png,NANO,ultralytics,False,0,0,1,True,False,9,17
000265.png,NANO,ultralytics,False,0,1,5,True,True,1,5
000266.png,NANO,ultralytics,False,1,1,3,True,True,7,11
000268.png,NANO,ultralytics,False,0,0,1,True,False,2,4
000271.png,NANO,ultralytics,False,0,0,1,True,False,2,5
000273.png,NANO,ultralytics,False,0,0,1,True,False,0,14
000274.png,NANO,ultralytics,False,0,0,2,True,False,8,14
000275.png,NANO,ultralytics,False,0,0,3,True,False,7,9
000277.png,NANO,ultralytics,False,0,0,9,True,False,0,10
000286.png,NANO,ultralytics,False,0,0,1,True,False,10,12
000287.png,NANO,ultralytics,False,1,0,1,True,True,2,2
000288.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000290.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000292.png,NANO,ultralytics,False,0,0,1,True,False,0,3
000294.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000295.png,NANO,ultralytics,False,1,0,0,True,True,2,3
000298.png,NANO,ultralytics,False,1,0,0,True,True,1,1
000303.png,NANO,ultralytics,False,0,0,4,True,False,1,7
000306.png,NANO,ultralytics,False,0,0,1,True,False,0,3
