run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
0,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,32.908,33.575,0.271,14.3,65.5,,15,True,000000.png,False
1,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,34.777,35.577,0.271,14.3,65.5,,0,False,000001.png,False
2,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,29.956,30.595,0.3155,20.2,65.6,,3,False,000002.png,False
3,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,31.397,32.133,0.3155,20.2,65.6,,11,False,000003.png,False
4,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,33.591,34.297,0.3155,20.2,65.6,,0,False,000004.png,False
5,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,28.838,29.737,0.2975,17.8,65.6,,12,True,000005.png,False
6,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,29.954,30.584,0.2975,17.8,65.6,,2,False,000006.png,False
7,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,32.793,33.58,0.32,20.8,65.6,,0,False,000007.png,False
8,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,29.576,30.311,0.32,20.8,65.6,,49,False,000008.png,False
9,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,30.156,30.763,0.32,20.8,65.6,,0,False,000009.png,False
10,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,30.071,30.821,0.305,18.8,65.6,,40,False,000010.png,False
11,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,29.486,30.174,0.305,18.8,65.6,,28,True,000011.png,False
12,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,29.718,30.396,0.305,18.8,65.6,,20,True,000012.png,False
13,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,30.255,30.92,0.2907,16.9,65.6,,7,False,000013.png,False
14,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,30.409,31.34,0.2907,16.9,65.6,,0,False,000014.png,False
15,core-i7-13700f,onnx,threshold,idle,0.0,MEDIUM,209.83,212.095,0.2975,17.8,65.6,,66,True,000015.png,False
16,core-i7-13700f,onnx,threshold,idle,0.0,MEDIUM,200.896,202.525,0.4062,32.2,65.9,,48,False,000016.png,False
17,core-i7-13700f,onnx,threshold,idle,0.0,MEDIUM,194.713,196.271,0.416,33.5,65.9,,37,False,000017.png,False
18,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,36.86,37.74,0.359,25.9,65.9,,7,False,000018.png,False
19,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,35.053,35.782,0.359,25.9,65.9,,21,False,000019.png,False
20,core-i7-13700f,onnx,threshold,idle,0.0,SMALL,33.284,33.985,0.376,28.2,65.8,,8,False,000020.png,False
