label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,moderate,3.5725412890315056,0.4597,SMALL,2,False,False,0.41287444736036044
threshold,moderate,3.6121890880167484,0.5226,SMALL,7,True,False,0.4603225738848039
threshold,moderate,3.6222049966454506,0.4706,SMALL,2,False,False,0.4062472976646861
threshold,moderate,3.501756116747856,0.5014,SMALL,5,False,False,0.46295444036924793
threshold,moderate,3.409115131944418,0.5352,SMALL,4,False,False,0.4155368975256702
threshold,moderate,3.6219488829374313,0.5578,SMALL,4,False,False,0.43829881180655544
threshold,moderate,3.539388068020344,0.5309,SMALL,7,False,False,0.4414526872956092
threshold,moderate,3.585884813219309,0.5049,SMALL,8,True,False,0.44012265921676297
threshold,moderate,3.996672108769417,0.5194,SMALL,4,False,False,0.45246948538830795
threshold,moderate,3.590203821659088,0.5185,SMALL,5,False,False,0.469896258848083
threshold,moderate,3.418650943785906,0.5075,SMALL,4,False,False,0.44702407616555867
threshold,moderate,3.3230017870664597,0.4847,SMALL,3,False,False,0.4601384373286004
threshold,moderate,3.677789121866226,0.5077,SMALL,5,False,False,0.40377002321389616
threshold,moderate,3.7888940423727036,0.5452,SMALL,4,True,False,0.4525803564911341
threshold,moderate,3.588956780731678,0.5528,SMALL,5,False,False,0.41652735491940035
threshold,moderate,3.5823960788547993,0.5295,SMALL,6,False,False,0.47680577895589926
threshold,moderate,3.5937889479100704,0.4786,SMALL,3,False,False,0.4694803290656413
threshold,moderate,3.5783969797194004,0.5168,SMALL,4,False,False,0.4475118198959362
threshold,moderate,3.844350576400757,0.5733,SMALL,4,False,False,0.46775657276391625
threshold,moderate,3.530555870383978,0.5174,SMALL,4,False,False,0.4704047344999045
threshold,moderate,3.591964952647686,0.475,SMALL,6,False,False,0.46888192799412204
threshold,moderate,3.628829028457403,0.4986,SMALL,3,False,False,0.44968332537344113
threshold,moderate,3.5250522196292877,0.4916,SMALL,6,False,False,0.48351961462346166
threshold,moderate,3.6617890000343323,0.4709,SMALL,7,False,False,0.4481627858424271
threshold,moderate,3.545947838574648,0.4761,SMALL,6,False,False,0.45999268571954194
threshold,moderate,3.8196458481252193,0.486,SMALL,5,False,False,0.4146225968970274
threshold,moderate,3.377914894372225,0.5511,SMALL,4,False,False,0.46320570159844143
threshold,moderate,3.641340881586075,0.5133,SMALL,4,False,False,0.4558789954335062
threshold,moderate,3.6880611442029476,0.5439,SMALL,6,False,False,0.4650933994229748
threshold,moderate,3.678428940474987,0.4969,SMALL,4,True,False,0.44977046005544397
