label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,idle,3.4905546344816685,0.0986,SMALL,6,False,False,0.4646942745844252
threshold,idle,3.6604078486561775,0.1235,SMALL,6,False,False,0.4190253773790553
threshold,idle,9.321066085249186,0.0593,MEDIUM,5,False,True,0.495304943986344
threshold,idle,9.331720881164074,0.0869,MEDIUM,3,False,False,0.49985889431777725
threshold,idle,9.294696617871523,0.0608,MEDIUM,5,False,False,0.5418708179572267
threshold,idle,9.116237051784992,0.0415,MEDIUM,5,False,False,0.5155596618926415
threshold,idle,9.14289290085435,0.0651,MEDIUM,3,False,False,0.5080096952291777
threshold,idle,9.370888117700815,0.0704,MEDIUM,7,False,False,0.5243453646967589
threshold,idle,8.976688142865896,0.0669,MEDIUM,4,False,False,0.5065778273679225
threshold,idle,9.359047748148441,0.0677,MEDIUM,6,False,False,0.5058802289442957
threshold,idle,8.897393941879272,0.0639,MEDIUM,5,False,False,0.5369236504308565
threshold,idle,9.01099108159542,0.0894,MEDIUM,5,True,False,0.518577459962034
threshold,idle,9.242539294064045,0.1112,MEDIUM,7,True,False,0.4708142449716227
threshold,idle,8.79966700449586,0.1323,MEDIUM,7,False,False,0.4773566159621882
threshold,idle,9.12193302065134,0.0978,MEDIUM,6,False,False,0.5162494616046921
threshold,idle,9.093772619962692,0.1537,MEDIUM,8,False,False,0.557297554725458
threshold,idle,9.037519339472055,0.0544,MEDIUM,7,True,False,0.4814310243472864
threshold,idle,9.053966961801052,0.1118,MEDIUM,4,False,False,0.4988545145033234
threshold,idle,9.07982187345624,0.1104,MEDIUM,7,False,False,0.5170793541380081
threshold,idle,9.055021684616804,0.0452,MEDIUM,5,False,False,0.5113982113471405
predictive,idle,9.178091771900654,0.0877,MEDIUM,7,False,True,0.48973800514319993
predictive,idle,9.047823026776314,0.111,MEDIUM,9,True,False,0.5063092827276453
predictive,idle,9.299434255808592,0.0646,MEDIUM,4,False,False,0.4935870531390993
predictive,idle,9.089997969567776,0.0888,MEDIUM,6,False,False,0.47946523172188565
predictive,idle,9.128205012530088,0.0414,MEDIUM,6,False,False,0.5145138056706019
predictive,idle,9.00795217603445,0.135,MEDIUM,5,False,False,0.4966584062829591
predictive,idle,9.163116104900837,0.1196,MEDIUM,4,True,False,0.5024928263474561
predictive,idle,9.106765035539865,0.0558,MEDIUM,6,True,False,0.5094773886762011
predictive,idle,9.298601653426886,0.0315,MEDIUM,6,True,False,0.49996899507303894
predictive,idle,9.292521979659796,0.0786,MEDIUM,6,True,False,0.5109438465072306
predictive,idle,8.925361093133688,0.048,MEDIUM,4,False,False,0.5229998156157223
predictive,idle,9.218730963766575,0.075,MEDIUM,6,False,False,0.46918604934590263
predictive,idle,9.052975103259087,0.034,MEDIUM,5,False,False,0.48780084618635744
predictive,idle,8.989679161459208,0.1048,MEDIUM,6,True,False,0.5138115562049578
predictive,idle,8.980400394648314,0.0612,MEDIUM,6,False,False,0.5155438264809665
predictive,idle,9.303465019911528,0.0983,MEDIUM,5,False,False,0.5116841689660848
predictive,idle,9.09399800002575,0.0345,MEDIUM,7,True,False,0.5192932271246633
predictive,idle,9.13982093334198,0.0932,MEDIUM,7,True,False,0.49751574636662693
predictive,idle,9.12410905584693,0.0898,MEDIUM,3,False,False,0.5169807517593119
predictive,idle,9.119597263634205,0.0348,MEDIUM,4,False,False,0.5328272055130507
safety,idle,3.2479362562298775,0.0176,SMALL,5,False,False,0.4471945384826688
safety,idle,3.5477057099342346,0.0885,SMALL,3,False,False,0.44392960669061793
safety,idle,8.973903022706509,0.0826,MEDIUM,7,True,True,0.5078532250868065
safety,idle,9.364807978272438,0.0651,MEDIUM,5,False,False,0.48900354634299537
safety,idle,9.152173064649105,0.0784,MEDIUM,4,True,False,0.49519188568155065
