image,tier,backend,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt
005981.png,NANO,onnx,False,0,0,0,False,False,3,9
005982.png,NANO,onnx,False,0,0,2,True,False,5,10
005983.png,NANO,onnx,False,0,0,0,False,False,6,15
005984.png,NANO,onnx,False,0,1,1,True,True,2,9
005985.png,NANO,onnx,False,0,1,4,True,True,1,5
005986.png,NANO,onnx,False,0,0,0,False,False,4,7
005987.png,NANO,onnx,False,0,0,0,False,False,3,5
005988.png,NANO,onnx,False,3,0,13,True,True,5,17
005989.png,NANO,onnx,False,0,0,0,False,False,0,1
005990.png,NANO,onnx,False,0,0,0,False,False,1,2
005991.png,NANO,onnx,False,0,0,1,True,False,0,5
005992.png,NANO,onnx,False,0,0,0,False,False,2,5
005993.png,NANO,onnx,False,0,0,0,False,False,0,1
005994.png,NANO,onnx,False,2,0,1,True,True,2,4
005995.png,NANO,onnx,False,0,0,0,False,False,0,2
005996.png,NANO,onnx,False,0,0,0,False,False,6,11
005997.png,NANO,onnx,False,0,0,2,True,False,0,5
005998.png,NANO,onnx,False,0,0,0,False,False,3,5
005999.png,NANO,onnx,False,0,0,0,False,False,2,7
006000.png,NANO,onnx,False,0,0,0,False,False,2,5
006001.png,NANO,onnx,False,0,0,0,False,False,0,3
006002.png,NANO,onnx,False,0,0,0,False,False,0,5
006003.png,NANO,onnx,False,0,0,0,False,False,3,9
006004.png,NANO,onnx,False,0,0,0,False,False,1,6
006005.png,NANO,onnx,False,0,0,0,False,False,3,9
006006.png,NANO,onnx,False,0,1,10,True,True,1,10
006007.png,NANO,onnx,False,0,0,0,False,False,3,15
006008.png,NANO,onnx,False,0,0,0,False,False,1,8
006009.png,NANO,onnx,False,0,0,0,False,False,2,4
006010.png,NANO,onnx,False,0,1,1,True,True,1,2
006011.png,NANO,onnx,False,0,0,3,True,False,10,12
006012.png,NANO,onnx,False,0,0,0,False,False,0,2
006013.png,NANO,onnx,False,0,0,0,False,False,3,3
006014.png,NANO,onnx,False,0,0,0,False,False,2,4
006015.png,NANO,onnx,False,0,0,0,False,False,3,5
006016.png,NANO,onnx,False,0,0,1,True,False,4,9
006017.png,NANO,onnx,False,0,0,0,False,False,0,2
006018.png,NANO,onnx,False,0,0,0,False,False,4,7
006019.png,NANO,onnx,False,0,0,1,True,False,1,3
006020.png,NANO,onnx,False,0,0,0,False,False,1,2
006021.png,NANO,onnx,False,1,0,0,True,True,3,4
006022.png,NANO,onnx,False,0,0,0,False,False,1,3
006023.png,NANO,onnx,False,0,0,1,True,False,0,3
006024.png,NANO,onnx,False,1,0,2,True,True,2,5
006025.png,NANO,onnx,False,0,0,0,False,False,5,5
006026.png,NANO,onnx,False,0,0,2,True,False,3,9
006027.png,NANO,onnx,False,0,0,2,True,False,5,8
006028.png,NANO,onnx,False,0,0,0,False,False,0,1
006029.png,NANO,onnx,False,1,0,0,True,True,1,1
006030.png,NANO,onnx,False,0,0,0,False,False,0,5
006031.png,NANO,onnx,False,0,0,0,False,False,3,5
006032.png,NANO,onnx,False,0,0,0,False,False,2,3
006033.png,NANO,onnx,False,0,0,0,False,False,3,6
006034.png,NANO,onnx,False,0,0,1,True,False,7,16
006035.png,NANO,onnx,False,1,0,0,True,True,1,1
006036.png,NANO,onnx,False,0,0,0,False,False,1,5
006037.png,NANO,onnx,False,0,0,0,False,False,1,5
006038.png,NANO,onnx,False,0,0,0,False,False,0,2
006039.png,NANO,onnx,False,0,0,1,True,False,3,8
006040.png,NANO,onnx,False,0,0,0,False,False,3,5
006041.png,NANO,onnx,False,0,0,0,False,False,2,7
006042.png,NANO,onnx,False,0,0,0,False,False,1,4
006043.png,NANO,onnx,False,0,0,0,False,False,1,3
006044.png,NANO,onnx,False,0,0,0,False,False,2,3
006045.png,NANO,onnx,False,0,0,0,False,False,3,8
006046.png,NANO,onnx,False,0,0,0,False,False,0,7
006047.png,NANO,onnx,False,0,0,0,False,False,3,6
006048.png,NANO,onnx,False,0,0,0,False,False,1,7
006049.png,NANO,onnx,False,0,0,0,False,False,1,2
006050.png,NANO,onnx,False,0,0,0,False,False,7,7
006051.png,NANO,onnx,False,0,2,2,True,True,4,6
006052.png,NANO,onnx,False,0,0,1,True,False,3,9
006053.png,NANO,onnx,False,1,0,0,True,True,1,1
006054.png,NANO,onnx,False,0,0,0,False,False,6,8
006055.png,NANO,onnx,False,0,0,0,False,False,5,13
006056.png,NANO,onnx,False,0,0,0,False,False,2,3
006057.png,NANO,onnx,False,0,0,0,False,False,2,2
006058.png,NANO,onnx,False,0,0,0,False,False,0,3
006059.png,NANO,onnx,False,0,0,0,False,False,2,6
006060.png,NANO,onnx,False,0,0,0,False,False,3,10
006061.png,NANO,onnx,False,0,0,0,False,False,0,2
006062.png,NANO,onnx,False,0,0,1,True,False,4,3
006063.png,NANO,onnx,False,0,0,0,False,False,2,10
006064.png,NANO,onnx,False,0,0,0,False,False,6,15
006065.png,NANO,onnx,False,0,2,2,True,True,2,6
006066.png,NANO,onnx,False,0,0,0,False,False,5,8
006067.png,NANO,onnx,False,0,0,1,True,False,0,7
006068.png,NANO,onnx,False,1,0,0,True,True,5,6
006069.png,NANO,onnx,False,0,1,0,False,True,2,6
006070.png,NANO,onnx,False,2,1,5,True,True,3,8
006071.png,NANO,onnx,False,1,1,3,True,True,2,5
006072.png,NANO,onnx,False,0,0,0,False,False,0,4
006073.png,NANO,onnx,False,0,0,0,False,False,5,7
006074.png,NANO,onnx,False,0,0,0,False,False,0,4
006075.png,NANO,onnx,False,0,0,3,True,False,0,4
006076.png,NANO,onnx,False,1,0,0,True,True,1,2
006077.png,NANO,onnx,False,0,0,0,False,False,4,11
006078.png,NANO,onnx,False,0,0,0,False,False,4,8
006079.png,NANO,onnx,False,0,0,0,False,False,0,3
006080.png,NANO,onnx,False,0,0,0,False,False,1,5
006081.png,NANO,onnx,False,0,0,0,False,False,3,7
006082.png,NANO,onnx,False,0,0,4,True,False,9,11
006083.png,NANO,onnx,False,2,0,2,True,True,2,5
006084.png,NANO,onnx,False,0,0,0,False,False,3,14
006085.png,NANO,onnx,False,0,0,0,False,False,2,2
006086.png,NANO,onnx,False,0,0,0,False,False,4,2
006087.png,NANO,onnx,False,0,0,3,True,False,0,4
006088.png,NANO,onnx,False,3,1,4,True,True,4,8
006089.png,NANO,onnx,False,1,0,0,True,True,1,1
006090.png,NANO,onnx,False,0,0,0,False,False,5,8
006091.png,NANO,onnx,False,0,0,0,False,False,0,2
006092.png,NANO,onnx,False,0,0,1,True,False,0,5
006093.png,NANO,onnx,False,1,0,0,True,True,1,4
006094.png,NANO,onnx,False,0,0,2,True,False,0,3
006095.png,NANO,onnx,False,0,0,1,True,False,2,4
006096.png,NANO,onnx,False,0,0,0,False,False,1,4
006097.png,NANO,onnx,False,0,0,0,False,False,5,7
006098.png,NANO,onnx,False,0,0,0,False,False,1,4
006099.png,NANO,onnx,False,0,0,0,False,False,0,3
006100.png,NANO,onnx,False,0,0,1,True,False,0,3
006101.png,NANO,onnx,False,0,0,0,False,False,0,1
006102.png,NANO,onnx,False,1,0,0,True,True,5,6
006103.png,NANO,onnx,False,0,0,0,False,False,2,5
006104.png,NANO,onnx,False,0,0,0,False,False,0,1
006105.png,NANO,onnx,False,0,0,0,False,False,0,2
006106.png,NANO,onnx,False,0,0,0,False,False,4,9
006107.png,NANO,onnx,False,0,0,0,False,False,1,2
006108.png,NANO,onnx,False,0,0,0,False,False,3,6
006109.png,NANO,onnx,False,0,0,1,True,False,0,6
006110.png,NANO,onnx,False,0,0,0,False,False,8,9
006111.png,NANO,onnx,False,0,0,0,False,False,0,6
006112.png,NANO,onnx,False,0,0,0,False,False,0,2
006113.png,NANO,onnx,False,0,0,0,False,False,2,8
006114.png,NANO,onnx,False,0,0,0,False,False,2,7
006115.png,NANO,onnx,False,0,0,0,False,False,2,3
006116.png,NANO,onnx,False,0,0,0,False,False,0,7
006117.png,NANO,onnx,False,0,0,0,False,False,6,7
006118.png,NANO,onnx,False,0,0,2,True,False,0,4
006119.png,NANO,onnx,False,0,0,0,False,False,1,3
006120.png,NANO,onnx,False,0,0,0,False,False,2,1
006121.png,NANO,onnx,False,4,0,11,True,True,6,16
006122.png,NANO,onnx,False,2,0,4,True,True,2,6
006123.png,NANO,onnx,False,0,0,1,True,False,2,7
006124.png,NANO,onnx,False,0,0,0,False,False,3,2
006125.png,NANO,onnx,False,0,0,0,False,False,1,4
006126.png,NANO,onnx,False,0,0,0,False,False,3,5
006127.png,NANO,onnx,False,0,0,0,False,False,6,13
006128.png,NANO,onnx,False,0,0,0,False,False,0,2
006129.png,NANO,onnx,False,0,0,0,False,False,2,8
006130.png,NANO,onnx,False,1,3,8,True,True,4,9
006131.png,NANO,onnx,False,0,0,0,False,False,0,1
006132.png,NANO,onnx,False,0,0,0,False,False,0,2
006133.png,NANO,onnx,False,0,2,0,False,True,2,3
006134.png,NANO,onnx,False,0,0,0,False,False,1,4
006135.png,NANO,onnx,False,0,0,0,False,False,1,6
006136.png,NANO,onnx,False,0,0,0,False,False,2,6
006137.png,NANO,onnx,False,0,0,0,False,False,4,7
006138.png,NANO,onnx,False,0,0,0,False,False,2,6
006139.png,NANO,onnx,False,7,3,11,True,True,12,19
006140.png,NANO,onnx,False,0,0,0,False,False,0,2
006141.png,NANO,onnx,False,0,0,0,False,False,3,8
006142.png,NANO,onnx,False,0,1,0,False,True,2,1
006143.png,NANO,onnx,False,0,0,0,False,False,6,14
006144.png,NANO,onnx,False,0,0,0,False,False,2,5
006145.png,NANO,onnx,False,0,0,0,False,False,5,12
006146.png,NANO,onnx,False,0,0,0,False,False,3,5
006147.png,NANO,onnx,False,0,0,0,False,False,3,5
006148.png,NANO,onnx,False,0,0,3,True,False,0,5
006149.png,NANO,onnx,False,0,0,0,False,False,2,7
006150.png,NANO,onnx,False,0,1,0,False,True,4,9
006151.png,NANO,onnx,False,1,0,0,True,True,1,1
006152.png,NANO,onnx,False,1,0,0,True,True,1,1
006153.png,NANO,onnx,False,0,0,0,False,False,2,7
006154.png,NANO,onnx,False,0,0,0,False,False,1,6
006155.png,NANO,onnx,False,0,0,0,False,False,4,5
006156.png,NANO,onnx,False,0,0,0,False,False,4,12
006157.png,NANO,onnx,False,0,0,0,False,False,5,16
006158.png,NANO,onnx,False,1,0,0,True,True,1,1
006159.png,NANO,onnx,False,0,0,1,True,False,2,6
006160.png,NANO,onnx,False,0,0,1,True,False,2,6
006161.png,NANO,onnx,False,0,0,0,False,False,6,8
006162.png,NANO,onnx,False,0,0,0,False,False,0,5
006163.png,NANO,onnx,False,0,0,1,True,False,5,17
006164.png,NANO,onnx,False,0,0,1,True,False,0,1
006165.png,NANO,onnx,False,0,0,0,False,False,1,4
006166.png,NANO,onnx,False,0,0,1,True,False,2,7
006167.png,NANO,onnx,False,0,0,0,False,False,3,4
006168.png,NANO,onnx,False,0,0,0,False,False,0,4
006169.png,NANO,onnx,False,0,0,1,True,False,3,8
006170.png,NANO,onnx,False,0,0,0,False,False,0,2
006171.png,NANO,onnx,False,0,0,0,False,False,0,1
006172.png,NANO,onnx,False,0,1,0,False,True,8,11
006173.png,NANO,onnx,False,0,0,0,False,False,0,5
006174.png,NANO,onnx,False,0,0,2,True,False,0,3
006175.png,NANO,onnx,False,0,0,0,False,False,1,6
006176.png,NANO,onnx,False,2,2,5,True,True,4,8
006177.png,NANO,onnx,False,0,0,1,True,False,0,4
006178.png,NANO,onnx,False,0,0,0,False,False,0,2
006179.png,NANO,onnx,False,0,0,2,True,False,5,12
006180.png,NANO,onnx,False,0,0,0,False,False,6,15
006181.png,NANO,onnx,False,0,0,0,False,False,1,3
006182.png,NANO,onnx,False,0,0,0,False,False,1,3
006183.png,NANO,onnx,False,0,0,0,False,False,2,2
006184.png,NANO,onnx,False,0,0,2,True,False,0,3
006185.png,NANO,onnx,False,0,0,1,True,False,1,3
006186.png,NANO,onnx,False,0,0,0,False,False,2,7
006187.png,NANO,onnx,False,0,0,0,False,False,4,10
006188.png,NANO,onnx,False,0,0,0,False,False,0,1
006189.png,NANO,onnx,False,1,0,2,True,True,8,15
006190.png,NANO,onnx,False,0,0,4,True,False,0,5
006191.png,NANO,onnx,False,0,0,0,False,False,1,10
006192.png,NANO,onnx,False,0,0,0,False,False,3,11
006193.png,NANO,onnx,False,0,0,0,False,False,0,1
006194.png,NANO,onnx,False,1,0,0,True,True,1,1
006195.png,NANO,onnx,False,0,0,0,False,False,3,4
006196.png,NANO,onnx,False,0,0,1,True,False,2,4
006197.png,NANO,onnx,False,0,0,0,False,False,1,2
006198.png,NANO,onnx,False,0,0,3,True,False,4,10
006199.png,NANO,onnx,False,0,0,0,False,False,0,7
006200.png,NANO,onnx,False,0,0,0,False,False,1,2
006201.png,NANO,onnx,False,1,0,0,True,True,1,1
006202.png,NANO,onnx,False,0,0,0,False,False,2,13
006203.png,NANO,onnx,False,0,0,0,False,False,1,3
006204.png,NANO,onnx,False,0,0,0,False,False,2,2
006205.png,NANO,onnx,False,0,0,0,False,False,0,5
006206.png,NANO,onnx,False,0,0,0,False,False,0,1
006207.png,NANO,onnx,False,0,0,0,False,False,0,1
006208.png,NANO,onnx,False,0,0,0,False,False,2,8
006209.png,NANO,onnx,False,0,0,0,False,False,0,1
006210.png,NANO,onnx,False,2,1,1,True,True,3,5
006211.png,NANO,onnx,False,0,0,1,True,False,7,15
006212.png,NANO,onnx,False,0,0,0,False,False,0,1
006213.png,NANO,onnx,False,0,0,2,True,False,0,15
006214.png,NANO,onnx,False,0,1,1,True,True,2,3
006215.png,NANO,onnx,False,1,0,0,True,True,1,1
006216.png,NANO,onnx,False,0,0,0,False,False,0,2
