run_idx,policy,load_profile,load_intensity,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,backend,simulated,n_detections,vru_detected,frame
0,threshold,idle,0.0,SMALL,152.394,0.1982,0.0,79.3,44.75,onnx,False,5,False,005981.png
1,threshold,idle,0.0,SMALL,129.002,0.479,46.7,79.5,44.5,onnx,False,8,False,005982.png
2,threshold,idle,0.0,SMALL,125.628,0.5162,52.9,79.5,44.5,onnx,False,11,False,005983.png
3,threshold,idle,0.0,SMALL,125.727,0.4531,42.4,79.5,44.5,onnx,False,0,False,005984.png
4,threshold,idle,0.0,SMALL,125.942,0.4466,41.3,79.5,44.5,onnx,False,2,True,005985.png
5,threshold,idle,0.0,SMALL,125.607,0.4435,40.8,79.5,44.5,onnx,False,6,False,005986.png
6,threshold,idle,0.0,SMALL,126.301,0.4516,42.1,79.6,44.5,onnx,False,8,False,005987.png
7,threshold,idle,0.0,SMALL,125.397,0.4433,40.8,79.4,44.5,onnx,False,8,True,005988.png
8,threshold,idle,0.0,SMALL,126.522,0.4019,33.9,79.4,44.5,onnx,False,0,False,005989.png
9,threshold,idle,0.0,SMALL,125.448,0.4685,45.0,79.4,44.5,onnx,False,2,False,005990.png
10,threshold,idle,0.0,SMALL,125.32,0.3953,32.8,79.4,44.5,onnx,False,1,False,005991.png
11,threshold,idle,0.0,SMALL,142.282,0.4001,33.6,79.4,44.5,onnx,False,4,False,005992.png
12,threshold,idle,0.0,SMALL,126.618,0.4403,40.3,79.4,44.5,onnx,False,1,False,005993.png
13,threshold,idle,0.0,SMALL,126.772,0.4511,42.1,79.4,44.5,onnx,False,4,True,005994.png
14,threshold,idle,0.0,SMALL,126.836,0.4523,42.3,79.4,44.5,onnx,False,1,False,005995.png
15,threshold,idle,0.0,SMALL,128.619,0.4505,42.0,79.4,44.5,onnx,False,10,False,005996.png
16,threshold,idle,0.0,SMALL,127.383,0.5159,52.9,79.4,44.5,onnx,False,0,False,005997.png
17,threshold,idle,0.0,SMALL,126.352,0.4457,41.2,79.4,44.5,onnx,False,4,False,005998.png
18,threshold,idle,0.0,SMALL,126.222,0.454,42.5,79.6,44.5,onnx,False,4,False,005999.png
19,threshold,idle,0.0,SMALL,126.049,0.4441,40.8,79.7,44.5,onnx,False,4,False,006000.png
20,threshold,idle,0.0,SMALL,127.048,0.4542,42.5,79.7,44.5,onnx,False,3,True,006001.png
21,threshold,idle,0.0,SMALL,126.822,0.4413,40.3,79.8,44.5,onnx,False,2,False,006002.png
22,threshold,idle,0.0,SMALL,127.955,0.4443,40.8,79.8,44.5,onnx,False,5,False,006003.png
23,threshold,idle,0.0,SMALL,127.34,0.5223,53.8,79.8,44.5,onnx,False,1,False,006004.png
24,threshold,idle,0.0,SMALL,126.75,0.4539,42.4,79.8,44.5,onnx,False,5,False,006005.png
25,threshold,idle,0.0,SMALL,125.941,0.4545,42.5,79.8,44.5,onnx,False,5,True,006006.png
26,threshold,idle,0.0,SMALL,126.962,0.4395,40.0,79.8,44.5,onnx,False,5,False,006007.png
27,threshold,idle,0.0,SMALL,127.026,0.4443,40.8,79.8,44.5,onnx,False,6,True,006008.png
28,threshold,idle,0.0,SMALL,127.059,0.4515,42.0,79.8,44.5,onnx,False,5,False,006009.png
29,threshold,idle,0.0,SMALL,128.124,0.4395,40.0,79.8,44.5,onnx,False,2,True,006010.png
30,threshold,idle,0.0,SMALL,126.32,0.5762,62.7,80.0,44.5,onnx,False,9,False,006011.png
31,threshold,idle,0.0,SMALL,126.378,0.4952,49.2,80.0,44.5,onnx,False,1,False,006012.png
32,threshold,idle,0.0,SMALL,127.35,0.5024,50.4,80.0,44.5,onnx,False,4,False,006013.png
33,threshold,idle,0.0,SMALL,126.809,0.505,50.8,80.1,44.5,onnx,False,3,False,006014.png
34,threshold,idle,0.0,SMALL,126.955,0.4955,49.2,80.1,44.5,onnx,False,3,False,006015.png
35,threshold,idle,0.0,SMALL,127.173,0.5021,50.4,79.9,44.5,onnx,False,7,True,006016.png
36,threshold,idle,0.0,SMALL,126.905,0.471,45.2,79.9,44.5,onnx,False,4,False,006017.png
37,threshold,idle,0.0,SMALL,126.899,0.4398,40.0,79.9,44.5,onnx,False,6,False,006018.png
38,threshold,idle,0.0,SMALL,126.334,0.4524,42.1,79.9,44.5,onnx,False,2,False,006019.png
39,threshold,idle,0.0,SMALL,125.881,0.444,40.7,79.9,44.5,onnx,False,1,False,006020.png
