run_idx,policy,load_profile,load_intensity,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,backend,simulated,n_detections,vru_detected,frame
0,threshold,idle,0.0,SMALL,23.583,0.3803,30.8,78.2,40.25,tensorrt-direct,False,0,False,null
1,threshold,idle,0.0,SMALL,5.31,0.3803,30.8,78.2,40.25,tensorrt-direct,False,0,False,null
2,threshold,idle,0.0,SMALL,5.109,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
3,threshold,idle,0.0,SMALL,5.167,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
4,threshold,idle,0.0,SMALL,5.049,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
5,threshold,idle,0.0,SMALL,5.04,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
6,threshold,idle,0.0,SMALL,5.084,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
7,threshold,idle,0.0,SMALL,5.155,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
8,threshold,idle,0.0,SMALL,5.043,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
9,threshold,idle,0.0,SMALL,5.17,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
10,threshold,idle,0.0,SMALL,5.291,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
11,threshold,idle,0.0,SMALL,5.275,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
12,threshold,idle,0.0,SMALL,5.254,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
13,threshold,idle,0.0,SMALL,5.227,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
14,threshold,idle,0.0,SMALL,5.142,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
15,threshold,idle,0.0,SMALL,5.052,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
16,threshold,idle,0.0,SMALL,5.089,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
17,threshold,idle,0.0,SMALL,5.261,0.3707,29.2,78.2,40.25,tensorrt-direct,False,0,False,null
18,threshold,idle,0.0,SMALL,5.091,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
19,threshold,idle,0.0,SMALL,5.336,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
20,threshold,idle,0.0,SMALL,5.348,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
21,threshold,idle,0.0,SMALL,5.344,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
22,threshold,idle,0.0,SMALL,5.24,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
23,threshold,idle,0.0,SMALL,5.162,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
24,threshold,idle,0.0,SMALL,5.121,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
25,threshold,idle,0.0,SMALL,5.1,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
26,threshold,idle,0.0,SMALL,5.051,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
27,threshold,idle,0.0,SMALL,5.172,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
28,threshold,idle,0.0,SMALL,5.072,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
29,threshold,idle,0.0,SMALL,5.077,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
30,threshold,idle,0.0,SMALL,5.056,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
31,threshold,idle,0.0,SMALL,5.05,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
32,threshold,idle,0.0,SMALL,5.058,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
33,threshold,idle,0.0,SMALL,5.085,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
34,threshold,idle,0.0,SMALL,5.126,0.3685,28.8,78.3,40.25,tensorrt-direct,False,0,False,null
35,threshold,idle,0.0,SMALL,5.071,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
36,threshold,idle,0.0,SMALL,5.047,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
37,threshold,idle,0.0,SMALL,5.084,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
38,threshold,idle,0.0,SMALL,5.041,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
39,threshold,idle,0.0,SMALL,5.071,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
40,threshold,idle,0.0,SMALL,5.035,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
41,threshold,idle,0.0,SMALL,5.047,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
42,threshold,idle,0.0,SMALL,5.045,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
43,threshold,idle,0.0,SMALL,5.029,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
44,threshold,idle,0.0,SMALL,5.015,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
45,threshold,idle,0.0,SMALL,5.145,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
46,threshold,idle,0.0,SMALL,5.003,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
47,threshold,idle,0.0,SMALL,5.094,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
48,threshold,idle,0.0,SMALL,5.228,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
49,threshold,idle,0.0,SMALL,5.075,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
50,threshold,idle,0.0,SMALL,5.168,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
51,threshold,idle,0.0,SMALL,5.049,0.4297,39.0,78.3,40.25,tensorrt-direct,False,0,False,null
52,threshold,idle,0.0,SMALL,5.03,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
53,threshold,idle,0.0,SMALL,5.108,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
54,threshold,idle,0.0,MEDIUM,19.623,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
55,threshold,idle,0.0,MEDIUM,10.483,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
56,threshold,idle,0.0,MEDIUM,10.463,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
57,threshold,idle,0.0,MEDIUM,10.448,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
58,threshold,idle,0.0,MEDIUM,10.441,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
59,threshold,idle,0.0,MEDIUM,10.631,0.3409,24.2,78.3,40.75,tensorrt-direct,False,0,False,null
60,threshold,idle,0.0,MEDIUM,10.797,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
61,threshold,idle,0.0,MEDIUM,10.337,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
62,threshold,idle,0.0,SMALL,5.3,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
63,threshold,idle,0.0,SMALL,5.186,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
64,threshold,idle,0.0,SMALL,5.026,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
65,threshold,idle,0.0,SMALL,5.007,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
66,threshold,idle,0.0,SMALL,5.012,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
67,threshold,idle,0.0,SMALL,5.016,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
68,threshold,idle,0.0,SMALL,5.016,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
69,threshold,idle,0.0,SMALL,5.01,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
70,threshold,idle,0.0,SMALL,5.059,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
71,threshold,idle,0.0,SMALL,5.018,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
72,threshold,idle,0.0,SMALL,5.014,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
73,threshold,idle,0.0,SMALL,5.107,0.3819,31.1,78.1,40.75,tensorrt-direct,False,0,False,null
74,threshold,idle,0.0,SMALL,5.077,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
75,threshold,idle,0.0,SMALL,5.108,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
76,threshold,idle,0.0,MEDIUM,10.372,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
77,threshold,idle,0.0,MEDIUM,10.388,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
78,threshold,idle,0.0,MEDIUM,10.415,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
79,threshold,idle,0.0,MEDIUM,10.358,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
80,threshold,idle,0.0,MEDIUM,10.406,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
81,threshold,idle,0.0,MEDIUM,10.409,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
82,threshold,idle,0.0,MEDIUM,10.381,0.2979,17.1,78.1,40.75,tensorrt-direct,False,0,False,null
83,threshold,idle,0.0,MEDIUM,10.41,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
84,threshold,idle,0.0,MEDIUM,10.887,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
85,threshold,idle,0.0,MEDIUM,10.795,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
86,threshold,idle,0.0,MEDIUM,10.378,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
87,threshold,idle,0.0,MEDIUM,10.843,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
88,threshold,idle,0.0,MEDIUM,10.73,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
89,threshold,idle,0.0,MEDIUM,10.801,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
90,threshold,idle,0.0,MEDIUM,10.813,0.3026,17.9,78.1,40.75,tensorrt-direct,False,0,False,null
91,threshold,idle,0.0,MEDIUM,10.345,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
92,threshold,idle,0.0,MEDIUM,10.343,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
93,threshold,idle,0.0,MEDIUM,10.344,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
94,threshold,idle,0.0,MEDIUM,10.748,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
95,threshold,idle,0.0,MEDIUM,10.796,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
96,threshold,idle,0.0,MEDIUM,10.32,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
97,threshold,idle,0.0,MEDIUM,10.74,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
98,threshold,idle,0.0,MEDIUM,10.828,0.3062,18.5,78.1,40.75,tensorrt-direct,False,0,False,null
99,threshold,idle,0.0,MEDIUM,10.769,0.3044,18.2,78.1,40.75,tensorrt-direct,False,0,False,null
0,threshold,light,0.25,SMALL,5.648,0.3139,19.7,78.3,41.5,tensorrt-direct,False,0,False,null
1,threshold,light,0.25,SMALL,5.157,0.3139,19.7,78.3,41.5,tensorrt-direct,False,0,False,null
2,threshold,light,0.25,MEDIUM,10.61,0.3139,19.7,78.3,41.5,tensorrt-direct,False,0,False,null
3,threshold,light,0.25,MEDIUM,10.496,0.3139,19.7,78.3,41.5,tensorrt-direct,False,0,False,null
4,threshold,light,0.25,MEDIUM,10.494,0.3139,19.7,78.3,41.5,tensorrt-direct,False,0,False,null
