label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
w=1,moderate,70.86219497156496,0.3686,SMALL,6,False,False,0.448
w=1,moderate,79.16318470352188,0.4001,SMALL,4,False,False,0.448
w=1,moderate,163.64178985438886,0.4244,MEDIUM,3,False,True,0.503
w=1,moderate,111.50867144818716,0.4312,MEDIUM,4,False,False,0.503
w=1,moderate,134.22342262884086,0.4448,MEDIUM,4,False,False,0.503
w=1,moderate,129.21133675853736,0.4233,MEDIUM,5,True,False,0.503
w=1,moderate,120.92746568028039,0.4525,MEDIUM,7,False,False,0.503
w=1,moderate,153.9390964891972,0.3981,MEDIUM,5,False,False,0.503
w=1,moderate,148.38925595473106,0.4936,MEDIUM,4,False,False,0.503
w=1,moderate,87.53778684089798,0.4648,MEDIUM,3,False,False,0.503
w=1,moderate,122.60985018494605,0.4766,MEDIUM,4,False,False,0.503
w=1,moderate,161.58503926428884,0.3459,MEDIUM,7,False,False,0.503
w=1,moderate,150.5003423406538,0.3591,MEDIUM,7,True,False,0.503
w=1,moderate,91.99704824211852,0.4642,MEDIUM,4,False,False,0.503
w=1,moderate,126.69222651332123,0.4118,MEDIUM,3,False,False,0.503
w=1,moderate,163.4865061283959,0.4888,MEDIUM,2,False,False,0.503
w=1,moderate,178.19022094919728,0.4135,MEDIUM,5,False,False,0.503
w=1,moderate,199.85243459541437,0.4589,MEDIUM,3,False,False,0.503
w=1,moderate,138.92166237242495,0.3781,MEDIUM,3,False,False,0.503
w=1,moderate,138.91021287649284,0.3597,MEDIUM,4,True,False,0.503
w=1,moderate,138.46528943931548,0.4648,MEDIUM,5,False,False,0.503
w=1,moderate,139.3198089561188,0.4315,MEDIUM,4,True,False,0.503
w=1,moderate,145.69561692991886,0.4302,MEDIUM,5,False,False,0.503
w=1,moderate,149.08372045418858,0.4388,MEDIUM,5,False,False,0.503
w=1,moderate,136.07811622546117,0.3753,MEDIUM,6,False,False,0.503
w=1,moderate,146.7667285233239,0.4098,MEDIUM,6,False,False,0.503
w=1,moderate,130.33661145833503,0.4245,MEDIUM,7,False,False,0.503
w=1,moderate,102.29661553671212,0.4439,MEDIUM,4,False,False,0.503
w=1,moderate,173.8318597716902,0.4862,MEDIUM,6,False,False,0.503
w=1,moderate,140.7540471058461,0.4411,MEDIUM,3,True,False,0.503
w=1,moderate,135.10651785782346,0.4961,MEDIUM,4,False,False,0.503
w=1,moderate,139.2570143262093,0.4714,MEDIUM,4,True,False,0.503
w=1,moderate,121.04025271278857,0.3716,MEDIUM,5,False,False,0.503
w=1,moderate,127.254568350997,0.509,MEDIUM,5,False,False,0.503
w=1,moderate,119.8423871830409,0.4167,MEDIUM,1,False,False,0.503
w=1,moderate,169.699598016109,0.4156,MEDIUM,3,False,False,0.503
w=1,moderate,113.59497129564251,0.4385,MEDIUM,3,False,False,0.503
w=1,moderate,153.1851070344453,0.3997,MEDIUM,5,True,False,0.503
w=1,moderate,139.9212036509274,0.4331,MEDIUM,4,False,False,0.503
w=1,moderate,129.15902402008868,0.3999,MEDIUM,6,False,False,0.503
w=1,moderate,151.84572935934634,0.3912,MEDIUM,5,False,False,0.503
w=1,moderate,138.87272482873584,0.5259,MEDIUM,4,False,False,0.503
w=1,moderate,146.0166843179506,0.3534,MEDIUM,5,False,False,0.503
w=1,moderate,148.0475320974525,0.3388,MEDIUM,1,True,False,0.503
w=1,moderate,144.10446483777133,0.5159,MEDIUM,6,False,False,0.503
w=1,moderate,143.75608063874117,0.4225,MEDIUM,4,False,False,0.503
w=1,moderate,147.7035599445017,0.391,MEDIUM,4,False,False,0.503
w=1,moderate,131.61098777498745,0.4605,MEDIUM,7,False,False,0.503
w=1,moderate,136.42512811502206,0.4361,MEDIUM,4,False,False,0.503
