label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
vru=0.0,heavy,90.95619520619768,0.6244,SMALL,4,False,False,0.448
vru=0.0,heavy,88.24717584022996,0.7096,SMALL,3,False,False,0.448
vru=0.0,heavy,48.60895115536885,0.6761,SMALL,5,False,False,0.448
vru=0.0,heavy,84.30551465581937,0.7704,SMALL,6,False,False,0.448
vru=0.0,heavy,77.53589728660019,0.5745,SMALL,4,False,False,0.448
vru=0.0,heavy,58.55119036193034,0.6779,SMALL,4,False,False,0.448
vru=0.0,heavy,98.9529609012351,0.6737,SMALL,3,False,False,0.448
vru=0.0,heavy,78.40225950800398,0.6441,SMALL,4,False,False,0.448
vru=0.0,heavy,71.69642937709078,0.6607,SMALL,5,False,False,0.448
vru=0.0,heavy,77.07544322508822,0.592,SMALL,5,False,False,0.448
vru=0.0,heavy,71.7275400092,0.6558,SMALL,3,False,False,0.448
vru=0.0,heavy,70.73967106577263,0.6619,SMALL,3,False,False,0.448
vru=0.0,heavy,85.96812521701719,0.7384,SMALL,5,False,False,0.448
vru=0.0,heavy,64.8934524729079,0.6556,SMALL,5,False,False,0.448
vru=0.0,heavy,99.99637335967253,0.6443,SMALL,6,False,False,0.448
vru=0.0,heavy,73.64550862937263,0.6243,SMALL,6,False,False,0.448
vru=0.0,heavy,82.67982822891507,0.6134,SMALL,3,False,False,0.448
vru=0.0,heavy,67.48457192490537,0.6216,SMALL,3,False,False,0.448
vru=0.0,heavy,70.85595323405266,0.6844,SMALL,5,False,False,0.448
vru=0.0,heavy,92.47925363441004,0.754,SMALL,5,False,False,0.448
vru=0.0,heavy,80.56898521894125,0.7309,SMALL,3,False,False,0.448
vru=0.0,heavy,74.60207506608754,0.5699,SMALL,3,False,False,0.448
vru=0.0,heavy,73.51045819126011,0.628,SMALL,3,False,False,0.448
vru=0.0,heavy,70.87579965257555,0.6488,SMALL,3,False,False,0.448
vru=0.0,heavy,72.37886804355439,0.6471,SMALL,4,False,False,0.448
vru=0.0,heavy,62.92467893029807,0.6692,SMALL,5,False,False,0.448
vru=0.0,heavy,81.87501455767524,0.6635,SMALL,5,False,False,0.448
vru=0.0,heavy,74.13970071859447,0.6863,SMALL,2,False,False,0.448
vru=0.0,heavy,101.14813149920033,0.7258,SMALL,5,False,False,0.448
vru=0.0,heavy,57.779332175494226,0.6465,SMALL,4,False,False,0.448
vru=0.0,heavy,103.32855075169363,0.6382,SMALL,5,False,False,0.448
vru=0.0,heavy,81.63577202335716,0.6521,SMALL,4,False,False,0.448
vru=0.0,heavy,72.41217540941022,0.6158,SMALL,4,False,False,0.448
vru=0.0,heavy,84.02995928157272,0.6325,SMALL,4,False,False,0.448
vru=0.0,heavy,68.1409287089889,0.6804,SMALL,6,False,False,0.448
vru=0.0,heavy,74.94233809388783,0.6353,SMALL,4,False,False,0.448
vru=0.0,heavy,77.2779487139236,0.6987,SMALL,4,False,False,0.448
vru=0.0,heavy,82.88811352903933,0.64,SMALL,6,False,False,0.448
vru=0.0,heavy,75.54022144391685,0.6824,SMALL,3,False,False,0.448
vru=0.0,heavy,89.36055686945329,0.6269,SMALL,5,False,False,0.448
vru=0.0,heavy,68.98723378591832,0.661,SMALL,5,False,False,0.448
vru=0.0,heavy,77.5228854852467,0.7255,SMALL,4,False,False,0.448
vru=0.0,heavy,82.80190475338286,0.5967,SMALL,4,False,False,0.448
vru=0.0,heavy,82.95242359700215,0.6671,SMALL,7,False,False,0.448
vru=0.0,heavy,94.05513585279589,0.6646,SMALL,5,False,False,0.448
vru=0.0,heavy,66.0676978942661,0.632,SMALL,4,False,False,0.448
vru=0.0,heavy,92.02997354321063,0.7034,SMALL,5,False,False,0.448
vru=0.0,heavy,65.83215010130682,0.6871,SMALL,6,False,False,0.448
vru=0.0,heavy,80.00660457269498,0.6282,SMALL,5,False,False,0.448
vru=0.0,heavy,89.8670818841315,0.6905,SMALL,7,False,False,0.448
vru=0.0,heavy,80.10626977071443,0.6424,SMALL,3,False,False,0.448
vru=0.0,heavy,78.57316901316216,0.7058,SMALL,7,False,False,0.448
vru=0.0,heavy,72.69105716123005,0.6241,SMALL,6,False,False,0.448
vru=0.0,heavy,82.40277304437377,0.7274,SMALL,6,False,False,0.448
vru=0.0,heavy,88.9362136537251,0.6822,SMALL,5,False,False,0.448
vru=0.0,heavy,84.05310347637756,0.5972,SMALL,4,False,False,0.448
vru=0.0,heavy,88.16317040620049,0.5703,SMALL,2,False,False,0.448
vru=0.0,heavy,95.09806158646074,0.6716,SMALL,9,False,False,0.448
vru=0.0,heavy,83.16613356779719,0.6539,SMALL,5,False,False,0.448
vru=0.0,heavy,90.23951842560815,0.6545,SMALL,7,False,False,0.448
vru=0.0,heavy,76.06109464008487,0.6946,SMALL,2,False,False,0.448
vru=0.0,heavy,74.83443884540529,0.6612,SMALL,6,False,False,0.448
vru=0.0,heavy,76.36287167276188,0.6845,SMALL,7,False,False,0.448
vru=0.0,heavy,80.22218634708504,0.652,SMALL,4,False,False,0.448
vru=0.0,heavy,70.72969454733015,0.6383,SMALL,5,False,False,0.448
vru=0.0,heavy,70.78365420592294,0.7025,SMALL,6,False,False,0.448
vru=0.0,heavy,58.15772056434029,0.5989,SMALL,6,False,False,0.448
vru=0.0,heavy,83.15922399847102,0.6777,SMALL,3,False,False,0.448
vru=0.0,heavy,89.2830143825199,0.6749,SMALL,3,False,False,0.448
vru=0.0,heavy,76.48711459916757,0.6355,SMALL,6,False,False,0.448
vru=0.0,heavy,72.81181898695756,0.777,SMALL,3,False,False,0.448
vru=0.0,heavy,83.10843067959574,0.6586,SMALL,6,False,False,0.448
vru=0.0,heavy,78.9280843488041,0.6786,SMALL,6,False,False,0.448
vru=0.0,heavy,66.0360950649775,0.6326,SMALL,5,False,False,0.448
vru=0.0,heavy,76.88821714212811,0.6512,SMALL,5,False,False,0.448
vru=0.0,heavy,79.53835792132199,0.6911,SMALL,5,False,False,0.448
vru=0.0,heavy,77.2758505159702,0.7163,SMALL,5,False,False,0.448
vru=0.0,heavy,87.81965763099778,0.6647,SMALL,3,False,False,0.448
vru=0.0,heavy,76.64245480970531,0.6486,SMALL,6,False,False,0.448
vru=0.0,heavy,89.70449759378053,0.5784,SMALL,5,False,False,0.448
vru=0.0,heavy,81.93493678586995,0.6104,SMALL,4,False,False,0.448
vru=0.0,heavy,75.60131982087543,0.6732,SMALL,6,False,False,0.448
vru=0.0,heavy,81.04053450732202,0.6639,SMALL,3,False,False,0.448
vru=0.0,heavy,99.72519086357788,0.6635,SMALL,5,False,False,0.448
vru=0.0,heavy,80.9423350301355,0.6548,SMALL,6,False,False,0.448
vru=0.0,heavy,85.86951104643305,0.6391,SMALL,4,False,False,0.448
vru=0.0,heavy,55.05999502700792,0.6162,SMALL,1,False,False,0.448
vru=0.0,heavy,62.222734184566804,0.7044,SMALL,8,False,False,0.448
vru=0.0,heavy,85.13851376055261,0.6227,SMALL,3,False,False,0.448
vru=0.0,heavy,81.8954963199372,0.6335,SMALL,7,False,False,0.448
vru=0.0,heavy,76.61120660327332,0.686,SMALL,5,False,False,0.448
vru=0.0,heavy,84.30236334921831,0.6167,SMALL,7,False,False,0.448
vru=0.0,heavy,68.89021446945623,0.6989,SMALL,4,False,False,0.448
vru=0.0,heavy,75.70036387382682,0.7169,SMALL,5,False,False,0.448
vru=0.0,heavy,66.96162365736217,0.6732,SMALL,4,False,False,0.448
vru=0.0,heavy,87.88361034387833,0.6852,SMALL,8,False,False,0.448
vru=0.0,heavy,89.05712845533398,0.6557,SMALL,7,False,False,0.448
vru=0.0,heavy,81.90667450668563,0.6092,SMALL,4,False,False,0.448
vru=0.0,heavy,68.97954103862283,0.5662,SMALL,5,False,False,0.448
vru=0.0,heavy,74.99250350698047,0.6907,SMALL,7,False,False,0.448
vru=0.0,heavy,68.94872402552456,0.5746,SMALL,5,False,False,0.448
vru=0.0,heavy,80.20598630564156,0.6393,SMALL,2,False,False,0.448
vru=0.0,heavy,88.67200225430108,0.6105,SMALL,4,False,False,0.448
vru=0.0,heavy,70.03822854870715,0.6508,SMALL,3,False,False,0.448
vru=0.0,heavy,69.52297207762383,0.6686,SMALL,6,False,False,0.448
vru=0.0,heavy,75.6445151840302,0.6833,SMALL,3,False,False,0.448
vru=0.0,heavy,72.81438880615468,0.6438,SMALL,6,False,False,0.448
vru=0.0,heavy,72.47828937317037,0.6471,SMALL,6,False,False,0.448
vru=0.0,heavy,83.50883309106122,0.6079,SMALL,4,False,False,0.448
vru=0.0,heavy,72.65951542457447,0.6072,SMALL,6,False,False,0.448
vru=0.0,heavy,67.89146632375491,0.6995,SMALL,4,False,False,0.448
vru=0.0,heavy,69.2603649295014,0.7092,SMALL,3,False,False,0.448
vru=0.0,heavy,89.05176584710979,0.7234,SMALL,6,False,False,0.448
vru=0.0,heavy,68.40650335531097,0.7013,SMALL,5,False,False,0.448
vru=0.0,heavy,68.9296237098924,0.6495,SMALL,5,False,False,0.448
vru=0.0,heavy,79.86257966429356,0.6362,SMALL,2,False,False,0.448
vru=0.0,heavy,86.2290282938255,0.6598,SMALL,5,False,False,0.448
vru=0.0,heavy,73.9121555222113,0.6287,SMALL,4,False,False,0.448
vru=0.0,heavy,79.39939937721074,0.6332,SMALL,6,False,False,0.448
vru=0.0,heavy,70.73671278408453,0.6611,SMALL,3,False,False,0.448
vru=0.0,heavy,75.01864463155474,0.6661,SMALL,5,False,False,0.448
vru=0.0,heavy,64.7011393290161,0.6493,SMALL,2,False,False,0.448
vru=0.0,heavy,89.40492958365816,0.69,SMALL,4,False,False,0.448
vru=0.0,heavy,73.96237186388097,0.6536,SMALL,5,False,False,0.448
vru=0.0,heavy,76.07156263530062,0.6479,SMALL,2,False,False,0.448
vru=0.0,heavy,85.12271963036935,0.6348,SMALL,5,False,False,0.448
vru=0.0,heavy,89.21429113181016,0.7456,SMALL,7,False,False,0.448
vru=0.0,heavy,79.11405079652762,0.6228,SMALL,2,False,False,0.448
vru=0.0,heavy,86.5051310255436,0.7172,SMALL,5,False,False,0.448
vru=0.0,heavy,85.70243052086855,0.6732,SMALL,4,False,False,0.448
vru=0.0,heavy,88.40777473681301,0.6948,SMALL,7,False,False,0.448
vru=0.0,heavy,67.57026672930091,0.6949,SMALL,5,False,False,0.448
vru=0.0,heavy,75.26300137130583,0.6508,SMALL,4,False,False,0.448
vru=0.0,heavy,80.29249215442437,0.6949,SMALL,3,False,False,0.448
vru=0.0,heavy,61.536086374990745,0.7081,SMALL,3,False,False,0.448
vru=0.0,heavy,76.39159788999812,0.6585,SMALL,8,False,False,0.448
vru=0.0,heavy,72.28145171361771,0.617,SMALL,2,False,False,0.448
vru=0.0,heavy,66.01964432790835,0.6455,SMALL,1,False,False,0.448
vru=0.0,heavy,88.6189139341917,0.6902,SMALL,2,False,False,0.448
vru=0.0,heavy,70.75813980642266,0.6764,SMALL,5,False,False,0.448
vru=0.0,heavy,82.07660457177722,0.6591,SMALL,4,False,False,0.448
vru=0.0,heavy,65.24359460772004,0.6436,SMALL,5,False,False,0.448
vru=0.0,heavy,80.7886667202729,0.6475,SMALL,6,False,False,0.448
vru=0.0,heavy,78.62038089943263,0.5857,SMALL,2,False,False,0.448
vru=0.0,heavy,64.02024026783684,0.724,SMALL,6,False,False,0.448
vru=0.0,heavy,88.5337264259869,0.6819,SMALL,5,False,False,0.448
vru=0.0,heavy,73.16931294024863,0.5949,SMALL,3,False,False,0.448
