policy,load_profile,latency_ms,tier,vru_detected,backend,device
threshold,idle,161.1758,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,145.8447,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,157.0127,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,114.2994,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,167.3529,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,166.3149,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,140.7551,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,125.3409,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,131.7445,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,166.7333,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,170.2023,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,131.0552,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,139.3304,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,146.2865,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,136.4564,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,143.0953,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,122.0803,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,118.85,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,138.2216,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,155.6247,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,155.0486,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,133.0839,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,177.905,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,111.8286,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,129.7926,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,161.5951,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,133.2177,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,149.2335,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,164.1118,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,114.4015,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,151.7342,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,180.8911,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,173.3793,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,118.7042,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,120.8221,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,145.0465,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,162.5794,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,153.4052,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,125.9456,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,178.582,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,111.9194,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,154.4171,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,155.7277,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,155.7758,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,122.4424,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,184.158,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,134.8955,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,122.6236,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,135.2816,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,148.8894,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,156.2446,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,170.519,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,161.6656,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,142.5792,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,164.0077,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,128.2393,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,118.0779,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,157.2131,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,127.7843,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,140.0611,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,165.936,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,158.5379,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,143.2358,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,150.5014,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,124.42,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,142.2857,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,150.2286,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,150.0188,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,133.5163,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,136.994,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,152.1876,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,142.5635,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,139.9367,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,115.1857,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,192.0098,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,128.9962,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,133.2885,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,128.7321,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,138.3936,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,131.3789,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,132.0839,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,161.3966,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,153.9545,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,147.0854,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,138.4256,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,166.4492,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,123.7313,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,162.7195,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,171.3965,MEDIUM,False,onnx,raspberry-pi-5
threshold,idle,121.6571,MEDIUM,True,onnx,raspberry-pi-5
threshold,idle,91.2985,SMALL,False,onnx,raspberry-pi-5
threshold,idle,83.7587,SMALL,True,onnx,raspberry-pi-5
threshold,idle,78.6501,SMALL,False,onnx,raspberry-pi-5
threshold,idle,88.124,SMALL,True,onnx,raspberry-pi-5
threshold,idle,82.2404,SMALL,True,onnx,raspberry-pi-5
threshold,idle,77.854,SMALL,False,onnx,raspberry-pi-5
threshold,idle,93.0028,SMALL,False,onnx,raspberry-pi-5
threshold,idle,79.2492,SMALL,False,onnx,raspberry-pi-5
threshold,idle,68.7919,SMALL,False,onnx,raspberry-pi-5
threshold,idle,69.7165,SMALL,False,onnx,raspberry-pi-5
threshold,light,135.161,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,131.2518,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,134.8667,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,129.5035,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,154.3764,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,110.1323,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,123.8072,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,149.451,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,148.5866,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,150.9724,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,151.0104,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,141.1163,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,171.2522,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,128.4629,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,152.3003,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,138.8748,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,129.0892,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,153.93,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,162.4037,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,143.3887,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,124.5962,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,159.5841,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,173.1254,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,157.6787,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,162.5989,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,132.9001,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,154.3478,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,135.8555,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,132.8846,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,140.9957,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,167.0743,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,155.8321,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,172.3828,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,140.3773,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,118.3174,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,139.0805,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,145.2994,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,144.8042,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,154.6005,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,155.1441,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,158.559,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,122.5043,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,157.5238,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,139.1962,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,145.6031,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,142.7982,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,120.1031,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,165.3031,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,149.0787,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,146.5468,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,126.3326,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,166.3077,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,135.619,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,135.1999,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,126.9797,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,126.8812,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,171.4892,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,140.9676,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,128.0541,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,117.5104,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,166.5828,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,179.2068,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,140.0483,MEDIUM,False,onnx,raspberry-pi-5
threshold,light,139.7421,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,109.4949,MEDIUM,True,onnx,raspberry-pi-5
threshold,light,67.5381,SMALL,False,onnx,raspberry-pi-5
threshold,light,81.7664,SMALL,False,onnx,raspberry-pi-5
threshold,light,81.2991,SMALL,False,onnx,raspberry-pi-5
threshold,light,85.4233,SMALL,False,onnx,raspberry-pi-5
threshold,light,67.4004,SMALL,False,onnx,raspberry-pi-5
threshold,light,72.789,SMALL,False,onnx,raspberry-pi-5
threshold,light,82.7714,SMALL,True,onnx,raspberry-pi-5
threshold,light,97.5449,SMALL,False,onnx,raspberry-pi-5
threshold,light,87.7083,SMALL,False,onnx,raspberry-pi-5
threshold,light,90.8277,SMALL,False,onnx,raspberry-pi-5
threshold,light,83.1882,SMALL,False,onnx,raspberry-pi-5
threshold,light,86.8331,SMALL,False,onnx,raspberry-pi-5
threshold,light,73.078,SMALL,False,onnx,raspberry-pi-5
threshold,light,77.0233,SMALL,False,onnx,raspberry-pi-5
threshold,light,75.2055,SMALL,True,onnx,raspberry-pi-5
threshold,light,65.3264,SMALL,False,onnx,raspberry-pi-5
threshold,light,89.1514,SMALL,False,onnx,raspberry-pi-5
threshold,light,85.6651,SMALL,False,onnx,raspberry-pi-5
threshold,light,83.6808,SMALL,True,onnx,raspberry-pi-5
threshold,light,70.675,SMALL,False,onnx,raspberry-pi-5
threshold,light,69.2725,SMALL,True,onnx,raspberry-pi-5
threshold,light,88.9105,SMALL,False,onnx,raspberry-pi-5
threshold,light,74.8796,SMALL,False,onnx,raspberry-pi-5
threshold,light,90.2039,SMALL,False,onnx,raspberry-pi-5
threshold,light,76.1702,SMALL,False,onnx,raspberry-pi-5
threshold,light,73.5528,SMALL,False,onnx,raspberry-pi-5
threshold,light,76.7885,SMALL,True,onnx,raspberry-pi-5
threshold,light,89.0641,SMALL,True,onnx,raspberry-pi-5
threshold,light,84.2137,SMALL,False,onnx,raspberry-pi-5
threshold,light,106.7442,SMALL,True,onnx,raspberry-pi-5
threshold,light,75.2729,SMALL,False,onnx,raspberry-pi-5
threshold,light,85.9028,SMALL,False,onnx,raspberry-pi-5
threshold,light,90.1691,SMALL,True,onnx,raspberry-pi-5
threshold,light,90.6105,SMALL,True,onnx,raspberry-pi-5
threshold,light,57.1699,SMALL,False,onnx,raspberry-pi-5
threshold,moderate,78.7519,SMALL,False,onnx,raspberry-pi-5
threshold,moderate,88.7428,SMALL,False,onnx,raspberry-pi-5
threshold,moderate,81.8598,SMALL,False,onnx,raspberry-pi-5
threshold,moderate,99.0005,SMALL,False,onnx,raspberry-pi-5
