label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,moderate,87.7605199982931,0.3347,SMALL,6,False,False,0.4403
threshold,moderate,92.53713818413163,0.374,SMALL,3,False,False,0.4399
threshold,moderate,134.15446867895432,0.4352,MEDIUM,5,False,True,0.4337
threshold,moderate,183.29455277905654,0.4466,MEDIUM,5,False,False,0.4425
threshold,moderate,155.03297305041227,0.3891,MEDIUM,4,False,False,0.439
threshold,moderate,151.36562005168534,0.4542,MEDIUM,3,False,False,0.4359
threshold,moderate,157.44297697001727,0.4952,MEDIUM,4,False,False,0.43
threshold,moderate,163.63973264936126,0.4829,MEDIUM,4,False,False,0.4386
threshold,moderate,170.71161923809453,0.437,MEDIUM,4,False,False,0.4442
threshold,moderate,159.0899281780554,0.3704,MEDIUM,8,False,False,0.4408
threshold,moderate,148.76187725943674,0.4699,MEDIUM,3,False,False,0.43
threshold,moderate,156.30508135337567,0.5271,MEDIUM,1,False,False,0.4353
threshold,moderate,149.99692817812743,0.4445,MEDIUM,4,False,False,0.436
threshold,moderate,129.88070181494535,0.4509,MEDIUM,4,False,False,0.446
threshold,moderate,153.0854707333175,0.4306,MEDIUM,6,False,False,0.4347
threshold,moderate,155.6663198780075,0.4106,MEDIUM,5,True,False,0.444
threshold,moderate,136.06698161211642,0.4674,MEDIUM,5,False,False,0.4406
threshold,moderate,149.44029250223412,0.5304,MEDIUM,3,False,False,0.4332
threshold,moderate,146.2168143932833,0.4317,MEDIUM,4,True,False,0.4473
threshold,moderate,147.385622566968,0.4665,MEDIUM,8,False,False,0.4294
threshold,moderate,97.32322964391103,0.4261,MEDIUM,5,False,False,0.4382
threshold,moderate,94.05202869947782,0.3727,MEDIUM,3,False,False,0.4341
threshold,moderate,165.74171083891858,0.4419,MEDIUM,6,True,False,0.4429
threshold,moderate,132.77067890552038,0.3619,MEDIUM,4,False,False,0.4332
threshold,moderate,157.36041668527852,0.4605,MEDIUM,3,False,False,0.437
threshold,moderate,115.8405573560006,0.4025,MEDIUM,4,False,False,0.4372
threshold,moderate,146.0837862152342,0.3961,MEDIUM,6,False,False,0.4398
threshold,moderate,152.0641955278338,0.4944,MEDIUM,7,True,False,0.4416
threshold,moderate,150.68677246529063,0.3428,MEDIUM,5,True,False,0.4411
threshold,moderate,154.97131262165897,0.4837,MEDIUM,3,False,False,0.4459
threshold,moderate,117.49411970066407,0.4363,MEDIUM,3,True,False,0.4373
threshold,moderate,140.13079851250998,0.4102,MEDIUM,8,False,False,0.4327
threshold,moderate,153.65091026805095,0.4645,MEDIUM,5,False,False,0.4469
threshold,moderate,153.4796882159147,0.3936,MEDIUM,6,True,False,0.439
threshold,moderate,154.72047684918917,0.4204,MEDIUM,4,True,False,0.4421
threshold,moderate,117.5581795681569,0.4332,MEDIUM,6,False,False,0.4293
threshold,moderate,157.30131268250184,0.4212,MEDIUM,6,True,False,0.4433
threshold,moderate,139.8906558115769,0.4879,MEDIUM,5,False,False,0.4344
threshold,moderate,140.82139968879704,0.422,MEDIUM,5,False,False,0.4351
threshold,moderate,144.70708910388547,0.2908,MEDIUM,5,False,False,0.4424
threshold,moderate,153.55239836808326,0.454,MEDIUM,6,True,False,0.4425
threshold,moderate,132.9007586679014,0.4034,MEDIUM,4,False,False,0.4359
threshold,moderate,135.22666928863904,0.3914,MEDIUM,4,False,False,0.4435
threshold,moderate,142.1133738168168,0.3959,MEDIUM,5,False,False,0.4302
threshold,moderate,159.89081561434202,0.4368,MEDIUM,6,False,False,0.45
threshold,moderate,126.08679106192699,0.4287,MEDIUM,5,False,False,0.4372
threshold,moderate,131.32948763318782,0.3451,MEDIUM,7,True,False,0.4353
threshold,moderate,146.44223050064198,0.4554,MEDIUM,8,True,False,0.4329
threshold,moderate,164.82676051827806,0.4145,MEDIUM,5,False,False,0.4352
threshold,moderate,122.90906734986035,0.4531,MEDIUM,6,False,False,0.4438
threshold,moderate,124.47124206603851,0.4543,MEDIUM,4,False,False,0.4422
threshold,moderate,107.96347971536858,0.3969,MEDIUM,6,True,False,0.4411
