label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
threshold,idle,81.68833285936844,0.1467,SMALL,6,False,False,0.448
threshold,idle,64.22379096847355,0.2297,SMALL,3,False,False,0.448
threshold,idle,151.60363378024297,0.1608,MEDIUM,2,False,True,0.503
threshold,idle,152.95175580453247,0.1375,MEDIUM,6,False,False,0.503
threshold,idle,153.67757312007382,0.091,MEDIUM,3,False,False,0.503
threshold,idle,143.3560086104482,0.1171,MEDIUM,5,True,False,0.503
threshold,idle,149.777692852602,0.1839,MEDIUM,5,False,False,0.503
threshold,idle,140.67059933761544,0.1559,MEDIUM,3,True,False,0.503
threshold,idle,126.41482068710854,0.1707,MEDIUM,7,False,False,0.503
threshold,idle,129.96235690436757,0.1507,MEDIUM,7,False,False,0.503
threshold,idle,125.26646538527815,0.1031,MEDIUM,6,False,False,0.503
threshold,idle,145.1612477384579,0.1172,MEDIUM,3,False,False,0.503
threshold,idle,157.85388033565988,0.1168,MEDIUM,4,False,False,0.503
threshold,idle,130.14933986095593,0.1066,MEDIUM,6,False,False,0.503
threshold,idle,134.44141390594368,0.1539,MEDIUM,6,True,False,0.503
threshold,idle,137.54000269346338,0.1672,MEDIUM,2,False,False,0.503
threshold,idle,187.34675128598263,0.1745,MEDIUM,4,False,False,0.503
threshold,idle,135.64409244267904,0.1118,MEDIUM,4,False,False,0.503
threshold,idle,131.72280782274632,0.1997,MEDIUM,3,False,False,0.503
threshold,idle,132.71740097557677,0.1383,MEDIUM,5,False,False,0.503
threshold,idle,125.92139439438044,0.1647,MEDIUM,8,False,False,0.503
threshold,idle,170.72660910179786,0.1619,MEDIUM,2,False,False,0.503
threshold,idle,144.23091488542346,0.1475,MEDIUM,2,False,False,0.503
threshold,idle,153.16968860630388,0.1527,MEDIUM,3,False,False,0.503
threshold,idle,151.56405062247705,0.1251,MEDIUM,4,False,False,0.503
threshold,idle,174.68874316698702,0.1517,MEDIUM,3,False,False,0.503
threshold,idle,139.87951154454424,0.1888,MEDIUM,4,False,False,0.503
threshold,idle,137.30585869932702,0.1,MEDIUM,8,False,False,0.503
threshold,idle,165.52933799314843,0.1509,MEDIUM,5,False,False,0.503
threshold,idle,128.07283480838737,0.1781,MEDIUM,4,False,False,0.503
threshold,idle,145.13573004179904,0.1176,MEDIUM,7,False,False,0.503
threshold,idle,139.5833456650094,0.0808,MEDIUM,5,False,False,0.503
