run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.6,0.6938,88.5,63.8,,0.0,0.03271484375,50.0,210.0,nvml,0.225,9.845,1.084,0.65,1723.201,onnx,CPUExecutionProvider,{},False,3,True,006201.png,,,,31.417393,39.592257,47.767121,22.976,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
1,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.033,0.6899,87.4,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.019,9.367,1.065,0.579,11.193,onnx,CPUExecutionProvider,{},False,10,False,007377.png,,,,0.202412,0.254959,0.307505,22.778,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
2,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.673,0.6899,87.4,64.9,,0.0,0.03271484375,51.0,210.0,nvml,6.559,11.027,0.985,0.644,19.351,onnx,CPUExecutionProvider,{},False,24,False,006587.png,,,,0.349925,0.440766,0.531607,22.778,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
3,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.668,0.7163,91.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.144,9.876,1.276,0.486,11.958,onnx,CPUExecutionProvider,{},False,5,False,006905.png,,,,0.224142,0.282912,0.334835,23.658,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
4,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.303,0.7163,91.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.128,10.823,1.009,0.453,12.547,onnx,CPUExecutionProvider,{},False,4,False,007244.png,,,,0.235177,0.296839,0.351319,23.658,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
5,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.214,0.7163,91.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.184,9.514,1.07,0.608,11.516,onnx,CPUExecutionProvider,{},False,19,False,007031.png,,,,0.215854,0.27245,0.322454,23.658,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
6,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.192,0.7163,91.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.252,10.518,1.051,0.596,12.579,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.235769,0.297587,0.352204,23.658,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
7,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.736,0.7163,91.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.134,11.255,1.066,0.394,13.0,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.24366,0.307547,0.363992,23.658,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
8,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.192,0.7547,98.2,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.206,12.802,0.822,0.54,14.533,onnx,CPUExecutionProvider,{},False,7,False,006781.png,,,,0.286351,0.362424,0.406924,24.938,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
9,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.751,0.7547,98.2,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.15,13.084,1.11,0.532,15.033,onnx,CPUExecutionProvider,{},False,6,False,006840.png,,,,0.296209,0.3749,0.420932,24.938,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
10,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.808,0.7547,98.2,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.122,12.394,0.919,0.476,14.054,onnx,CPUExecutionProvider,{},False,1,False,007416.png,,,,0.276907,0.350471,0.393504,24.938,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
